ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524035968030,-9.5853,-0.10579,-2.15747,-0.121728,0.0177513,-0.0166524,0.96209,-0.335702,0.273197
01324188,1524035968030,-9.65014,-0.516926,-1.664,-0.0486641,-0.0348402,-0.00244011,0.999261,-0.31597,0.21421
01324185,1524035968030,-9.87204,-1.33573,0.90958,-0.208208,-0.0711089,-0.0634892,1.02383,-0.0743622,-0.262949
01324181,1524035968030,-9.78819,0.147154,2.80757,-0.0968359,-0.0680571,0.0403668,0.870458,0.0843001,-0.523756
01324180,1524035968030,-8.95637,-3.37314,-0.113364,-0.356676,-0.181441,-0.283235,1.02375,0.173521,-0.0779916
01324189,1524035968038,-9.66385,-0.259642,-1.96192,-0.0799449,-0.00163157,-0.0208986,0.965076,-0.325435,0.268154
01324188,1524035968038,-9.65001,-0.474257,-1.5585,-0.0469004,-0.0262347,-0.000566399,1.00179,-0.307596,0.205294
01324185,1524035968038,-9.93947,-1.34488,0.975647,-0.208446,-0.0650943,0.0113271,1.02422,-0.0645363,-0.266057
01324181,1524035968038,-9.57695,0.062429,2.66564,-0.0709637,-0.0894949,0.0297106,0.872029,0.0895295,-0.52601
01324180,1524035968038,-8.96836,-3.39295,-0.0797539,-0.330267,-0.130411,-0.200953,1.02063,0.190745,-0.0851726
01324189,1524035968054,-9.68626,-0.16635,-1.79585,-0.0693849,-0.00860865,-0.0137371,0.968074,-0.323791,0.267195
01324188,1524035968054,-9.65483,-0.469283,-1.57776,-0.0381965,-0.0277657,-0.00406441,1.00719,-0.305032,0.204446
01324185,1524035968054,-9.76112,-1.41819,1.01244,-0.183176,-0.087476,0.0862442,1.02354,-0.0625567,-0.265943
01324181,1524035968054,-9.39059,0.0451315,2.77826,-0.0780439,-0.0914537,0.021054,0.871239,0.086855,-0.524349
01324180,1524035968054,-8.81649,-3.36247,-0.0539349,-0.293088,-0.0599258,-0.16948,1.01921,0.19745,-0.0858286
01324189,1524035968069,-9.63985,0.0758695,-1.83005,-0.0747259,-0.0172091,-0.0190821,0.9674,-0.327654,0.268779
