ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524035566269,-9.81692,-0.0536845,-0.701133,-0.00627384,-0.0113083,-0.0110491,0.695742,-0.490727,0.0262297
01324188,1524035566269,-9.718,-0.653501,-1.28631,0.0191397,0.00198059,0.00761012,0.718391,-0.50862,0.240778
01324185,1524035566269,-9.28893,-3.96694,2.23092,0.142882,-0.445448,-1.45574,0.675817,0.180466,-0.586365
01324181,1524035566269,-9.51753,-0.443809,2.51879,-0.00371901,0.126374,-0.11502,0.713227,0.423506,-0.316307
01324180,1524035566269,-8.52077,-5.90523,3.01066,0.892369,-0.801692,-1.14111,0.77097,0.134941,-0.401161
01324189,1524035566273,-9.81599,-0.0385829,-0.63052,0.0181922,-0.018448,-0.00384556,0.691778,-0.485721,0.0225475
01324188,1524035566273,-9.71298,-0.600502,-1.28202,0.0182666,0.00623086,0.00941988,0.717584,-0.509562,0.236277
01324185,1524035566273,-9.09172,-4.14637,2.20006,0.115537,-0.423853,-1.43888,0.667054,0.202589,-0.598887
01324181,1524035566273,-9.51331,-0.487332,2.3989,0.00435444,0.103167,-0.126449,0.715313,0.432591,-0.320259
01324180,1524035566273,-8.33447,-6.05911,2.92946,0.892241,-0.778466,-1.163,0.761987,0.151771,-0.41843
01324189,1524035566289,-9.82082,0.019763,-0.603533,0.0371188,-0.00398156,-0.0144699,0.69205,-0.485439,0.0225466
01324188,1524035566289,-9.71311,-0.634528,-1.24321,0.0313603,0.00287689,0.00770303,0.715398,-0.508108,0.237205
01324185,1524035566289,-8.99018,-4.14689,2.31947,0.047867,-0.435323,-1.4175,0.656413,0.215804,-0.603704
01324181,1524035566289,-9.50191,-0.632764,2.39451,0.0418457,0.136515,-0.142642,0.712861,0.4335,-0.319718
01324180,1524035566289,-8.34653,-5.90547,2.99785,0.963899,-0.782082,-1.14495,0.752235,0.164237,-0.432796
01324189,1524035566306,-9.82671,0.0969681,-0.642207,0.0518708,-0.0170886,-0.0161733,0.690917,-0.484669,0.0259299
01324188,1524035566306,-9.72264,-0.600351,-1.29879,0.0426891,0.0113132,0.0131816,0.714838,-0.505681,0.238578
01324185,1524035566306,-8.83207,-4.53311,2.3288,0.0278102,-0.450769,-1.39614,0.647016,0.226309,-0.602199
01324181,1524035566306,-9.61029,-0.738446,2.4852,0.0436067,0.101086,-0.147223,0.709902,0.4268,-0.312468
01324180,1524035566306,-8.179,-5.74338,2.92304,0.984008,-0.794613,-1.12733,0.744178,0.170433,-0.448532
01324189,1524035566322,-9.74576,0.193801,-0.696751,0.0422734,-0.0170163,-0.0162231,0.690395,-0.486399,0.0244419
01324188,1524035566322,-9.74677,-0.590334,-1.33961,0.0373571,0.012336,-0.00631771,0.715391,-0.506969,0.237816
01324185,1524035566322,-8.63945,-4.65951,2.33642,0.0242777,-0.448563,-1.35707,0.634742,0.240232,-0.607017
01324181,1524035566322,-9.44914,-0.661213,2.34468,0.0596387,0.0975279,-0.147357,0.709042,0.429435,-0.310911
01324180,1524035566322,-7.91582,-5.47073,2.77001,0.937191,-0.784709,-1.10293,0.733926,0.180006,-0.463491
01324189,1524035566339,-9.69539,0.159701,-0.746276,0.0380154,-0.0118019,-0.00914949,0.692597,-0.487617,0.0240031
01324188,1524035566339,-9.71297,-0.604875,-1.34696,0.0277598,0.0174227,-0.0045518,0.716757,-0.508055,0.238675
01324185,1524035566339,-8.62996,-4.77025,2.4148,0.0379692,-0.427265,-1.32661,0.627094,0.25572,-0.611341
01324181,1524035566339,-9.49205,-0.632669,2.42114,0.0650404,0.122123,-0.157495,0.710909,0.431145,-0.310432
01324180,1524035566339,-7.69998,-5.35051,2.82836,0.857467,-0.738273,-1.07412,0.727053,0.189393,-0.481888
01324189,1524035566355,-9.71712,0.11588,-0.760657,0.018026,0.00222186,-0.00746122,0.692882,-0.486043,0.0218594
01324188,1524035566355,-9.71309,-0.63845,-1.37313,0.0268929,-0.00479981,-0.0118805,0.717282,-0.505184,0.239523
01324185,1524035566355,-8.41066,-4.93522,2.55512,0.103572,-0.390391,-1.27593,0.618343,0.274089,-0.620414
01324181,1524035566355,-9.49197,-0.642369,2.41649,0.0685796,0.104455,-0.156797,0.71061,0.436797,-0.315089
01324180,1524035566355,-7.29728,-5.50728,3.03446,0.797038,-0.694519,-1.04355,0.71501,0.20027,-0.490971
01324189,1524035566371,-9.72208,0.140109,-0.75809,0.0302355,0.00382784,-0.00386881,0.694514,-0.487235,0.023715
01324188,1524035566371,-9.70815,-0.609565,-1.36861,0.00952043,-0.00567805,0.00392142,0.716459,-0.504012,0.239742
01324185,1524035566371,-8.10535,-5.29346,2.55786,0.15333,-0.349837,-1.22698,0.609067,0.284051,-0.625072
01324181,1524035566371,-9.44469,-0.636894,2.33941,0.0882592,0.118343,-0.171405,0.710575,0.438552,-0.31379
01324180,1524035566371,-7.10318,-5.61557,3.21944,0.767918,-0.640196,-1.00826,0.705564,0.209237,-0.504193
01324189,1524035566388,-9.75046,0.120916,-0.718761,0.0180574,0.0195043,-0.00304417,0.691751,-0.485563,0.0252403
01324188,1524035566388,-9.713,-0.609914,-1.31563,0.00787334,-0.0287365,0.0125059,0.717013,-0.505635,0.239903
01324185,1524035566388,-8.07701,-5.58247,2.66639,0.19827,-0.324073,-1.24761,0.599125,0.291135,-0.624845
01324181,1524035566388,-9.59219,-0.667852,2.45981,0.0971057,0.100736,-0.16982,0.709234,0.435193,-0.3105
01324180,1524035566388,-6.94268,-5.88783,3.80924,0.800117,-0.594878,-0.956853,0.698419,0.215825,-0.515331
01324189,1524035566404,-9.78304,0.068014,-0.650238,0.0233819,0.0229279,0.00319433,0.69174,-0.48599,0.0265827
01324188,1524035566404,-9.68879,-0.595851,-1.27022,0.0130446,-0.0159594,0.00117859,0.715243,-0.505226,0.238062
01324185,1524035566404,-7.85559,-5.79087,2.72214,0.251545,-0.308617,-1.23761,0.588219,0.301262,-0.628318
01324181,1524035566404,-9.6025,-0.672761,2.38014,0.100794,0.0631077,-0.196013,0.705672,0.438135,-0.309722
01324180,1524035566404,-6.7893,-6.2663,4.15911,0.859057,-0.578947,-0.917814,0.686331,0.220029,-0.526308
01324189,1524035566420,-9.81134,0.0974947,-0.584018,0.0458255,0.0157879,-0.00914942,0.69079,-0.485536,0.0255207
01324188,1524035566420,-9.71302,-0.610348,-1.25305,0.0286832,-0.0117413,-0.0119471,0.715521,-0.506104,0.238004
01324185,1524035566420,-7.80742,-5.90181,2.84739,0.24301,-0.319949,-1.23243,0.576902,0.310373,-0.633093
01324181,1524035566420,-9.54097,-0.652562,2.30528,0.109669,0.0703046,-0.189103,0.704562,0.440166,-0.30962
