ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524038338126,-9.73198,0.32306,-1.33779,-0.00804171,-0.0331504,-0.0077807,0.0712521,0.192616,-0.551762
01324188,1524038338126,-9.76181,0.315737,-0.746198,0.0609621,0.013972,-0.00981351,-0.252316,-0.020648,-0.658747
01324185,1524038338126,-9.38714,-2.92437,-0.48752,-0.0285204,-0.013854,0.0106599,0.0394713,-0.0888157,0.355267
01324181,1524038338126,-9.54994,0.319151,2.4976,-0.0104451,-0.00643889,0.00297589,0.313172,-0.321952,0.0712698
01324180,1524038338126,-9.51719,-2.01008,1.23496,-0.0384637,0.00123926,-0.000975654,-0.264534,0.353778,-0.0811045
01324189,1524038338130,-9.74896,0.310817,-1.34487,-0.0177893,-0.0175246,-0.0185006,0.0661055,0.199343,-0.559558
01324188,1524038338130,-9.80533,0.315961,-0.755488,0.0566304,0.0373727,0.008108,-0.257781,-0.0150183,-0.664795
01324185,1524038338130,-9.40677,-3.08791,-0.417058,-0.0500144,-0.00496036,0.000428318,0.0385091,-0.083786,0.352472
01324181,1524038338130,-9.52576,0.173806,2.57299,-0.0122238,-0.0135482,0.00120847,0.310561,-0.313315,0.0644539
01324180,1524038338130,-9.56442,-2.08762,1.2099,-0.0615227,0.0204114,0.000762623,-0.269188,0.361144,-0.0825146
01324189,1524038338146,-9.71821,0.349442,-1.37932,-0.0161056,-0.012378,-0.0202883,0.0671767,0.200474,-0.558221
01324188,1524038338146,-9.77192,0.26478,-0.726376,0.0555276,0.0502583,-0.00412329,-0.256753,-0.0156813,-0.66375
01324185,1524038338146,-9.43585,-3.15993,-0.385956,-0.00813443,-0.00349471,0.0122867,0.0404158,-0.0837416,0.354822
01324181,1524038338146,-9.41361,0.184896,2.50104,0.0100751,-0.0172434,-0.00754431,0.312456,-0.313494,0.0640381
01324180,1524038338146,-9.57728,-2.22331,1.24287,-0.0248463,0.0275682,-0.00074419,-0.268364,0.359969,-0.0830927
01324189,1524038338163,-9.6733,0.368472,-1.4481,-0.0160094,-0.0296545,-0.0149349,0.0724553,0.195757,-0.551214
01324188,1524038338163,-9.791,0.328245,-0.827881,0.0764927,0.0495624,0.0101696,-0.250742,-0.0214352,-0.658389
01324185,1524038338163,-9.43546,-3.02509,-0.377654,0.0125699,0.0105222,0.0240777,0.0453174,-0.0891838,0.358262
01324181,1524038338163,-9.45605,0.300859,2.48889,0.00915866,0.00500291,-0.000456583,0.317891,-0.318107,0.0664762
01324180,1524038338163,-9.51667,-2.07853,1.31676,0.00504922,0.0197661,-0.000587766,-0.260839,0.35879,-0.0786178
01324189,1524038338179,-9.64647,0.393006,-1.42411,-0.0264079,-0.0105532,-0.00967981,0.069752,0.195816,-0.55373
01324188,1524038338179,-9.79805,0.38152,-0.857188,0.0485587,0.0445724,0.00461126,-0.251547,-0.0227558,-0.661023
01324185,1524038338179,-9.33871,-2.90534,-0.416997,0.0238961,0.0141467,0.0427284,0.0428704,-0.0883534,0.357345
01324181,1524038338179,-9.50243,0.377925,2.51609,0.000266278,-0.00301998,-0.00394267,0.316528,-0.318336,0.0682275
01324180,1524038338179,-9.46024,-1.95717,1.31798,-0.0124349,0.0188311,-0.000687636,-0.262178,0.358822,-0.0799531
01324189,1524038338196,-9.68984,0.380788,-1.41375,-0.0160119,-0.00460978,-0.0114243,0.068669,0.194691,-0.55386
01324188,1524038338196,-9.79095,0.345024,-0.813594,0.0503423,0.0391735,0.00810592,-0.251814,-0.0236747,-0.659998
01324185,1524038338196,-9.28811,-2.90087,-0.450752,0.0162591,-0.00175798,0.0292204,0.0415103,-0.0872335,0.356816
01324181,1524038338196,-9.40324,0.335418,2.5272,0.00379566,0.00593999,0.00299948,0.3146,-0.315994,0.0691314
01324180,1524038338196,-9.41989,-2.05743,1.25498,-0.0334498,0.0205903,-0.00435851,-0.263779,0.357686,-0.0799524
01324189,1524038338213,-9.74211,0.349517,-1.35705,0.0154096,0.00200215,-0.00243563,0.0662484,0.198043,-0.559436
01324188,1524038338213,-9.79121,0.27699,-0.73837,0.0643253,0.0408479,0.00999101,-0.256193,-0.0181441,-0.664315
01324185,1524038338213,-9.30999,-2.92006,-0.512704,-8.43347e-05,0.000927543,0.0173204,0.0381043,-0.0853312,0.352881
01324181,1524038338213,-9.43359,0.271971,2.53789,0.0126517,0.00608439,0.00988313,0.311368,-0.31541,0.067554
01324180,1524038338213,-9.43258,-2.1828,1.22517,-0.00568953,0.0328546,0.0011498,-0.267546,0.360263,-0.0860814
01324189,1524038338229,-9.67934,0.3132,-1.38729,0.0205655,-0.0041199,-0.00774965,0.0669192,0.198175,-0.55837
01324188,1524038338229,-9.78142,0.30403,-0.818109,0.106176,0.032338,0.00841553,-0.254292,-0.0181254,-0.662316
01324185,1524038338229,-9.34859,-2.90058,-0.542796,-0.0149666,-0.0050781,0.0190845,0.0389216,-0.0853114,0.353925
01324181,1524038338229,-9.41231,0.281947,2.51368,0.0144165,0.00791353,0.0133342,0.312196,-0.314348,0.0641919
01324180,1524038338229,-9.48676,-2.11101,1.22503,0.00824133,0.0237618,0.0205452,-0.265935,0.36023,-0.0852924
01324189,1524038338245,-9.69431,0.354233,-1.39914,0.0310625,-0.00594586,-0.00237818,0.0686564,0.196566,-0.553711
01324188,1524038338245,-9.78603,0.362302,-0.873954,0.0781761,0.0297377,-0.00950691,-0.250736,-0.022289,-0.658847
01324185,1524038338245,-9.36309,-2.91493,-0.537175,-0.0215974,0.0142496,0.00791558,0.0428709,-0.0882072,0.357606
01324181,1524038338245,-9.48958,0.334382,2.54599,0.0108934,0.0148744,0.00652396,0.315175,-0.317334,0.0672879
01324180,1524038338245,-9.53653,-2.01526,1.24683,0.0187591,0.020209,0.0250173,-0.262322,0.359551,-0.0799363
01324189,1524038338262,-9.72187,0.411962,-1.43753,0.025735,-0.00589826,-0.00861124,0.0693354,0.195113,-0.552524
01324188,1524038338262,-9.77664,0.287367,-0.851688,0.0634301,0.0220481,0.00358681,-0.249239,-0.0225732,-0.659557
01324185,1524038338262,-9.42588,-2.96988,-0.495099,-0.0125214,0.0106817,0.0138963,0.0457181,-0.0885234,0.355897
01324181,1524038338262,-9.47102,0.3492,2.49511,0.0250946,0.00436748,0.0115519,0.317229,-0.318405,0.0655566
01324180,1524038338262,-9.56514,-2.05444,1.26808,-0.00903981,0.00788689,0.0221145,-0.260175,0.360834,-0.0818402
01324189,1524038338278,-9.69504,0.392728,-1.43311,0.0256792,0.00445053,-0.0113009,0.068788,0.196278,-0.553045
01324188,1524038338278,-9.7862,0.314076,-0.873515,0.0694758,0.0192896,-0.0096796,-0.250304,-0.0260712,-0.659224
01324185,1524038338278,-9.47659,-3.02009,-0.453589,-0.0127612,0.014133,0.00793328,0.0419161,-0.0876723,0.356033
01324181,1524038338278,-9.46569,0.32983,2.5245,0.0268993,0.00959823,0.0072833,0.315168,-0.317179,0.0678177
01324180,1524038338278,-9.583,-2.1657,1.2673,-0.0181015,0.0198726,0.0344258,-0.261363,0.359113,-0.0823996
01324189,1524038338294,-9.69156,0.364148,-1.37238,-0.000391119,0.0116339,-0.0114011,0.0667915,0.196737,-0.55838
01324188,1524038338294,-9.75236,0.316015,-0.823258,0.0363922,0.0237681,0.00253806,-0.252483,-0.0250039,-0.6625
01324185,1524038338294,-9.48386,-3.04651,-0.433595,-0.00245941,0.00868489,0.00200566,0.0400076,-0.0838901,0.354432
01324181,1524038338294,-9.44624,0.291264,2.49638,0.0286481,0.00616751,0.0132808,0.312696,-0.314542,0.0687212
01324180,1524038338294,-9.61213,-2.16131,1.27671,0.00746645,0.0149153,0.0240106,-0.264066,0.360769,-0.0836822
01324189,1524038338311,-9.75178,0.407841,-1.32999,0.00919926,-0.00225589,-0.0113315,0.0665038,0.197901,-0.557563
01324188,1524038338311,-9.76202,0.32295,-0.775113,0.0555831,0.0171441,-0.00271598,-0.25425,-0.0248036,-0.663004
01324185,1524038338311,-9.46447,-3.02735,-0.410358,-0.00437409,0.00690822,-0.00138744,0.0383772,-0.0840407,0.353915
01324181,1524038338311,-9.41781,0.303753,2.46976,0.0216266,0.0235998,0.000516606,0.312162,-0.314549,0.0680607
01324180,1524038338311,-9.57858,-2.14669,1.30128,0.00973842,0.0322306,0.0346921,-0.264735,0.360491,-0.0838135
01324189,1524038338328,-9.73197,0.383847,-1.31087,-0.00360723,0.00135018,0.00460773,0.0664787,0.195184,-0.553295
01324188,1524038338328,-9.77169,0.323152,-0.799106,0.0608252,0.0169711,0.000857,-0.2518,-0.0258754,-0.659732
01324185,1524038338328,-9.41608,-2.97708,-0.408094,0.00148059,0.0228503,0.0120995,0.0409648,-0.0854031,0.356538
01324181,1524038338328,-9.47044,0.312804,2.50789,0.0234149,0.0271052,-0.00203184,0.313532,-0.316702,0.0688909
01324180,1524038338328,-9.55491,-2.10779,1.30173,0.0119638,0.0169386,0.0108664,-0.262179,0.360149,-0.082909
01324189,1524038338344,-9.73215,0.349713,-1.33773,0.00127504,-0.00737051,-0.0202361,0.0675777,0.195151,-0.554112
01324188,1524038338344,-9.80073,0.313745,-0.818047,0.0486187,0.015991,0.00252904,-0.250979,-0.0267744,-0.659529
01324185,1524038338344,-9.42099,-2.9795,-0.446681,0.0037578,0.00709722,0.0241056,0.0431379,-0.0865359,0.35641
01324181,1524038338344,-9.51393,0.305039,2.47395,0.0163431,0.0145577,-0.0107259,0.315721,-0.317912,0.0674276
01324180,1524038338344,-9.58171,-2.0986,1.31602,0.00502616,0.0134244,0.00992704,-0.260031,0.3604,-0.0826644
01324189,1524038338361,-9.70916,0.349133,-1.42327,0.00916239,-0.0160948,-0.0157568,0.0679722,0.195436,-0.552774
01324188,1524038338361,-9.791,0.323822,-0.885599,0.0337337,0.0240537,-0.00279232,-0.250423,-0.0286491,-0.660193
01324185,1524038338361,-9.41621,-2.99157,-0.456467,-0.0143846,0.00802695,0.0113621,0.0432726,-0.0865435,0.356017
01324181,1524038338361,-9.50413,0.290598,2.47429,0.0198364,0.0076767,-0.000454408,0.316122,-0.317631,0.0674175
01324180,1524038338361,-9.56878,-2.16121,1.3158,0.0104355,0.00474415,0.00636552,-0.2587,0.361687,-0.0829293
01324189,1524038338377,-9.65686,0.392577,-1.47264,-0.000396495,0.00125409,-0.0113902,0.066463,0.195193,-0.551686
01324188,1524038338377,-9.80066,0.324108,-0.921625,0.025036,0.0261765,0.0060209,-0.251508,-0.0288712,-0.661271
01324185,1524038338377,-9.39696,-3.00133,-0.462044,0.000516782,-0.00201424,-0.00985537,0.0427267,-0.086281,0.354969
01324181,1524038338377,-9.49028,0.32474,2.45923,0.021647,-0.00306528,-0.00745642,0.316374,-0.316201,0.0673849
01324180,1524038338377,-9.5518,-2.16091,1.3063,0.0428624,0.00675367,-0.000452201,-0.260289,0.359828,-0.0834856
01324189,1524038338394,-9.67599,0.368513,-1.48492,-0.000201535,-0.00225636,-0.00972403,0.0660537,0.195872,-0.554264
01324188,1524038338394,-9.78131,0.32871,-0.900158,0.0189313,0.0168799,0.000569347,-0.250698,-0.0279614,-0.662303
01324185,1524038338394,-9.3776,-2.97737,-0.463119,-0.00357771,0.00886984,0.0172892,0.039467,-0.08572,0.354713
01324181,1524038338394,-9.47603,0.341888,2.46382,0.012743,0.0111364,-0.00386275,0.314325,-0.315282,0.0687196
01324180,1524038338394,-9.50697,-2.08832,1.34097,0.022662,0.0119132,0.000343131,-0.26269,0.35842,-0.084292
01324189,1524038338411,-9.68552,0.370993,-1.4726,0.00857437,-0.00492541,-0.00435697,0.0636094,0.195069,-0.554779
01324188,1524038338411,-9.79601,0.27548,-0.865868,0.0354752,0.029271,-0.00272265,-0.253686,-0.0282214,-0.661877
01324185,1524038338411,-9.36325,-3.00878,-0.482821,0.0057932,-0.00734273,-0.00983426,0.0379699,-0.0857471,0.353278
