ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524037116548,-9.62967,0.48887,0.223383,-0.00429682,-0.0637083,-0.0087575,0.223493,-0.0796936,-0.480528
01324188,1524037116548,-9.79587,-0.0437113,-0.194112,0.00788517,0.00641539,-0.00858654,-0.0504634,-0.461906,-0.459322
01324185,1524037116548,4.2528,-5.30993,5.64463,0.35738,-0.32109,0.428018,-0.0947456,0.308793,-0.368513
01324181,1524037116548,-9.74526,-1.59519,2.40776,-0.187971,-0.03065,-0.0548811,0.613456,0.0080102,0.0318526
01324180,1524037116548,6.37687,1.27924,1.98182,0.0311124,-0.626553,-0.63113,-0.267107,0.0216948,-0.565771
01324189,1524037116552,-9.62249,0.453712,0.369239,-0.0443638,-0.0304795,-0.0125064,0.217665,-0.0723675,-0.48953
01324188,1524037116552,-9.77659,-0.0538935,-0.126786,-0.0252031,-0.00427455,-0.0053878,-0.0544201,-0.458026,-0.462934
01324185,1524037116552,4.08552,-4.22497,6.10894,0.412593,-0.190267,0.530888,-0.0996646,0.317445,-0.374612
01324181,1524037116552,-9.39192,-1.53022,2.23972,-0.166795,-0.109851,-0.0316003,0.613937,0.0148247,0.0287719
01324180,1524037116552,7.28762,0.37957,2.23713,-0.0780169,-0.394999,-0.801179,-0.281936,0.0248414,-0.562106
01324189,1524037116568,-9.7006,0.36332,0.623352,-0.0632006,-0.00948958,0.00518003,0.218779,-0.0728392,-0.491426
01324188,1524037116568,-9.82045,-0.14801,-0.0918978,-0.0164174,-0.0150442,0.00163022,-0.0534671,-0.458199,-0.465784
01324185,1524037116568,3.73544,-4.46341,6.2841,0.111985,-0.294013,0.533666,-0.101846,0.319109,-0.376326
01324181,1524037116568,-9.07527,-1.72314,2.42415,-0.174342,-0.0429174,0.0516944,0.615972,0.0144971,0.0282242
01324180,1524037116568,8.07167,0.260282,2.51965,0.029893,-0.16081,-0.885218,-0.287793,0.0180844,-0.556471
01324189,1524037116585,-9.73195,0.247889,0.750125,-0.0492073,-0.000109851,0.0087725,0.22517,-0.0773108,-0.485898
