ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524038021795,-9.53735,0.683703,-2.27846,-0.0377945,-0.0185971,-0.00852327,0.526825,-0.321384,0.10986
01324188,1524038021795,-9.78246,0.52191,-0.470922,0.0126918,0.0410496,0.0150734,0.594727,-0.270764,0.0955033
01324185,1524038021795,-9.64802,-1.79957,0.365571,-0.00771546,-0.034607,0.018906,0.494625,0.184586,-0.399268
01324181,1524038021795,-9.15755,0.914079,3.27709,-0.0285877,-0.0194643,-0.00716302,0.47735,0.351824,-0.19595
01324180,1524038021795,-9.64071,-1.62284,0.363459,-0.0377103,0.0133967,0.0148834,0.573601,-0.191915,-0.237517
01324189,1524038021798,-9.53415,0.689006,-2.22251,-0.0318112,-0.00312328,-0.0138626,0.524471,-0.314971,0.108998
01324188,1524038021798,-9.78732,0.51456,-0.451564,0.0284053,0.0528769,0.0223902,0.59388,-0.265633,0.0923254
01324185,1524038021798,-9.62863,-1.79965,0.41327,-0.0076403,-0.0293098,0.0205684,0.490519,0.190655,-0.407314
01324181,1524038021798,-9.13811,0.919138,3.3061,-0.0303835,-0.0220882,-0.00546129,0.473507,0.360515,-0.201697
01324180,1524038021798,-9.6332,-1.657,0.40685,-0.0165937,0.0154533,0.00271317,0.569785,-0.187455,-0.240361
01324189,1524038021814,-9.53142,0.67946,-2.20554,-0.0403538,-0.00992548,-0.00499427,0.522723,-0.312059,0.104204
01324188,1524038021814,-9.77272,0.541115,-0.463952,0.0241113,0.0418296,0.0337465,0.590182,-0.261448,0.0885839
01324185,1524038021814,-9.62383,-1.79969,0.398507,-0.0100302,-0.0206203,0.00605666,0.488217,0.191022,-0.402981
01324181,1524038021814,-9.1427,0.909371,3.31592,-0.0339542,-0.0238282,-0.00373869,0.471883,0.359565,-0.200192
01324180,1524038021814,-9.65771,-1.62817,0.392267,-0.0131885,0.0206976,0.00454236,0.566225,-0.18272,-0.241029
01324189,1524038021831,-9.52465,0.713257,-2.22503,-0.0263116,-0.00833437,0.00570922,0.521538,-0.312194,0.0996492
01324188,1524038021831,-9.77259,0.575108,-0.497954,0.0232154,0.0385857,0.029279,0.586919,-0.261488,0.0844368
