ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524483901425,-9.65749,1.37798,-0.956722,0.045437,0.0151019,0.00202269,0.23342,0.354552,-0.119463
01324188,1524483901425,-9.65885,1.65453,-0.980165,0.0228783,0.00928457,0.000738216,0.182429,0.372004,-0.195776
01324185,1524483901425,-9.43226,-3.05722,0.509327,0.0414936,-0.0342712,0.0363398,0.280706,-0.104956,0.357683
01324181,1524483901425,-9.56939,1.08011,1.61484,0.0267742,-0.0167799,-0.0105842,0.14518,-0.569158,0.0941754
01324180,1524483901425,9.08979,3.60686,1.09599,-0.0486022,-0.0396587,0.0055324,-0.0111461,-0.384924,0.200948
01324189,1524483901428,-9.61861,1.40739,-0.935332,0.0357322,0.0324489,-0.00515731,0.231784,0.360062,-0.123159
01324188,1524483901428,-9.59578,1.71451,-0.971575,0.0238032,-0.00153208,0.00771352,0.17725,0.372783,-0.20107
01324185,1524483901428,-9.38181,-3.13217,0.512792,0.0439695,-0.0308111,0.0320529,0.277426,-0.101595,0.355559
01324181,1524483901428,-9.52069,1.04185,1.63038,0.016103,-0.0150326,-0.0105424,0.143691,-0.565926,0.08985
01324180,1524483901428,9.064,3.72233,1.10604,-0.0750013,-0.0382383,0.0177177,-0.0176236,-0.381717,0.195542
01324189,1524483901444,-9.63203,1.39822,-0.862128,0.0262802,0.0153025,-0.00159948,0.230157,0.360099,-0.124483
01324188,1524483901444,-9.57656,1.68305,-0.964219,0.00982372,0.0089501,0.00596669,0.1767,0.373756,-0.202895
01324185,1524483901444,-9.31895,-3.03631,0.448452,0.0428932,-0.0266127,0.00819913,0.276473,-0.103019,0.355182
01324181,1524483901444,-9.54694,1.08757,1.71145,0.0374339,-0.00257654,-0.00877649,0.143114,-0.563883,0.0908815
01324180,1524483901444,9.0498,3.69551,1.11542,-0.0858378,-0.0227156,0.0283042,-0.0159814,-0.383784,0.19534
01324189,1524483901460,-9.64453,1.46117,-0.861789,0.0385197,0.0324535,0.00729566,0.231248,0.357481,-0.122637
01324188,1524483901460,-9.59608,1.63253,-0.970829,0.0158763,-0.00400154,-0.011836,0.177922,0.374249,-0.201392
01324185,1524483901460,-9.30403,-2.86307,0.424194,0.05023,-0.0162195,-0.00378841,0.277976,-0.10156,0.357397
01324181,1524483901460,-9.56301,1.0752,1.77437,0.0213799,-0.00603022,-0.00357733,0.142697,-0.567339,0.096834
01324180,1524483901460,9.06524,3.63559,1.09107,-0.0788675,-0.0317348,0.0423331,-0.00981469,-0.382159,0.197454
01324189,1524483901476,-9.71591,1.52589,-0.911674,0.0392202,0.0272623,-0.00334151,0.230702,0.357207,-0.122498
01324188,1524483901476,-9.67298,1.75853,-1.0195,0.00106245,-0.0128791,-0.00850946,0.176695,0.374244,-0.200836
01324185,1524483901476,-9.3351,-2.76896,0.436688,0.0617098,0.0021818,-0.00221307,0.275933,-0.102409,0.357412
01324181,1524483901476,-9.49134,1.04215,1.68369,0.0214301,-0.00526431,-0.00875757,0.14213,-0.565739,0.0973405
01324180,1524483901476,9.05111,3.62843,1.05245,-0.0742551,0.010544,0.0410451,-0.00820749,-0.381988,0.197243
01324189,1524483901492,-9.6963,1.46532,-0.921851,0.0262961,0.0170405,0.00196178,0.231784,0.35704,-0.121304
01324188,1524483901492,-9.64401,1.74862,-0.995574,-0.0303048,-0.0115456,-0.00250978,0.178065,0.372972,-0.199176
01324185,1524483901492,-9.32766,-2.73765,0.494283,0.0121531,-0.0062221,-0.00891071,0.277977,-0.103123,0.357149
01324181,1524483901492,-9.52996,1.04171,1.66655,0.0374639,0.00799606,-0.0104081,0.143655,-0.566819,0.0949435
01324180,1524483901492,9.05742,3.53484,1.00608,-0.056082,0.00665234,0.0639661,-0.0100844,-0.383125,0.198063
01324189,1524483901509,-9.65698,1.43662,-0.895737,0.00896968,0.0258524,0.0063227,0.232575,0.359768,-0.120083
01324188,1524483901509,-9.59621,1.59837,-0.912758,-0.00157678,0.00986374,-0.0118029,0.178045,0.376041,-0.199118
01324185,1524483901509,-9.34687,-2.73028,0.526574,-0.0230259,-0.0111747,-0.00883622,0.278374,-0.0982175,0.35434
01324181,1524483901509,-9.52078,1.0564,1.63976,0.0214373,0.00803501,-0.00691337,0.1446,-0.564317,0.0916762
01324180,1524483901509,9.04117,3.47648,1.02735,-0.0339708,0.0143662,0.0325,-0.0158569,-0.384029,0.195957
01324189,1524483901525,-9.65674,1.50483,-0.849331,-0.00493175,0.0260039,0.00716404,0.233951,0.358863,-0.120509
01324188,1524483901525,-9.59635,1.56424,-0.859501,0.0168192,0.000654699,-0.00115753,0.17764,0.375687,-0.200757
01324185,1524483901525,-9.36138,-2.73982,0.52244,-0.0410553,-0.000535247,-0.0190865,0.280557,-0.0991976,0.354999
01324181,1524483901525,-9.55486,1.07542,1.61986,0.0249641,0.0400754,0.00370217,0.144582,-0.563159,0.0920527
01324180,1524483901525,9.08681,3.49125,1.05205,0.00787172,0.0357833,0.0206001,-0.0163794,-0.385626,0.196476
01324189,1524483901541,-9.69558,1.51921,-0.84871,0.0183115,0.0222968,-0.00873594,0.234113,0.356543,-0.121737
01324188,1524483901541,-9.65148,1.69042,-0.944449,0.0114769,0.0186032,-0.0116285,0.179009,0.374598,-0.199896
01324185,1524483901541,-9.38098,-2.85045,0.52927,-0.0726772,-0.00376247,-0.0190245,0.280157,-0.10341,0.357013
01324181,1524483901541,-9.64043,1.02101,1.64933,0.0142355,0.0278238,0.0105539,0.146343,-0.565702,0.0951589
01324180,1524483901541,9.10928,3.62191,1.04815,0.0392518,0.0464545,0.0191422,-0.0139639,-0.384795,0.196457
01324189,1524483901557,-9.67728,1.49924,-0.931794,0.0192438,0.022279,-0.00340654,0.231655,0.357327,-0.12224
01324188,1524483901557,-9.59554,1.77751,-1.01547,-0.000748574,0.0167746,-0.0108405,0.17737,0.375241,-0.200511
01324185,1524483901557,-9.35696,-2.90355,0.555479,-0.083361,0.00158863,-0.0224532,0.277019,-0.102154,0.35596
01324181,1524483901557,-9.65527,1.06449,1.66289,0.00708483,0.0225928,0.0148396,0.142817,-0.566051,0.0966722
01324180,1524483901557,9.06499,3.68437,1.02872,0.0462268,0.0482466,0.0192242,-0.0109837,-0.386159,0.196521
01324189,1524483901573,-9.6749,1.45546,-0.953841,-0.0154231,0.0260981,0.00357752,0.231115,0.357482,-0.123038
01324188,1524483901573,-9.60557,1.68304,-0.947146,-0.00505697,0.0028175,-0.0101376,0.177104,0.374034,-0.199638
01324185,1524483901573,-9.31847,-2.95673,0.581069,-0.0685299,0.00337641,-0.00547958,0.276887,-0.103545,0.357288
01324181,1524483901573,-9.55453,1.07782,1.65845,0.00347221,0.0192086,0.024276,0.143612,-0.566302,0.0988057
01324180,1524483901573,9.0175,3.62115,1.01825,0.0387946,0.036482,-0.00728444,-0.011534,-0.385276,0.196683
01324189,1524483901590,-9.67644,1.45594,-0.892964,-0.0362656,0.0133735,0.00175566,0.229208,0.35753,-0.123553
01324188,1524483901590,-9.60342,1.6128,-0.903206,0.0123941,0.0148309,-0.00634435,0.175036,0.377861,-0.199371
01324185,1524483901590,-9.29686,-2.98096,0.565835,-0.054824,0.00140199,-0.0139908,0.276061,-0.101756,0.354514
01324181,1524483901590,-9.56404,1.04862,1.62997,0.0105775,0.0228176,0.0277377,0.141343,-0.566901,0.0963049
01324180,1524483901590,8.96481,3.58191,1.01752,0.032626,0.0471911,-0.017796,-0.0134691,-0.381457,0.197331
01324189,1524483901606,-9.72393,1.45626,-0.826524,0.0175617,0.00160431,-0.00513953,0.230547,0.35722,-0.120617
01324188,1524483901606,-9.65383,1.71426,-0.903734,0.0168194,0.0233933,0.0132399,0.177898,0.377838,-0.199949
01324185,1524483901606,-9.28967,-2.97141,0.526605,-0.0340198,-0.00238264,-0.0207947,0.278243,-0.102458,0.354907
01324181,1524483901606,-9.55372,1.00021,1.64062,0.0123578,0.0228182,0.0277354,0.142982,-0.56654,0.0941435
01324180,1524483901606,8.95475,3.62072,0.988627,0.0294824,0.0244762,-0.0214797,-0.015486,-0.381711,0.197085
01324189,1524483901623,-9.69058,1.495,-0.848843,0.01426,-0.00353394,0.00729008,0.234923,0.356382,-0.120674
