ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524483869031,-9.67058,1.11553,-0.917173,-0.0175986,0.00731123,-0.00313364,0.394846,0.231929,-0.292902
01324188,1524483869031,-9.66549,1.28987,-0.959903,-0.000994599,0.00618612,-0.00472087,0.276077,0.241274,-0.421197
01324185,1524483869031,-9.14727,-3.83883,0.674795,-0.11938,-0.0171567,0.0747975,0.470946,0.189509,0.214866
01324181,1524483869031,-9.70168,0.9037,1.077,-0.0143929,-0.0407831,0.0223769,0.432398,-0.264344,0.182026
01324180,1524483869031,8.5809,4.59941,1.59989,0.0809529,-0.0514734,0.0263993,-0.173797,-0.484668,-0.0372563
01324189,1524483869036,-9.71119,1.1559,-0.692523,0.0120486,0.0156827,0.0022913,0.389661,0.237246,-0.297099
01324188,1524483869036,-9.67519,1.28464,-0.8948,0.00781784,0.00875258,0.013066,0.271416,0.245826,-0.425992
01324185,1524483869036,-9.21486,-3.91298,0.756099,-0.0484022,-0.0238935,0.0883855,0.470254,0.194142,0.212456
01324181,1524483869036,-9.70205,0.918269,1.0574,-0.0268551,-0.0372153,0.0250314,0.429654,-0.259058,0.178602
01324180,1524483869036,8.58932,4.67625,1.64873,0.0197413,-0.0678459,0.0443765,-0.182238,-0.476481,-0.0403631
01324189,1524483869052,-9.74055,1.20424,-0.691965,0.0135355,0.0311906,-0.0119428,0.388291,0.239011,-0.297875
01324188,1524483869052,-9.67497,1.34291,-0.95309,0.0252244,0.0107154,0.00966549,0.270312,0.247912,-0.426388
01324185,1524483869052,-9.18109,-3.9204,0.769288,0.0028299,-0.0190487,0.0933932,0.469302,0.192446,0.212739
01324181,1524483869052,-9.75869,0.893274,1.1348,-0.0223444,-0.023249,0.0139515,0.428577,-0.258219,0.176858
01324180,1524483869052,8.57701,4.7005,1.62458,-0.0484772,-0.0787864,0.0535478,-0.182798,-0.475018,-0.039646
01324189,1524483869069,-9.71307,1.20835,-0.799472,0.0187966,0.0224883,-0.00836198,0.391971,0.231287,-0.292068
01324188,1524483869069,-9.67503,1.32832,-0.936111,0.018196,0.0198561,0.00086763,0.272659,0.242829,-0.421868
01324185,1524483869069,-9.18561,-3.79519,0.743929,0.0509942,-0.0250262,0.0695644,0.471489,0.188341,0.213166
01324181,1524483869069,-9.77189,0.96835,1.10913,-0.0339615,-0.0390548,0.0207408,0.429291,-0.262921,0.179355
01324180,1524483869069,8.58533,4.63831,1.57839,-0.116663,-0.0986502,0.0705431,-0.176159,-0.479239,-0.036161
01324189,1524483869085,-9.70746,1.17718,-0.760684,0.00320462,0.0122978,-0.00750692,0.391969,0.232152,-0.29233
01324188,1524483869085,-9.70168,1.31377,-0.909298,0.023504,0.00888984,0.0114,0.272934,0.242545,-0.42216
01324185,1524483869085,-9.25775,-3.6696,0.672931,0.0814371,-0.0227395,0.0627264,0.470396,0.189046,0.2129
01324181,1524483869085,-9.74249,0.956531,1.15301,-0.00200571,-0.0388219,0.0309784,0.429537,-0.261193,0.179583
01324180,1524483869085,8.65735,4.5091,1.54938,-0.141159,-0.114906,0.0895674,-0.17615,-0.479228,-0.0380629
01324189,1524483869102,-9.71937,1.1116,-0.775265,-0.0158814,0.019406,-0.0049159,0.391427,0.230724,-0.291932
01324188,1524483869102,-9.68242,1.29427,-0.890018,0.00427725,0.0161662,0.00427137,0.274288,0.244191,-0.423426
01324185,1524483869102,-9.32021,-3.54886,0.62826,0.0702627,-0.0269651,0.0695811,0.472581,0.188921,0.213814
01324181,1524483869102,-9.60702,0.759119,1.23495,0.00696857,-0.0355316,0.0180404,0.430913,-0.262099,0.178519
01324180,1524483869102,8.74268,4.45691,1.55718,-0.128892,-0.109442,0.0808598,-0.177633,-0.479201,-0.0380405
01324189,1524483869118,-9.73021,1.13413,-0.677683,-0.00894571,0.0227999,-0.00667269,0.390912,0.233026,-0.29661
01324188,1524483869118,-9.69441,1.3186,-0.914212,0.0261022,0.00569757,0.00607356,0.272633,0.247194,-0.424434
01324185,1524483869118,-9.30546,-3.50073,0.702354,0.0608964,-0.0199616,0.0567852,0.473117,0.193419,0.211796
01324181,1524483869118,-9.64062,0.831631,1.0836,-0.00180301,-0.0145968,0.00359504,0.42931,-0.262687,0.176944
01324180,1524483869118,8.77143,4.46408,1.59617,-0.0850596,-0.116384,0.0846002,-0.183962,-0.478043,-0.0422712
01324189,1524483869134,-9.71188,1.19928,-0.721619,0.00645412,0.00188759,-0.0252445,0.392261,0.235015,-0.296072
01324188,1524483869134,-9.67026,1.30907,-0.943193,0.0112122,0.00630916,-0.00640767,0.273721,0.247633,-0.424826
01324185,1524483869134,-9.21334,-3.35441,0.721171,0.00871161,-0.00520576,0.0711827,0.473251,0.191976,0.210494
01324181,1524483869134,-9.75927,0.881199,1.05774,0.0283783,-0.00193255,0.0156988,0.430105,-0.26126,0.176906
01324180,1524483869134,8.71405,4.40024,1.63393,-0.0430534,-0.10906,0.0761229,-0.185047,-0.477588,-0.0419743
01324189,1524483869150,-9.66958,1.21334,-0.804985,0.0188198,0.0224794,-0.00659348,0.392518,0.232136,-0.292605
01324188,1524483869150,-9.72083,1.3626,-0.986604,0.0164457,0.0146542,0.00079133,0.272387,0.242891,-0.423078
01324185,1524483869150,-9.1726,-3.46059,0.739931,-0.0193249,-0.0260595,0.0730411,0.473936,0.188571,0.210393
01324181,1524483869150,-9.72516,0.949421,1.19673,0.00346221,-0.0179706,0.0104529,0.430395,-0.263683,0.178156
01324180,1524483869150,8.67568,4.37817,1.62377,-0.018747,-0.0769246,0.0518889,-0.18222,-0.477939,-0.0403928
01324189,1524483869167,-9.69232,1.13625,-0.736669,-0.0122738,0.02974,0.00573335,0.391163,0.230726,-0.292869
01324188,1524483869167,-9.66992,1.40106,-0.996977,0.00423769,-0.000748339,-0.00476486,0.272931,0.243212,-0.423876
01324185,1524483869167,-9.18237,-3.5207,0.765232,-0.00171488,-0.0244749,0.0730147,0.472435,0.186852,0.209495
01324181,1524483869167,-9.60983,0.943518,1.18309,0.00883884,-0.00212919,0.00709708,0.430279,-0.264424,0.177104
01324180,1524483869167,8.67476,4.46064,1.58554,-0.00978865,-0.0890744,0.0483644,-0.181962,-0.476479,-0.0415899
01324189,1524483869183,-9.74559,1.03391,-0.779923,-0.019206,0.0056463,0.00221215,0.391697,0.232303,-0.292594
01324188,1524483869183,-9.70891,1.32327,-0.885261,-0.00619412,0.00262503,-0.00303412,0.272113,0.242812,-0.421321
01324185,1524483869183,-9.19452,-3.5399,0.75139,-0.0231145,-0.0419532,0.0663498,0.47448,0.186986,0.209092
01324181,1524483869183,-9.61965,0.90949,1.11606,0.0176716,-0.014298,0.0181739,0.43028,-0.264706,0.177377
01324180,1524483869183,8.6402,4.52831,1.53965,-0.0361057,-0.0748396,0.0342559,-0.180878,-0.476787,-0.0420197
01324189,1524483869199,-9.77842,1.13162,-0.662356,0.0137914,0.0191375,0.00230433,0.389226,0.235109,-0.293215
01324188,1524483869199,-9.70454,1.19743,-0.821581,0.00605192,-0.0043048,-0.00302272,0.271003,0.246187,-0.424206
01324185,1524483869199,-9.11738,-3.51155,0.679855,-0.0422519,-0.0328887,0.0713983,0.473663,0.188568,0.210263
01324181,1524483869199,-9.64345,0.918882,1.15437,0.028367,-0.00904903,0.013881,0.428233,-0.263244,0.177101
01324180,1524483869199,8.59895,4.50763,1.62373,-0.0614061,-0.0757421,0.0296979,-0.183828,-0.47775,-0.0428107
01324189,1524483869216,-9.7374,1.16575,-0.658026,0.0258964,-0.000859844,-0.00473364,0.391175,0.234752,-0.296599
01324188,1524483869216,-9.66062,1.30391,-0.899902,0.0199664,-0.00410063,-0.00646109,0.272924,0.244233,-0.423812
01324185,1524483869216,-9.11271,-3.53089,0.631324,-0.0429881,-0.0207138,0.0543117,0.47421,0.187011,0.210408
01324181,1524483869216,-9.64821,0.904281,1.14013,0.0106516,-0.00752815,0.00188671,0.430951,-0.263444,0.176274
01324180,1524483869216,8.60202,4.45441,1.63797,-0.018831,-0.0572838,0.0344784,-0.184102,-0.477012,-0.0436069
01324189,1524483869233,-9.70221,1.14582,-0.746233,0.017122,0.0069741,-0.00833921,0.393474,0.23384,-0.293543
