ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524482962087,-9.61175,1.35245,-0.583016,0.0206816,-0.0235353,-0.0159576,0.833257,-0.410585,0.325815
01324188,1524482962087,-9.58233,1.4722,-1.18605,0.0025838,0.0367112,0.0080201,0.807196,-0.486247,0.316485
01324185,1524482962087,-9.39699,-2.45939,1.60829,0.0328805,0.088559,0.182554,0.872711,-0.0281279,-0.528494
01324181,1524482962087,-9.31819,1.21173,2.30165,0.0100043,-0.0241768,0.0279732,0.787569,0.0203265,-0.611327
01324180,1524482962087,9.31056,3.23041,1.40429,-0.0107273,-0.231742,0.0176324,-0.966823,0.097167,-0.0623483
01324189,1524482962090,-9.71,1.52635,-0.600593,0.0623271,0.0313038,-0.00879626,0.83093,-0.405906,0.322648
01324188,1524482962090,-9.71758,1.50016,-1.32243,0.0461261,0.0507503,0.00845279,0.805393,-0.480737,0.311986
01324185,1524482962090,-9.38244,-2.44742,1.63181,0.0378555,0.0884427,0.175742,0.872701,-0.0293469,-0.532949
01324181,1524482962090,-9.3563,1.23064,2.36383,0.0118582,-0.00315826,0.0160908,0.788678,0.0252954,-0.62055
01324180,1524482962090,9.30141,3.18424,1.42329,-0.0241845,-0.200017,0.00633133,-0.974191,0.105737,-0.0622029
01324189,1524482962106,-9.80658,1.5018,-0.589456,0.0678812,0.00885682,0.0108291,0.830916,-0.404889,0.323464
01324188,1524482962106,-9.6588,1.69441,-1.54847,0.0321775,0.0294269,0.0160946,0.805663,-0.480297,0.311875
01324185,1524482962106,-9.34373,-2.41635,1.64439,0.0219653,0.0971966,0.154433,0.87407,-0.0301517,-0.530581
01324181,1524482962106,-9.42891,1.27345,2.36738,0.00997759,-0.0223486,0.0297342,0.787858,0.0257393,-0.620551
01324180,1524482962106,9.29166,3.16654,1.48835,0.000709766,-0.172099,0.0163527,-0.975285,0.105736,-0.0587967
