ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524484970610,-9.70974,-0.355135,-1.84566,0.0769926,0.00356104,0.00750505,0.75688,0.279422,0.282155
01324188,1524484970610,-9.80203,0.205723,0.206981,0.0438308,-0.0016357,-0.00929973,0.895953,0.268012,0.0783925
01324185,1524484970610,-10.1788,0.599532,0.474208,0.240383,-0.0835823,0.119383,0.778912,0.0530598,0.181327
01324181,1524484970610,-9.2634,0.341791,2.94342,0.0762917,0.0170048,0.00827428,0.850875,-0.42665,-0.153646
01324180,1524484970610,-9.76578,-1.57766,0.542675,0.522445,0.0576174,-0.142621,0.684447,0.346915,-0.0706626
01324189,1524484970614,-9.6563,-0.369414,-1.84163,0.0733835,0.0191128,0.000346329,0.756174,0.288024,0.278436
01324188,1524484970614,-9.78031,0.193637,0.199701,0.046469,0.00658396,-0.000337378,0.897416,0.275851,0.0739703
01324185,1524484970614,-9.85123,0.580408,0.224998,0.328367,-0.0597568,0.200706,0.778898,0.0564052,0.177053
01324181,1524484970614,-9.26099,0.293137,3.13276,0.0791639,0.0446574,-0.0276878,0.853561,-0.419925,-0.157064
01324180,1524484970614,-9.54959,-1.28057,0.541583,0.548256,0.110859,-0.170193,0.681386,0.355515,-0.0763244
01324189,1524484970630,-9.6092,-0.262965,-1.88834,0.0594965,0.00543105,0.00209117,0.757829,0.28798,0.278552
01324188,1524484970630,-9.7705,0.23014,0.146345,0.0438252,0.00840581,-0.00210443,0.897967,0.275382,0.074342
01324185,1524484970630,-9.55692,0.742101,-0.0076636,0.386516,-0.0324927,0.244624,0.781368,0.0549399,0.175204
01324181,1524484970630,-9.23835,0.264232,3.20109,0.13896,0.0103621,-0.0695492,0.853282,-0.420051,-0.156382
01324180,1524484970630,-9.36849,-1.13041,0.698872,0.469378,0.133629,-0.186361,0.681639,0.358466,-0.0798248
01324189,1524484970647,-9.64151,-0.248964,-1.93894,0.0613444,0.0175117,0.0127415,0.757032,0.280573,0.279993
01324188,1524484970647,-9.78249,0.250009,0.0692432,0.0429012,0.0197951,-0.0037571,0.896632,0.269252,0.0768292
01324185,1524484970647,-9.35453,0.738325,-0.125489,0.391589,-0.00395681,0.280111,0.781244,0.0495692,0.178172
01324181,1524484970647,-9.26931,0.41432,3.17627,0.153214,-0.0030076,-0.0766166,0.852025,-0.422382,-0.150772
01324180,1524484970647,-9.19923,-1.20817,0.936974,0.374642,0.132669,-0.16065,0.681973,0.35258,-0.0780342
01324189,1524484970663,-9.58299,-0.184183,-2.05165,0.0786867,0.0173019,0.0127864,0.756366,0.27898,0.278496
01324188,1524484970663,-9.79186,0.327794,-0.0156252,0.0507386,0.020498,-0.000158287,0.895797,0.270956,0.0784445
01324185,1524484970663,-9.28179,0.911186,-0.18862,0.318178,0.0145107,0.291961,0.777804,0.0462317,0.175434
01324181,1524484970663,-9.34188,0.56398,3.07391,0.182561,-0.0179995,-0.0768414,0.852004,-0.421627,-0.14957
01324180,1524484970663,-9.05919,-1.26681,1.16039,0.261849,0.150407,-0.108536,0.680755,0.352012,-0.0774805
