ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524485092674,-9.50472,-0.170499,-2.41965,-0.0469471,-0.000793664,-0.0131028,0.637409,0.533886,0.326682
01324188,1524485092674,-9.83949,0.175859,-0.175271,-0.0304409,0.00418782,0.000782488,0.698178,0.568459,0.0423684
01324185,1524485092674,-9.72294,0.529176,0.482259,-0.0103044,0.0110668,0.0150884,0.790661,-0.0268709,0.382579
01324181,1524485092674,-9.33838,0.369954,2.6577,-0.0163817,-0.0251125,0.0272948,0.665909,-0.450826,-0.198679
01324180,1524485092674,-9.55828,-0.658176,1.56402,-0.151323,-0.0166095,-0.0168071,0.711388,0.505762,0.0563093
01324189,1524485092678,-9.54326,-0.192428,-2.41425,-0.0443799,-0.00254154,-0.016637,0.637412,0.541579,0.321597
01324188,1524485092678,-9.82994,0.146353,-0.0980626,-0.0260589,-0.0110712,-0.00643407,0.699246,0.573753,0.0357565
01324185,1524485092678,-9.8266,0.529852,0.515809,-0.0825604,0.0187563,0.0117399,0.792024,-0.0212022,0.3804
01324181,1524485092678,-9.39224,0.35486,2.53446,-0.00922207,0.00231037,0.0275234,0.665514,-0.448031,-0.204148
01324180,1524485092678,-9.56947,-0.919413,1.59873,-0.226337,-0.0236141,-0.0323379,0.710754,0.513992,0.0548457
01324189,1524485092694,-9.54847,-0.322627,-2.32928,-0.0145431,-0.00454148,-0.000537335,0.63713,0.54217,0.321876
01324188,1524485092694,-9.80823,0.136495,-0.0788888,-0.0113014,-0.00165691,-0.019502,0.697597,0.574367,0.0358161
01324185,1524485092694,-9.99577,0.343189,0.626891,-0.145361,0.0176548,0.0220621,0.791752,-0.0219004,0.381202
01324181,1524485092694,-9.35272,0.330998,2.61488,0.00853953,0.017466,0.0327637,0.664822,-0.447724,-0.203877
01324180,1524485092694,-9.68617,-1.42807,1.62622,-0.11273,0.00529113,-0.0561323,0.709117,0.514456,0.0556994
01324189,1524485092710,-9.52906,-0.222829,-2.28308,-0.00439782,-0.00898891,-0.0200452,0.63701,0.536067,0.32386
01324188,1524485092710,-9.79856,0.13636,-0.0645226,-0.0094991,-0.011634,-0.0116327,0.697353,0.569162,0.0402483
01324185,1524485092710,-9.9458,0.0491805,0.703001,-0.125624,-0.0141924,0.0290422,0.789283,-0.025035,0.381506
01324181,1524485092710,-9.34376,0.447499,2.69965,0.0157229,0.0278428,0.019025,0.66441,-0.45252,-0.197273
01324180,1524485092710,-9.74246,-1.40036,1.68383,0.0806773,0.0384547,-0.0142168,0.710097,0.509567,0.0611887
01324189,1524485092726,-9.56115,-0.181961,-2.30684,-0.00754735,0.00748535,0.00657227,0.635899,0.536101,0.324686
01324188,1524485092726,-9.82995,0.146219,-0.0788076,0.00882926,-0.0083881,-0.0061663,0.696119,0.569132,0.0413494
01324185,1524485092726,-9.82262,0.0581097,0.772861,-0.0442034,-0.0201346,0.040869,0.790658,-0.0271822,0.381258
01324181,1524485092726,-9.35502,0.486288,2.57807,-0.000230518,0.01527,0.0103443,0.665229,-0.452241,-0.197288
01324180,1524485092726,-9.59124,-1.1132,1.63612,0.186024,0.0214597,-0.0206658,0.709826,0.510018,0.0601086
01324189,1524485092742,-9.53635,-0.196127,-2.27317,-0.000689802,-0.00123107,-0.00227708,0.636459,0.5355,0.324133
01324188,1524485092742,-9.80574,0.155711,-0.0694556,-0.00599455,-0.000794267,-0.00264099,0.698182,0.567924,0.0412471
01324185,1524485092742,-9.73546,0.221239,0.699505,0.0501495,0.00391937,0.0678032,0.790106,-0.0277787,0.379941
01324181,1524485092742,-9.41114,0.405505,2.63723,-0.00726626,0.0238634,-0.00332485,0.663587,-0.452084,-0.197815
01324180,1524485092742,-9.56986,-0.900409,1.62783,0.214019,0.0269381,-0.0256776,0.710645,0.51001,0.0591397
