ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524485674426,9.93112,-1.88731,-1.65062,-0.0781188,0.267296,0.236811,-0.722185,-0.159767,0.0238657
01324188,1524485674426,9.60756,-2.77266,1.61314,0.277933,0.476702,-0.0668165,-0.738072,-0.0391082,-0.0278557
01324185,1524485674426,-8.93291,3.02568,-2.58141,-0.629423,0.137969,-0.286309,0.628292,-0.447868,0.00193906
01324181,1524485674426,8.95697,-2.06533,2.96341,-0.289602,0.0272725,-0.0508182,-0.652336,0.303844,-0.175345
01324180,1524485674426,-9.71779,0.322615,-2.78336,-0.558969,0.384638,0.154854,0.629585,-0.201972,0.405738
01324189,1524485674430,9.7657,-0.300793,-1.33763,0.0561146,0.225386,0.220475,-0.729341,-0.150579,0.0169773
01324188,1524485674430,9.69445,-2.81613,1.57676,0.309001,0.448294,-0.153634,-0.74412,-0.034922,-0.0394771
01324185,1524485674430,-9.16968,1.12019,-2.45946,-0.499172,0.225489,-0.380474,0.627031,-0.439427,-0.00462964
01324181,1524485674430,9.57884,-1.41216,2.48146,-0.201628,0.00643355,-0.0291104,-0.659562,0.311201,-0.177325
01324180,1524485674430,-9.79233,-1.64228,-2.43715,-0.572082,0.38273,0.23517,0.620632,-0.200332,0.403445
01324189,1524485674446,9.67143,0.272777,-1.07194,-0.0829021,0.292512,0.240333,-0.729741,-0.147961,0.0140223
01324188,1524485674446,9.22927,-1.70332,1.99869,0.20958,0.454173,-0.166751,-0.743707,-0.0347616,-0.0430065
01324185,1524485674446,-8.9156,0.160784,-1.88051,-0.0437081,0.34111,-0.351142,0.630189,-0.43512,-0.0033581
01324181,1524485674446,9.08572,-0.85565,3.18742,-0.202839,-0.0319275,-0.00868677,-0.658466,0.311338,-0.177068
01324180,1524485674446,-9.27821,-2.20686,-2.12585,-0.0916402,0.443886,0.410694,0.618523,-0.207061,0.407711
01324189,1524485674462,10.0528,-0.391502,-1.62456,-0.273875,0.375504,0.266119,-0.726282,-0.149222,0.0134301
01324188,1524485674462,8.80931,-2.14352,2.4151,-0.0256187,0.470489,-0.122214,-0.737088,-0.0409137,-0.0459256
01324185,1524485674462,-9.56059,0.0885561,-1.0004,0.517699,0.420509,-0.306206,0.63474,-0.434116,0.00429895
01324181,1524485674462,9.02583,-1.18199,3.7923,-0.239914,-0.206922,-0.0996628,-0.654059,0.305876,-0.170482
01324180,1524485674462,-9.2798,-0.908093,-1.88669,0.652508,0.463194,0.545969,0.616124,-0.213509,0.414992
01324189,1524485674478,9.99848,-1.43767,-1.82097,-0.341728,0.488406,0.263925,-0.727328,-0.147625,0.00668082
01324188,1524485674478,8.97887,-2.68797,2.9482,-0.0493898,0.452792,-0.0198723,-0.73652,-0.0432786,-0.0520633
01324185,1524485674478,-9.35443,0.920978,-0.391722,0.810979,0.250284,-0.308906,0.635583,-0.430811,0.012741
01324181,1524485674478,9.53364,-1.8218,4.27157,-0.225559,-0.180838,-0.121936,-0.655446,0.305923,-0.169247
01324180,1524485674478,-8.70477,2.50138,-2.67449,0.833833,0.607268,0.585762,0.611317,-0.212013,0.424109
01324189,1524485674494,9.71013,-1.77005,-0.799866,-0.296638,0.425947,0.225175,-0.727027,-0.142998,0.00129512
01324188,1524485674494,9.50633,-1.88378,3.18708,-0.0144986,0.431172,-0.0392915,-0.735964,-0.0438972,-0.0578187
