ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524485818681,-9.62998,-0.0194673,-2.12187,-0.0404044,-0.000151367,0.00769961,0.697852,-0.20895,-0.00883264
01324188,1524485818681,-9.83242,0.000232975,-0.144621,0.017288,-0.0174217,0.0293511,0.662809,-0.265458,-0.0486583
01324185,1524485818681,-9.64475,0.95407,1.80382,0.147246,-0.0253818,0.00699803,0.691712,0.020616,-0.409738
01324181,1524485818681,-9.24585,0.182921,3.33176,-0.00652299,-0.099967,0.0209422,0.71293,0.247587,-0.189495
01324180,1524485818681,-9.66842,0.730618,1.55215,0.114809,-0.0524426,0.0180965,0.645945,-0.255157,-0.314308
01324189,1524485818684,-9.52287,-0.0819516,-2.1139,-0.0508484,-0.0190639,0.00234951,0.694476,-0.210062,-0.0159979
01324188,1524485818684,-9.76491,-0.0575535,-0.192758,-0.035072,-0.012256,0.0272923,0.660322,-0.262618,-0.0517155
01324185,1524485818684,-9.56324,0.859538,1.67997,0.0688547,-0.0158295,0.00360598,0.688525,0.0285107,-0.415642
01324181,1524485818684,-9.17134,0.353676,3.30239,0.00417679,-0.0663565,0.0211599,0.709184,0.254653,-0.196409
01324180,1524485818684,-9.62648,0.683229,1.51363,0.00585721,-0.0302096,0.0263336,0.642666,-0.2517,-0.318293
01324189,1524485818700,-9.53133,-0.266114,-2.10934,-0.0475551,-0.0122107,-0.0127519,0.694754,-0.210362,-0.0160036
01324188,1524485818700,-9.77043,-0.239129,-0.0851709,-0.0123544,-0.0105651,0.0292397,0.662259,-0.265013,-0.0516192
01324185,1524485818700,-9.62089,0.917726,1.72067,-0.0113343,0.0122025,0.000124511,0.688936,0.0283521,-0.416438
01324181,1524485818700,-9.14881,0.310237,3.3396,-0.0109399,-0.0575329,0.0212848,0.710689,0.256501,-0.197825
01324180,1524485818700,-9.60688,0.485521,1.51032,-0.0703504,-0.0107882,0.00483513,0.642821,-0.253018,-0.319142
01324189,1524485818716,-9.58572,-0.468541,-1.9386,0.00123677,-0.0195837,-0.0116708,0.697056,-0.210255,-0.0114134
01324188,1524485818716,-9.72701,-0.252645,0.102339,-0.0192573,-0.017633,0.0308891,0.663913,-0.266563,-0.0475166
01324185,1524485818716,-9.64037,0.819167,1.77105,-0.0590114,0.0152392,-0.00493908,0.69129,0.0215525,-0.413063
01324181,1524485818716,-9.08813,0.204257,3.2599,-0.00646168,-0.046935,0.0213588,0.711416,0.251154,-0.194453
01324180,1524485818716,-9.62884,0.306237,1.54538,-0.0837061,0.0103182,-0.00217395,0.644721,-0.25752,-0.308182
01324189,1524485818732,-9.70011,-0.424219,-1.78827,0.0117402,-0.00927978,-0.00630054,0.699261,-0.209729,-0.0111633
01324188,1524485818732,-9.79674,-0.137442,0.217362,0.00158101,0.00172007,0.0117575,0.666921,-0.264532,-0.047971
01324185,1524485818732,-9.52472,0.755863,1.79587,-0.0572241,0.0101504,0.0154779,0.691841,0.021846,-0.41267
01324181,1524485818732,-9.09251,0.213863,3.31765,-0.0028399,-0.0241038,0.0120649,0.712394,0.24969,-0.193888
01324180,1524485818732,-9.58842,0.161351,1.59332,-0.0573465,0.00337024,-0.00210078,0.647812,-0.254636,-0.30899
01324189,1524485818747,-9.67179,-0.288342,-1.78107,0.00650781,-0.016137,-0.00631231,0.698701,-0.207964,-0.0115499
01324188,1524485818747,-9.85695,-0.0742747,0.181157,0.00165514,-0.00353598,0.0293905,0.665831,-0.265617,-0.0495238
01324185,1524485818747,-9.4668,0.731466,1.84218,-0.00978823,0.0222118,0.0340457,0.692117,0.0217106,-0.412271
01324181,1524485818747,-9.1882,0.246625,3.41061,-0.00475269,-0.0396793,0.0291955,0.713238,0.249072,-0.194836
01324180,1524485818747,-9.47709,0.152839,1.60886,0.0029138,0.02313,-0.0156747,0.647939,-0.254054,-0.30857
01324189,1524485818763,-9.66491,-0.100188,-1.89271,-0.00404855,-0.0039638,-0.00815255,0.69706,-0.204727,-0.0151704
01324188,1524485818763,-9.84233,-0.0539849,0.029234,0.0277465,-0.00311561,0.0224971,0.663361,-0.265336,-0.0545135
01324185,1524485818763,-9.4092,0.605923,1.87497,0.069773,0.0250516,0.0424338,0.691286,0.0249789,-0.413362
01324181,1524485818763,-9.18886,0.299998,3.412,0.00598705,-0.0576244,0.0143469,0.711291,0.251978,-0.196919
01324180,1524485818763,-9.39465,0.154255,1.56616,0.0737243,0.021457,-0.00646525,0.644686,-0.250564,-0.317889
01324189,1524485818779,-9.64457,-0.00363757,-1.95121,-0.0160162,-0.00814604,0.00780128,0.694595,-0.20831,-0.0151706
01324188,1524485818779,-9.87585,0.0333503,-0.0290588,0.0190339,-0.0102591,0.0258922,0.660344,-0.266104,-0.0527534
01324185,1524485818779,-9.47687,0.611094,1.80259,0.112049,0.0385513,0.0236059,0.689361,0.0242648,-0.413348
01324181,1524485818779,-9.21814,0.304536,3.37308,0.00595191,-0.0468502,0.0230658,0.709926,0.25282,-0.199371
01324180,1524485818779,-9.40852,0.11079,1.55129,0.127546,0.0532363,-0.00766812,0.642149,-0.254487,-0.316837
01324189,1524485818794,-9.57791,-0.0804812,-1.89884,-0.0438507,-0.00700741,0.00414098,0.692804,-0.211029,-0.0139498
01324188,1524485818794,-9.76472,0.0133555,0.0135772,0.00158131,-0.0185563,0.0168482,0.660228,-0.269615,-0.0501142
01324185,1524485818794,-9.54892,0.743953,1.77276,0.0936908,0.0563779,0.0269273,0.690335,0.018589,-0.41104
01324181,1524485818794,-9.17942,0.263768,3.34513,0.00587853,-0.060788,0.0350068,0.70994,0.25151,-0.199071
01324180,1524485818794,-9.50024,0.100218,1.53583,0.181554,0.0799786,-0.0194292,0.641994,-0.256592,-0.307986
01324189,1524485818810,-9.60287,-0.225554,-1.84525,-0.0596714,-0.00857802,-0.0118938,0.69667,-0.211131,-0.013724
01324188,1524485818810,-9.72176,-0.136912,0.101248,-0.0368489,0.00101806,0.00618975,0.662285,-0.269356,-0.0501239
01324185,1524485818810,-9.63069,0.847982,1.7485,0.0896236,0.073911,0.0149293,0.69116,0.0188695,-0.411311
01324181,1524485818810,-9.22057,0.183113,3.46235,0.00583136,-0.0500293,0.0420172,0.709654,0.252105,-0.198809
01324180,1524485818810,-9.62687,0.163977,1.53011,0.215546,0.103255,-0.0365899,0.644305,-0.257225,-0.307212
01324189,1524485818826,-9.71896,-0.389966,-1.73678,-0.0454531,-0.0328313,0.00155167,0.699975,-0.209177,-0.0138824
01324188,1524485818826,-9.7461,-0.176109,0.202877,-0.0140748,0.00197509,0.0222827,0.664459,-0.26567,-0.0510078
01324185,1524485818826,-9.62581,0.862405,1.75542,0.0819382,0.0654318,0.0405043,0.693918,0.0171913,-0.409314
01324181,1524485818826,-9.20194,0.137333,3.33774,0.00939868,-0.0677307,0.0418514,0.713518,0.251044,-0.198011
01324180,1524485818826,-9.63219,0.215043,1.48925,0.232293,0.108978,-0.0557712,0.645947,-0.258728,-0.306173
01324189,1524485818842,-9.76679,-0.358218,-1.67999,-0.0343672,-0.0433089,-0.0152626,0.700252,-0.206566,-0.0156296
01324188,1524485818842,-9.73367,-0.0774498,0.225952,-0.00723714,0.0325614,0.00319287,0.666648,-0.264109,-0.0536604
01324185,1524485818842,-9.50052,0.799032,1.77012,0.09905,0.0814218,0.0692718,0.695842,0.0168916,-0.409981
01324181,1524485818842,-9.25474,0.165787,3.38517,0.0218827,-0.0412306,0.0386041,0.713289,0.249664,-0.200972
01324180,1524485818842,-9.50728,0.304092,1.42569,0.231919,0.129009,-0.0486061,0.648609,-0.253481,-0.308295
01324189,1524485818859,-9.71006,-0.242034,-1.72683,-0.0231225,-0.0425843,-0.0161277,0.69724,-0.207081,-0.0180425
01324188,1524485818859,-9.91955,0.00276909,0.231488,-0.0159616,0.035992,0.00491039,0.66337,-0.266684,-0.0540541
01324185,1524485818859,-9.31757,0.730379,1.67078,0.127207,0.0970402,0.069102,0.694194,0.016627,-0.408912
01324181,1524485818859,-9.34078,0.201083,3.48539,0.0200829,-0.0749112,0.033165,0.712344,0.249066,-0.202174
01324180,1524485818859,-9.4305,0.536897,1.41322,0.176345,0.110739,-0.0648699,0.647236,-0.253326,-0.305535
01324189,1524485818876,-9.64366,-0.230377,-1.82031,-0.0509128,-0.0293699,-0.010929,0.693663,-0.208157,-0.0188242
01324188,1524485818876,-9.82067,-0.0739724,0.118296,0.00502898,0.0315865,0.0227252,0.659406,-0.269651,-0.0521488
01324185,1524485818876,-9.21153,0.787384,1.53462,0.140813,0.144406,0.0585543,0.69228,0.0134063,-0.405424
01324181,1524485818876,-9.26372,0.119574,3.39083,0.000443311,-0.0977175,0.0459479,0.709589,0.24811,-0.200899
01324180,1524485818876,-9.35688,0.634168,1.42898,0.072082,0.12453,-0.0724584,0.643374,-0.258526,-0.307772
01324189,1524485818892,-9.60201,-0.177781,-1.93279,-0.0551381,-0.0431494,-0.00204323,0.695056,-0.209364,-0.0192574
01324188,1524485818892,-9.76975,-0.0442682,-0.0195552,-0.00203927,0.0304659,0.0102828,0.660779,-0.270084,-0.0497424
01324185,1524485818892,-9.09271,1.0755,1.4295,0.071088,0.164464,0.0550697,0.69352,0.0113989,-0.405674
01324181,1524485818892,-9.18981,0.508722,3.33553,0.0199487,-0.0709288,0.0589808,0.710538,0.249692,-0.201487
01324180,1524485818892,-9.30673,0.504438,1.42392,-0.0433393,0.124323,-0.0837828,0.644717,-0.257971,-0.306413
01324189,1524485818909,-9.57944,-0.139687,-2.03041,-0.052703,-0.0535676,-0.0135717,0.697264,-0.209422,-0.019012
01324188,1524485818909,-9.84733,-0.106385,-0.061708,-0.00898232,0.0350324,0.0226669,0.663375,-0.268098,-0.0491049
01324185,1524485818909,-8.88319,1.17984,1.09186,-0.111806,0.199188,-0.0036788,0.695725,0.012006,-0.40383
01324181,1524485818909,-9.22446,0.602718,3.60887,-0.0194752,-0.116311,0.0923289,0.711672,0.249036,-0.203935
01324180,1524485818909,-9.24279,0.413038,1.46272,-0.21898,0.0953701,-0.0719462,0.647131,-0.255669,-0.305992
01324189,1524485818925,-9.60826,-0.139671,-2.01294,-0.0379551,-0.0399011,-0.013542,0.699434,-0.204512,-0.0179115
01324188,1524485818925,-9.83983,-0.043347,-0.115287,-0.00640621,0.0251231,0.0128402,0.666932,-0.266108,-0.0488879
01324185,1524485818925,-9.45247,1.15453,1.14319,-0.239489,0.270346,-0.0489416,0.701364,0.0148736,-0.403347
01324181,1524485818925,-9.24936,0.0421883,3.28129,-0.0230643,-0.133711,0.110359,0.713244,0.247751,-0.208006
01324180,1524485818925,-9.42897,0.232426,1.44057,-0.378212,0.0805338,-0.0598728,0.648723,-0.253808,-0.303105
01324189,1524485818942,-9.59207,-0.184894,-1.91835,-0.0108257,-0.0401585,-0.00279036,0.698062,-0.203753,-0.0193829
01324188,1524485818942,-9.77477,-0.101525,-0.105639,-0.0107394,0.0154845,0.0136013,0.663763,-0.264215,-0.0503622
01324185,1524485818942,-9.64086,0.876652,1.4356,-0.268293,0.260604,0.0141316,0.701785,0.0162376,-0.399382
01324181,1524485818942,-9.01776,-0.0133165,3.2935,0.0142395,-0.137048,0.120502,0.711884,0.246309,-0.20796
01324180,1524485818942,-9.49206,-0.120978,1.45735,-0.416937,0.0997956,-0.0670889,0.648947,-0.249551,-0.303979
01324189,1524485818958,-9.52922,-0.187134,-1.92904,-0.0302013,-0.0296387,-0.0188792,0.697261,-0.204764,-0.0215539
01324188,1524485818958,-9.8014,-0.106835,-0.0211474,-0.0247517,0.0172688,-0.00418066,0.662822,-0.267212,-0.0520379
01324185,1524485818958,-9.57406,0.529603,1.55765,-0.222441,0.214542,0.0347783,0.702762,0.0166264,-0.394083
01324181,1524485818958,-9.0629,0.49309,3.51539,-0.00718002,-0.0820386,0.129621,0.710687,0.24268,-0.207462
01324180,1524485818958,-9.46703,-0.198371,1.49826,-0.336511,0.110681,-0.0718036,0.646935,-0.242655,-0.298064
01324189,1524485818975,-9.62659,-0.221848,-1.97634,-0.0197261,-0.0392225,-0.0170309,0.695761,-0.205607,-0.0230367
01324188,1524485818975,-9.92942,-0.0725608,-0.0276801,-0.0264278,0.0113496,0.00988322,0.659808,-0.268452,-0.0496268
01324185,1524485818975,-9.44436,0.355392,1.52476,-0.138492,0.236928,0.062582,0.702492,0.0172423,-0.391832
01324181,1524485818975,-9.03713,0.481334,3.42882,0.00523237,-0.0783066,0.13995,0.710582,0.242465,-0.210585
01324180,1524485818975,-9.36245,-0.250594,1.53041,-0.172309,0.14121,-0.0793791,0.646375,-0.241324,-0.298029
01324189,1524485818991,-9.63648,-0.234159,-1.9957,-0.027382,-0.0348099,-0.00462468,0.696455,-0.207956,-0.0219776
01324188,1524485818991,-9.95846,-0.0819014,-0.0562498,-0.0124227,-0.00288771,0.0168993,0.661603,-0.269899,-0.0508306
01324185,1524485818991,-9.5453,0.356201,1.72078,-0.02467,0.292044,0.0502183,0.703047,0.0164203,-0.389969
01324181,1524485818991,-9.13163,0.383122,3.47358,0.0176031,-0.0638329,0.155587,0.710711,0.243194,-0.210602
01324180,1524485818991,-9.4386,-0.164571,1.53014,-0.0655393,0.160497,-0.103146,0.645977,-0.242796,-0.296138
01324189,1524485819008,-9.57372,-0.134315,-1.96719,0.00394363,-0.0256447,0.00078102,0.696035,-0.206486,-0.0222324
01324188,1524485819008,-9.76937,0.0507458,-0.160011,-0.00372904,-0.0123019,0.013341,0.662428,-0.270284,-0.0492312
01324185,1524485819008,-9.81986,0.338879,1.97296,0.0881024,0.268028,0.0545597,0.70498,0.0156029,-0.387845
01324181,1524485819008,-9.03117,0.437677,3.4925,0.0566238,-0.0793961,0.172534,0.7111,0.236685,-0.213596
01324180,1524485819008,-9.50695,-0.112052,1.51043,0.0180442,0.204105,-0.119867,0.646118,-0.241898,-0.299405
01324189,1524485819025,-9.55823,-0.162906,-1.91394,0.0102871,-0.0196397,0.0185582,0.698097,-0.205372,-0.0219758
01324188,1524485819025,-9.85684,-0.0651222,-0.0957026,0.00325089,-0.00270219,0.0134837,0.664467,-0.267062,-0.049598
01324185,1524485819025,-9.75839,0.232093,1.48124,0.113915,0.271236,0.0408944,0.709666,0.0145164,-0.384799
01324181,1524485819025,-8.98786,0.612906,3.47492,0.03166,-0.0473385,0.18665,0.7139,0.233565,-0.213968
01324180,1524485819025,-9.60871,-0.113617,1.54568,0.0649942,0.242377,-0.140379,0.649349,-0.240947,-0.296424
01324189,1524485819041,-9.59517,-0.293373,-1.84553,0.0189154,-0.00418143,0.0132373,0.700988,-0.204425,-0.0214587
01324188,1524485819041,-9.83783,-0.150327,0.010819,0.0277143,-0.0155025,0.0099744,0.665555,-0.265215,-0.0516738
01324185,1524485819041,-9.70059,0.424062,1.14676,0.13817,0.279804,0.0339944,0.712432,0.0141972,-0.379101
01324181,1524485819041,-9.05018,0.345329,3.3927,0.0495654,-0.0263165,0.174755,0.71446,0.232259,-0.21313
01324180,1524485819041,-9.65783,-0.0860302,1.6227,0.113588,0.287615,-0.159078,0.650251,-0.239682,-0.289846
01324189,1524485819058,-9.68513,-0.433637,-1.76174,0.0490723,-0.00967225,-0.00973086,0.697961,-0.205369,-0.02211
01324188,1524485819058,-9.82835,-0.194602,0.131484,0.0313136,-0.0104403,0.0295264,0.660911,-0.268968,-0.05158
01324185,1524485819058,-9.7149,0.474727,1.15656,0.166968,0.302579,0.049127,0.712165,0.0129596,-0.376567
01324181,1524485819058,-9.08596,0.23318,3.52747,0.0631248,0.00311829,0.138791,0.714606,0.232238,-0.213947
01324180,1524485819058,-9.71978,-0.154272,1.61447,0.125546,0.310519,-0.162361,0.648987,-0.237924,-0.285688
01324189,1524485819074,-9.70414,-0.302205,-1.67837,0.0397553,-0.000901184,0.00977063,0.695487,-0.207784,-0.0219649
01324188,1524485819074,-9.68054,-0.099012,0.177599,0.0539559,-0.0022414,0.0227095,0.659546,-0.270266,-0.0516449
01324185,1524485819074,-9.82129,0.391107,1.15227,0.187739,0.323416,0.0404912,0.711899,0.0102972,-0.373754
01324181,1524485819074,-9.09804,0.432001,3.53082,0.0784607,-0.0224184,0.0954039,0.713937,0.2305,-0.213631
01324180,1524485819074,-9.73176,-0.322794,1.55542,0.16205,0.324626,-0.159433,0.647323,-0.236895,-0.281128
01324189,1524485819091,-9.63263,-0.0739701,-1.65943,-0.00370356,-0.0349939,0.00789536,0.694965,-0.211423,-0.0228028
01324188,1524485819091,-9.75484,0.0800071,0.133233,0.00680395,0.00743327,0.0189369,0.659285,-0.272555,-0.0498798
01324185,1524485819091,-10.2737,0.577184,1.42938,0.230805,0.314306,0.0610079,0.713831,0.00990875,-0.371634
01324181,1524485819091,-9.2589,0.211733,3.51469,0.130124,-0.0420432,0.0813447,0.712042,0.229455,-0.215765
01324180,1524485819091,-10.0564,-0.277985,1.52349,0.228379,0.340766,-0.163212,0.646773,-0.237936,-0.277174
01324189,1524485819107,-9.58317,-0.0356305,-1.74042,-0.0699081,-0.0153481,0.00229502,0.695786,-0.210131,-0.0228019
01324188,1524485819107,-9.82736,0.0760475,0.0471915,-0.044702,0.00250282,0.0114407,0.661337,-0.271428,-0.0495621
01324185,1524485819107,-10.259,0.553188,1.6207,0.295313,0.23466,0.0886576,0.716593,0.00797038,-0.368308
01324181,1524485819107,-9.03349,0.124766,3.33906,0.160414,-0.0598156,0.0775978,0.711783,0.229278,-0.217255
01324180,1524485819107,-10.14,-0.0387084,1.63517,0.382504,0.352201,-0.181421,0.648632,-0.237127,-0.270893
01324189,1524485819124,-9.5752,-0.185974,-1.75794,-0.0490686,0.00859994,0.00232029,0.700595,-0.208064,-0.0214835
01324188,1524485819124,-9.80869,-0.112049,0.0391254,-0.0298185,0.00360353,0.023954,0.664889,-0.268486,-0.0507829
01324185,1524485819124,-9.7529,0.453607,1.49814,0.319117,0.16122,0.0702825,0.721002,0.00398573,-0.367223
01324181,1524485819124,-9.16321,0.159582,3.39553,0.141222,-0.0326928,0.0141416,0.715121,0.227317,-0.217793
01324180,1524485819124,-9.79492,0.935457,2.13698,0.463721,0.302928,-0.163507,0.652678,-0.237531,-0.264669
01324189,1524485819141,-9.72851,-0.389928,-1.7269,-0.0386425,0.00248415,-0.00293164,0.698124,-0.207133,-0.0236195
01324188,1524485819141,-9.77052,-0.247964,0.145958,0.0573528,0.0149511,0.0105226,0.664199,-0.267836,-0.0518224
01324185,1524485819141,-9.47964,0.0663297,1.1701,0.250827,0.140447,0.0347207,0.721014,0.0020614,-0.363224
01324181,1524485819141,-8.9925,0.583543,3.70734,0.127302,-0.0481282,-0.0549904,0.715557,0.226123,-0.218588
01324180,1524485819141,-9.63103,1.49617,2.72419,0.275039,0.251995,-0.113966,0.653314,-0.236105,-0.259725
01324189,1524485819157,-9.71976,-0.307733,-1.75605,-0.00219603,0.00468624,-0.00459361,0.696484,-0.208262,-0.0246957
01324188,1524485819157,-9.85173,0.0275391,0.10077,0.0956958,0.0185958,0.00991953,0.659688,-0.271067,-0.0503355
01324185,1524485819157,-9.95872,-0.561414,1.34267,0.196413,0.142665,-0.0484606,0.719369,0.00095437,-0.36135
01324181,1524485819157,-8.72916,1.06223,3.71917,0.135405,-0.0361206,-0.0739975,0.714171,0.228007,-0.220246
01324180,1524485819157,-9.94718,1.07671,3.23122,0.0474296,0.200257,-0.0314035,0.650182,-0.236656,-0.25627
01324189,1524485819174,-9.61571,-0.0533644,-1.82031,-0.0309387,-0.00886185,-0.00557719,0.693742,-0.209945,-0.0257635
01324188,1524485819174,-9.8703,0.231272,-0.0597787,-0.00291263,0.0115807,0.00650614,0.658052,-0.272718,-0.0521896
01324185,1524485819174,-10.4897,-1.29406,2.29992,0.175843,-0.00336318,-0.202158,0.71689,0.000934769,-0.362403
01324181,1524485819174,-9.29559,0.313362,3.32894,0.17728,-0.0306235,-0.0686857,0.71225,0.22759,-0.220489
01324180,1524485819174,-10.2504,0.579067,4.30114,0.120302,0.212843,0.0359046,0.645951,-0.234821,-0.256033
01324189,1524485819190,-9.58327,-0.0321543,-1.91325,-0.0716515,0.0140032,0.00933954,0.695397,-0.209406,-0.0257784
01324188,1524485819190,-9.91946,0.00272621,-0.11027,-0.0787126,0.0137751,0.0272533,0.659555,-0.271588,-0.0517286
01324185,1524485819190,-10.4598,-1.69778,3.38994,0.0311245,-0.327043,-0.455065,0.714951,0.0050175,-0.365753
01324181,1524485819190,-9.36096,0.47239,3.74575,0.168422,-0.0770787,-0.0966386,0.711851,0.229124,-0.224055
01324180,1524485819190,-10.3345,1.17781,6.04877,0.330748,0.18228,0.0864181,0.646393,-0.238807,-0.253385
01324189,1524485819207,-9.75098,-0.28473,-1.89428,-0.0645538,0.013981,0.0147297,0.697456,-0.209891,-0.024177
01324188,1524485819207,-9.87668,-0.191515,0.0596306,-0.0455212,0.00711186,0.022992,0.662162,-0.271595,-0.049447
01324185,1524485819207,-9.9455,-0.781015,3.52836,-0.36403,-0.630087,-0.672237,0.715343,0.0113405,-0.371521
01324181,1524485819207,-8.79834,2.02665,4.29444,0.13897,-0.158937,-0.121708,0.710879,0.231283,-0.226268
01324180,1524485819207,-10.1157,2.43613,7.86098,0.308487,-0.0872487,0.121572,0.654662,-0.238672,-0.251727
01324189,1524485819224,-9.69161,-0.312984,-1.82221,-0.0367666,-0.00876337,0.00774762,0.699812,-0.208939,-0.0255543
01324188,1524485819224,-9.7263,-0.0548056,0.0860983,-0.0088544,0.00170095,0.0276264,0.664068,-0.268881,-0.0514783
01324185,1524485819224,-9.91709,-0.613123,2.99883,-0.682242,-0.707364,-0.787059,0.713802,0.0240907,-0.377743
01324181,1524485819224,-8.27929,1.65006,3.51755,0.0794297,-0.0612672,-0.0862895,0.713114,0.23033,-0.228176
01324180,1524485819224,-10.5548,1.89677,8.6127,0.216139,-0.377779,0.155842,0.657652,-0.236935,-0.256524
01324189,1524485819240,-9.6062,-0.148256,-1.87423,-0.038636,-0.0191401,0.000633918,0.697725,-0.207566,-0.0248402
01324188,1524485819240,-9.84184,0.0811898,0.0087498,-0.0367829,-0.0154147,0.0219168,0.662974,-0.269372,-0.0531297
01324185,1524485819240,-11.2356,-2.70958,2.87543,-0.736831,-0.73171,-1.04675,0.707167,0.0396974,-0.384241
01324181,1524485819240,-8.40454,0.739055,3.04388,0.122508,0.127722,-0.100169,0.711435,0.230413,-0.225575
01324180,1524485819240,-11.8571,0.627077,8.28362,0.320132,-0.61718,0.230408,0.657709,-0.238802,-0.263539
01324189,1524485819257,-9.6513,-0.010665,-1.91704,-0.0596303,0.00870019,-0.00125893,0.696648,-0.208134,-0.0274118
01324188,1524485819257,-9.87107,0.0120968,-0.0962922,-0.0647205,-0.0154727,0.0217245,0.659687,-0.270459,-0.0538377
01324185,1524485819257,-11.8771,-4.26125,2.74414,-0.645238,-0.83516,-1.33687,0.696666,0.0583688,-0.395001
01324181,1524485819257,-8.98466,0.84071,3.86187,0.135121,0.261689,-0.135103,0.711676,0.231198,-0.223009
01324180,1524485819257,-12.517,-0.160593,7.83294,0.549879,-0.802357,0.422172,0.651553,-0.2429,-0.271191
01324189,1524485819273,-9.63312,0.0349501,-1.9805,-0.091078,0.00554703,-0.0111363,0.695558,-0.210149,-0.0276869
01324188,1524485819273,-9.83714,0.0337606,-0.108787,-0.0646898,-0.0133438,0.030603,0.657503,-0.272465,-0.0542093
01324185,1524485819273,-11.5962,-3.72866,2.50338,-0.47498,-0.86557,-1.58186,0.687543,0.0779181,-0.404714
01324181,1524485819273,-9.29761,1.39494,4.0449,0.0835661,0.16735,-0.168495,0.710818,0.233127,-0.222361
01324180,1524485819273,-12.7069,0.171655,8.16888,0.543349,-1.05954,0.566391,0.647579,-0.247324,-0.279976
01324189,1524485819290,-9.59991,-0.0114944,-2.04927,-0.148342,-0.00077202,-0.00510411,0.693362,-0.212426,-0.0276798
