ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524485770440,-9.59307,0.160682,-1.55582,0.179037,0.0164337,0.000932589,0.699764,-0.199851,-0.0775241
01324188,1524485770440,-9.78335,0.112707,-0.36266,0.0852891,-0.0150112,0.00150949,0.667812,-0.275001,-0.068276
01324185,1524485770440,-9.08562,1.12333,1.23472,0.0102638,-0.151869,0.174414,0.691255,-0.00572328,-0.411497
01324181,1524485770440,-9.15472,-0.141317,3.91311,0.16252,-0.124833,0.00716694,0.697655,0.273556,-0.208223
01324180,1524485770440,-9.1708,0.0015225,1.2023,0.433201,-0.0590421,-0.126309,0.684479,-0.212719,-0.255175
01324189,1524485770443,-9.52975,0.156271,-1.53488,0.130417,0.0514644,0.009577,0.700872,-0.194647,-0.0810225
01324188,1524485770443,-9.68679,0.0735062,-0.324549,0.123644,-0.000965318,0.000171107,0.666822,-0.269946,-0.0720283
01324185,1524485770443,-8.88744,1.18961,1.32747,0.0852055,-0.0919513,0.158594,0.690551,-0.00570637,-0.417993
01324181,1524485770443,-8.90548,-0.181933,3.77781,0.121718,-0.128754,-0.00744879,0.69815,0.281763,-0.213571
01324180,1524485770443,-9.005,-0.281595,1.21928,0.276717,-0.0231401,-0.11133,0.680599,-0.204411,-0.258914
01324189,1524485770459,-9.76617,-2.05688e-05,-1.51673,0.0782995,0.0314212,0.0167158,0.699109,-0.194649,-0.081259
01324188,1524485770459,-9.7788,0.0396951,-0.26817,0.129788,-0.00883375,0.00188325,0.665588,-0.27016,-0.0732516
01324185,1524485770459,-9.36849,1.54435,1.5337,0.165954,-0.0302872,0.156507,0.690554,-0.00856472,-0.417965
01324181,1524485770459,-8.88681,-0.108951,3.81517,0.0852697,-0.157277,-0.0170738,0.696525,0.282005,-0.216822
01324180,1524485770459,-9.21347,-0.567599,1.0924,0.158747,-0.000450411,-0.0820496,0.681397,-0.20266,-0.259848
01324189,1524485770476,-9.83321,0.00366116,-1.62769,0.0914408,-0.036042,0.01512,0.700218,-0.200645,-0.0780633
01324188,1524485770476,-9.82932,0.107683,-0.309307,0.125335,0.0158784,-0.00496536,0.667667,-0.273593,-0.0699551
01324185,1524485770476,-9.54328,1.39101,1.18847,0.145922,0.00586427,0.139332,0.690156,-0.0140688,-0.414329
01324181,1524485770476,-8.82789,-0.0695798,3.99595,0.121643,-0.0860654,0.00495851,0.69619,0.274456,-0.214618
01324180,1524485770476,-9.60059,-0.517651,0.96079,0.108092,0.0584821,-0.0097679,0.684191,-0.208864,-0.260972
01324189,1524485770493,-9.77887,0.0858127,-1.68674,0.0815889,-0.0290799,-0.00181883,0.698552,-0.200595,-0.0770937
01324188,1524485770493,-9.91874,0.113447,-0.397712,0.0607867,0.0172234,-9.4153e-05,0.668224,-0.275027,-0.0678744
01324185,1524485770493,-9.3528,1.29841,1.27591,0.0849656,0.0757725,0.111696,0.689336,-0.0176285,-0.413628
01324181,1524485770493,-8.83261,-0.0841863,3.98654,0.0672867,-0.0290534,0.0314866,0.695806,0.273828,-0.216776
01324180,1524485770493,-9.33078,-0.333417,1.19164,0.0681516,0.123807,0.0431703,0.68446,-0.208872,-0.26043
01324189,1524485770509,-9.59335,0.107926,-1.74791,0.057015,0.00563417,-0.0117756,0.700916,-0.200667,-0.0787501
01324188,1524485770509,-9.8079,0.00246804,-0.448111,0.00151142,0.0148452,0.00834561,0.668498,-0.275012,-0.0682854
01324185,1524485770509,-9.142,1.34564,1.69106,0.0337702,0.0978195,0.067338,0.690438,-0.0181903,-0.413096
01324181,1524485770509,-8.92849,-0.0901907,4.00778,0.0219376,-0.0398031,0.0263917,0.696362,0.273242,-0.216498
01324180,1524485770509,-9.18322,-0.0938832,1.53763,0.000772969,0.184635,0.0519873,0.685276,-0.20948,-0.25936
01324189,1524485770526,-9.53608,0.153895,-1.78762,-0.00901811,0.0201181,-0.00670539,0.699517,-0.197711,-0.0787101
01324188,1524485770526,-9.85606,0.0535838,-0.49152,-0.0211091,0.0139728,0.0241037,0.665472,-0.27383,-0.0703508
01324185,1524485770526,-9.0455,1.13343,2.01185,0.0529069,0.109461,0.0204486,0.690568,-0.0136427,-0.414467
01324181,1524485770526,-8.65421,-0.0845453,4.03841,0.0381011,-0.0509509,-0.00140679,0.695754,0.279053,-0.218519
01324180,1524485770526,-9.18645,0.0728901,1.74639,-0.0696643,0.215812,0.0553185,0.683829,-0.205247,-0.251594
01324189,1524485770542,-9.53006,0.138648,-1.88025,-0.080586,0.0648497,-0.0194692,0.700914,-0.197757,-0.0803551
01324188,1524485770542,-9.98159,0.11168,-0.457374,-0.103094,-0.00988068,0.0117546,0.666005,-0.271119,-0.0718199
01324185,1524485770542,-9.03566,1.00842,2.29664,0.0966546,0.123707,-0.00605623,0.692087,-0.0144597,-0.412343
01324181,1524485770542,-8.49033,-0.182228,4.20558,0.0487035,-0.0436826,0.0089383,0.696333,0.277279,-0.219031
01324180,1524485770542,-9.10781,-0.0577248,1.85762,-0.125454,0.23846,0.00584228,0.684622,-0.204543,-0.24913
01324189,1524485770559,-9.62537,0.123193,-1.94458,-0.127379,0.0869481,-0.00543452,0.700461,-0.198016,-0.0762808
01324188,1524485770559,-9.87815,-0.0423115,-0.560274,-0.110012,-0.0228073,0.0248628,0.667797,-0.272337,-0.0716473
01324185,1524485770559,-9.19999,0.826541,2.40989,0.159399,0.116544,-0.0409089,0.694981,-0.0172857,-0.410601
01324181,1524485770559,-8.45304,-0.13321,4.14691,0.032856,0.00899959,-0.00953245,0.696644,0.273932,-0.218147
01324180,1524485770559,-9.10901,-0.402729,2.06359,-0.0204029,0.266648,-0.030305,0.689246,-0.205061,-0.249893
01324189,1524485770575,-9.69007,-0.03585,-1.79792,-0.128779,0.0490383,0.00708627,0.699642,-0.197418,-0.0776235
01324188,1524485770575,-9.73995,0.0632763,-0.559903,-0.139566,-0.0258183,0.0467709,0.667125,-0.274502,-0.0723203
