ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524485356478,-9.55761,-0.513187,-1.99668,-0.0205161,-0.0209456,-0.000679221,0.904431,-0.319522,0.157957
01324188,1524485356478,-9.7389,-0.0155918,0.169286,0.0616367,0.0104208,-0.0112553,0.888482,-0.294616,0.0797066
01324185,1524485356478,-11.6596,-6.96904,3.80766,-1.26618,-1.00697,-3.42842,0.700204,0.197819,-0.598486
01324181,1524485356478,-9.35988,0.781477,2.57069,-0.590511,0.347345,0.0661478,0.807931,0.377938,-0.281606
01324180,1524485356478,-14.8401,-4.09437,14.6288,1.76833,-5.07464,-1.37046,0.600184,-0.242957,-0.60709
01324189,1524485356481,-9.5604,-0.610664,-2.06503,0.0314903,0.0233847,-0.00414061,0.902284,-0.318043,0.15192
01324188,1524485356481,-9.84566,-0.125879,0.135019,0.134859,0.0246052,-0.0123809,0.885324,-0.291236,0.0775226
01324185,1524485356481,-12.3602,-6.09482,4.48141,-1.09001,-1.04084,-3.63747,0.67069,0.251964,-0.61053
01324181,1524485356481,-9.12167,0.462131,1.91655,-0.46783,0.3986,0.109266,0.807458,0.390094,-0.277269
01324180,1524485356481,-16.1327,-4.31576,15.415,2.10765,-5.7963,-1.34676,0.544739,-0.243472,-0.648213
01324189,1524485356497,-9.53299,-0.577418,-2.16517,0.087907,0.0331338,-0.00575372,0.902677,-0.316309,0.152739
01324188,1524485356497,-9.86458,-0.0143525,0.0571416,0.183682,0.0178621,-0.0138964,0.887356,-0.288986,0.0787213
01324185,1524485356497,-12.602,-5.89402,3.87335,-1.04869,-1.13926,-3.7559,0.644206,0.300234,-0.617246
01324181,1524485356497,-9.14567,-0.610253,1.51186,-0.382247,0.480934,0.11156,0.811727,0.391406,-0.267892
01324180,1524485356497,-16.4018,-5.06891,15.1061,2.40225,-6.47499,-1.32165,0.484795,-0.25209,-0.688889
01324189,1524485356514,-9.62703,-0.548401,-2.1223,0.127196,0.067305,0.0121015,0.904028,-0.320673,0.157682
01324188,1524485356514,-9.94656,0.037618,-0.0919033,0.180218,0.0119655,-0.000721055,0.888463,-0.291741,0.0808351
01324185,1524485356514,-12.5947,-7.27781,4.71958,-1.17172,-1.22353,-4.00523,0.614866,0.347637,-0.617344
01324181,1524485356514,-9.58663,-1.32897,1.71604,-0.335762,0.641724,0.0957665,0.815394,0.384083,-0.255356
01324180,1524485356514,-16.1838,-4.94629,14.7077,2.90244,-6.93999,-1.16,0.420331,-0.27017,-0.721384
01324189,1524485356530,-9.69399,-0.355021,-2.14517,0.116065,0.019971,0.0201586,0.90564,-0.316937,0.159043
01324188,1524485356530,-9.92219,0.0884026,-0.126247,0.124391,0.0151728,0.00159001,0.890642,-0.291263,0.0823266
01324185,1524485356530,-12.1983,-8.20922,5.26545,-1.38672,-1.38656,-4.30168,0.576752,0.398824,-0.620616
01324181,1524485356530,-10.1655,-1.30213,2.05479,-0.229633,0.640847,0.0335086,0.821183,0.383926,-0.245694
01324180,1524485356530,-14.6232,-3.17535,14.2565,3.44671,-7.24831,-1.06544,0.343829,-0.299447,-0.751069
01324189,1524485356547,-9.64897,-0.514529,-2.11702,0.0756599,-0.0702269,0.0335119,0.904547,-0.318502,0.159448
01324188,1524485356547,-9.78741,-0.0722387,0.0185584,0.0616586,0.0300687,0.0119681,0.889546,-0.290541,0.0829272
01324185,1524485356547,-10.9073,-9.27013,4.58047,-1.35877,-1.42531,-4.47352,0.527276,0.448578,-0.624628
01324181,1524485356547,-10.1857,-0.955697,2.40789,-0.129644,0.534936,-0.0608475,0.822429,0.385311,-0.234937
01324180,1524485356547,-11.9179,0.356774,13.3572,3.61836,-7.26101,-0.73538,0.260365,-0.338599,-0.76955
01324189,1524485356563,-9.447,-0.648,-1.94512,0.0197842,-0.0179026,0.0189772,0.904024,-0.317778,0.156356
01324188,1524485356563,-9.7443,-0.176852,0.129877,0.0216175,0.032835,0.0232383,0.889,-0.290283,0.0807846
01324185,1524485356563,-10.4143,-9.93394,3.50579,-1.23289,-1.32715,-4.59684,0.47177,0.504016,-0.629202
01324181,1524485356563,-9.63723,-0.596987,1.91423,-0.0200222,0.437834,-0.100151,0.822331,0.391173,-0.23263
01324180,1524485356563,-10.7523,2.78504,11.7094,3.00391,-7.18915,-0.203904,0.169824,-0.376799,-0.779738
01324189,1524485356579,-9.53299,-0.6477,-1.86106,0.00979725,-0.00391138,0.0509195,0.901844,-0.320911,0.156491
01324188,1524485356579,-9.80236,-0.177543,0.260296,0.0198609,0.0478608,0.0189554,0.886422,-0.292589,0.0809429
01324185,1524485356579,-10.5011,-9.41398,2.77376,-1.09319,-1.26536,-4.6365,0.41588,0.545901,-0.628099
01324181,1524485356579,-9.18337,-0.702448,0.962708,0.127996,0.55699,-0.113495,0.821825,0.393372,-0.225517
01324180,1524485356579,-9.8723,2.09353,10.7232,2.03731,-7.16846,0.259224,0.0785781,-0.404515,-0.782217
01324189,1524485356596,-9.68158,-0.550193,-1.70766,0.0512745,0.0164095,0.0368349,0.901825,-0.320756,0.158382
01324188,1524485356596,-9.83557,0.00767124,0.343108,0.0774547,0.0656959,0.0301534,0.885066,-0.294376,0.0851788
01324185,1524485356596,-9.66839,-8.44149,2.84943,-1.08958,-1.24048,-4.62666,0.36247,0.579724,-0.624285
01324181,1524485356596,-9.64259,-0.877732,0.975204,0.210209,0.704927,-0.157158,0.823413,0.389523,-0.214787
01324180,1524485356596,-7.57795,0.740472,9.25412,1.39399,-7.01404,0.580673,-0.0122557,-0.424393,-0.777735
01324189,1524485356612,-9.7209,-0.44368,-1.69951,0.0566597,0.0250164,0.0519469,0.90264,-0.321063,0.15945
01324188,1524485356612,-9.91736,0.119242,0.292194,0.100131,0.072354,0.0374467,0.887235,-0.292248,0.0858267
01324185,1524485356612,-8.7304,-8.12412,3.45148,-1.23393,-1.29796,-4.70629,0.3055,0.61728,-0.618911
01324181,1524485356612,-9.84829,-0.836626,1.13975,0.240494,0.616966,-0.184688,0.825799,0.390789,-0.20863
01324180,1524485356612,-5.0598,-0.538459,8.33388,0.981225,-6.71458,0.607413,-0.105378,-0.433862,-0.772737
01324189,1524485356628,-9.79334,-0.370919,-1.65199,0.0983911,0.0436021,0.056508,0.904551,-0.321252,0.160776
01324188,1524485356628,-9.68043,0.105083,0.122008,0.124411,0.0828108,0.0200654,0.889676,-0.289992,0.08675
01324185,1524485356628,-7.5635,-8.50793,2.45668,-1.38705,-1.29353,-4.79059,0.242794,0.651065,-0.609916
01324181,1524485356628,-9.94656,-1.0513,1.13841,0.258279,0.524812,-0.196698,0.827782,0.391057,-0.201907
01324180,1524485356628,-3.07969,-1.35999,7.85563,0.541407,-6.30183,0.57171,-0.191842,-0.438826,-0.759306
01324189,1524485356645,-9.52664,-0.420942,-1.99206,0.147093,0.037815,0.0619573,0.902884,-0.319029,0.161353
01324188,1524485356645,-9.71933,0.0382721,0.0410914,0.145272,0.0894123,0.0114277,0.889669,-0.289205,0.0886945
01324185,1524485356645,-6.74146,-9.3524,0.928127,-1.49883,-1.04407,-4.82029,0.175439,0.682458,-0.599562
01324181,1524485356645,-9.87609,-1.1909,0.779243,0.256585,0.470614,-0.207511,0.831112,0.394734,-0.1977
01324180,1524485356645,-1.71978,-1.89355,7.7693,0.143383,-5.93646,0.631097,-0.272219,-0.436349,-0.73819
01324189,1524485356661,-9.4916,-0.48959,-2.11203,0.169757,0.0272025,0.0655993,0.901521,-0.32247,0.16242
01324188,1524485356661,-9.74849,-0.0115276,-0.0641223,0.167914,0.101443,0.0152535,0.886415,-0.292782,0.0912176
01324185,1524485356661,-6.37753,-9.99078,0.453213,-1.38851,-0.762954,-4.79847,0.108918,0.705916,-0.587417
01324181,1524485356661,-9.99183,-0.808881,0.742198,0.305248,0.494529,-0.162657,0.828138,0.399518,-0.19345
01324180,1524485356661,-1.11564,-2.15039,7.61426,-0.265135,-5.62144,0.757119,-0.347516,-0.431658,-0.711658
01324189,1524485356678,-9.52804,-0.499529,-2.12368,0.208006,0.0466699,0.0692519,0.898776,-0.32558,0.164182
01324188,1524485356678,-9.82357,-0.0497212,-0.0800369,0.185387,0.0960103,0.0206137,0.884517,-0.295112,0.0947495
01324185,1524485356678,-5.75827,-9.84952,1.15079,-1.13493,-0.625352,-4.71132,0.0447336,0.718555,-0.575306
01324181,1524485356678,-10.1523,-0.364666,1.14325,0.312165,0.42576,-0.156388,0.824812,0.399665,-0.188963
01324180,1524485356678,-0.347376,-2.12257,6.74213,-0.582226,-5.29393,0.813508,-0.417927,-0.428806,-0.685372
01324189,1524485356695,-9.48359,-0.351882,-2.16781,0.197773,0.0839065,0.0922369,0.897399,-0.326409,0.165136
01324188,1524485356695,-9.76264,0.0807239,-0.146675,0.166121,0.116992,0.0171781,0.884914,-0.293259,0.0956731
01324185,1524485356695,-5.59002,-9.59,1.71116,-0.787785,-0.554942,-4.55487,-0.0169829,0.726774,-0.563557
01324181,1524485356695,-9.89971,-0.847055,1.27971,0.341523,0.334438,-0.169344,0.82712,0.399672,-0.187233
01324180,1524485356695,-0.474392,-1.7413,5.92603,-0.873589,-4.95676,0.747336,-0.483341,-0.415689,-0.656366
01324189,1524485356711,-9.54761,-0.184951,-2.16645,0.162531,0.0842444,0.0619211,0.89873,-0.32353,0.167708
