ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1524485303819,-9.67883,-0.443156,-2.04897,0.091915,0.0524882,0.0303957,0.823524,-0.550953,-0.0600184
01324188,1524485303819,-9.87565,-0.0700836,-0.0576411,0.102559,0.0712152,0.000392016,0.741751,-0.630369,-0.0796911
01324185,1524485303819,-9.59089,-0.220533,1.00921,0.256205,0.181914,-0.000479089,0.786221,0.0346864,-0.584837
01324181,1524485303819,-9.25425,0.247842,2.7999,0.222323,0.0594797,0.00973266,0.836472,0.456107,-0.261464
01324180,1524485303819,-9.28775,-0.690623,2.589,0.0483595,0.0133551,-0.168056,0.724466,-0.384543,-0.504327
01324189,1524485303822,-9.5619,-0.461749,-2.01183,0.0884021,0.0576769,0.0276872,0.820238,-0.544211,-0.0656012
01324188,1524485303822,-9.86339,-0.0240777,-0.0918475,0.0851328,0.0725384,0.00736851,0.738723,-0.626307,-0.0838689
01324185,1524485303822,-9.64403,-0.306803,1.09973,0.212921,0.171687,-0.00545556,0.785658,0.0383033,-0.589364
01324181,1524485303822,-9.42744,0.219144,2.75103,0.204532,0.0754643,0.0134219,0.835199,0.461297,-0.264264
01324180,1524485303822,-9.26323,-0.890554,2.57364,0.0200191,0.0270382,-0.156765,0.717656,-0.378984,-0.508476
01324189,1524485303838,-9.58358,-0.380435,-2.13546,0.0606797,0.0579664,0.0373681,0.817484,-0.545149,-0.064496
01324188,1524485303838,-9.79828,-0.0725084,-0.0967293,0.0677257,0.0618623,0.0106838,0.738736,-0.628608,-0.0817104
01324185,1524485303838,-9.74518,-0.260407,1.11814,0.150751,0.142189,-0.0187838,0.787032,0.0376187,-0.587909
01324181,1524485303838,-9.4047,0.306779,2.73018,0.195578,0.0649952,0.0219623,0.832752,0.459879,-0.264208
01324180,1524485303838,-9.28335,-1.00646,2.55347,0.0399436,0.0366437,-0.151321,0.717364,-0.377224,-0.508436
01324189,1524485303855,-9.58707,-0.644746,-2.15794,0.0574769,0.0381627,0.0489478,0.819519,-0.548665,-0.0595485
01324188,1524485303855,-9.82508,-0.130319,-0.0911824,0.0764056,0.0895994,0.0128154,0.738058,-0.630009,-0.0766408
01324185,1524485303855,-9.79369,-0.327563,1.07723,0.1232,0.121921,-0.0458259,0.788282,0.0335766,-0.583248
01324181,1524485303855,-9.30861,0.298225,2.71163,0.168943,0.0577063,0.0133417,0.834871,0.453492,-0.262337
01324180,1524485303855,-9.38411,-1.07043,2.55455,0.0961087,0.0633812,-0.119122,0.721726,-0.38038,-0.507337
01324189,1524485303871,-9.61851,-0.50139,-2.0914,0.0981894,0.0386079,0.0410925,0.819521,-0.550405,-0.0587518
01324188,1524485303871,-9.85135,-0.0431457,-0.130275,0.0982162,0.0792314,0.0128446,0.740104,-0.629688,-0.0748848
01324185,1524485303871,-9.8181,-0.428543,1.07689,0.14745,0.122467,-0.0552037,0.79048,0.0313221,-0.581912
01324181,1524485303871,-9.38646,0.316775,2.63832,0.179527,0.0704601,0.0323969,0.836538,0.45285,-0.263964
01324180,1524485303871,-9.49971,-1.1154,2.5701,0.144965,0.0704612,-0.113474,0.721853,-0.380095,-0.506516
01324189,1524485303888,-9.56774,-0.40883,-2.05787,0.0904071,0.0473196,0.0463705,0.82088,-0.551591,-0.0563449
01324188,1524485303888,-9.90173,0.0723509,-0.0683565,0.066005,0.0624906,0.0159686,0.73983,-0.629977,-0.0717829
01324185,1524485303888,-9.86629,-0.392148,1.05188,0.177451,0.116917,-0.0526399,0.793085,0.0291791,-0.582164
01324181,1524485303888,-9.46871,0.327966,2.59893,0.172491,0.0657832,0.0186069,0.837795,0.451648,-0.264898
01324180,1524485303888,-9.56009,-1.10597,2.52364,0.19379,0.0703197,-0.0964466,0.723205,-0.380418,-0.505451
01324189,1524485303905,-9.66823,-0.437745,-1.98339,0.0833324,0.0439598,0.0357123,0.8225,-0.548433,-0.0552574
01324188,1524485303905,-9.86358,-0.063894,0.0866091,0.059055,0.0652554,0.012419,0.740376,-0.629585,-0.0740687
01324185,1524485303905,-9.97236,-0.369817,1.05134,0.2264,0.120768,-0.0594992,0.79541,0.033879,-0.582218
01324181,1524485303905,-9.5067,0.358985,2.68988,0.158174,0.0580133,0.0289353,0.837934,0.453618,-0.26778
01324180,1524485303905,-9.58182,-1.0912,2.47275,0.212913,0.084588,-0.104129,0.72335,-0.380409,-0.507362
01324189,1524485303921,-9.68563,-0.538856,-1.89087,0.112972,0.0367668,0.0376079,0.818642,-0.549195,-0.0538678
01324188,1524485303921,-9.85639,-0.0876672,0.0338219,0.104451,0.0646946,0.0251164,0.73847,-0.63078,-0.0729003
01324185,1524485303921,-10.0733,-0.296877,1.13257,0.273499,0.122851,-0.0680485,0.793361,0.0313465,-0.5806
01324181,1524485303921,-9.50763,0.378444,2.61704,0.13337,0.0470408,0.0116779,0.836844,0.45221,-0.266387
01324180,1524485303921,-9.62868,-1.18781,2.42342,0.259831,0.0994548,-0.093192,0.722392,-0.380553,-0.504897
01324189,1524485303937,-9.61537,-0.437758,-2.0134,0.105963,0.0437119,0.0384434,0.817418,-0.552066,-0.0534713
01324188,1524485303937,-9.8369,-0.0532107,-0.0773497,0.107907,0.0528083,0.0197029,0.736974,-0.631994,-0.0714674
01324185,1524485303937,-10.0633,-0.219839,1.18473,0.264538,0.0896347,-0.0508207,0.794611,0.0268745,-0.576067
01324181,1524485303937,-9.42684,0.369785,2.50662,0.112022,0.0435134,0.0151424,0.835765,0.450494,-0.265798
01324180,1524485303937,-9.63299,-1.21652,2.39421,0.338431,0.109345,-0.0908735,0.722465,-0.380482,-0.492626
01324189,1524485303953,-9.57818,-0.324179,-2.07211,0.0778938,0.031878,0.0214815,0.816032,-0.552024,-0.052374
01324188,1524485303953,-9.76883,0.0437332,-0.184654,0.0765293,0.0690687,0.0391462,0.735875,-0.63136,-0.0689745
01324185,1524485303953,-9.96176,-0.143392,1.21357,0.26048,0.0668714,-0.04219,0.792966,0.0265903,-0.576059
01324181,1524485303953,-9.35484,0.375493,2.50214,0.108516,0.0788095,0.0119932,0.836032,0.450223,-0.264714
01324180,1524485303953,-9.56101,-1.15729,2.35173,0.425525,0.141285,-0.093617,0.722224,-0.3843,-0.489428
01324189,1524485303969,-9.54446,-0.394658,-2.11661,0.0468601,0.0348008,0.0391348,0.818912,-0.5534,-0.050797
01324188,1524485303969,-9.8467,-0.0983247,-0.173131,0.0494462,0.0679458,0.0265508,0.736988,-0.634868,-0.0664993
01324185,1524485303969,-9.87973,-0.124661,1.19045,0.239017,0.069177,-0.00988226,0.796805,0.0248792,-0.576056
01324181,1524485303969,-9.36435,0.385067,2.52605,0.11028,0.101907,0.0173609,0.840157,0.44928,-0.265278
01324180,1524485303969,-9.48864,-1.1146,2.27533,0.505821,0.175422,-0.11925,0.723612,-0.387993,-0.487614
01324189,1524485303986,-9.57833,-0.433684,-2.1308,0.0502772,0.0304485,0.0338305,0.819915,-0.554461,-0.05433
01324188,1524485303986,-9.81752,-0.0523133,-0.217096,0.0364031,0.0723746,0.0406744,0.737935,-0.633238,-0.0672216
01324185,1524485303986,-9.82204,-0.187636,1.17892,0.237721,0.0578475,0.000385706,0.797896,0.0216783,-0.579464
01324181,1524485303986,-9.44951,0.303959,2.56329,0.108474,0.0975636,0.0208083,0.83975,0.450406,-0.267191
01324180,1524485303986,-9.42133,-1.05506,2.19897,0.559269,0.173986,-0.124197,0.725402,-0.388729,-0.492155
01324189,1524485304003,-9.59311,-0.404706,-2.13537,0.0363095,0.020231,0.0284744,0.818259,-0.555138,-0.0532354
01324188,1524485304003,-9.79796,0.0101123,-0.188935,0.0294295,0.0774769,0.0424533,0.737251,-0.633316,-0.0653208
01324185,1524485304003,-9.81758,-0.250358,1.08231,0.278712,0.046132,0.0123226,0.797627,0.0208595,-0.577605
01324181,1524485304003,-9.59658,0.200255,2.63438,0.0853788,0.0770301,0.0104112,0.840971,0.44985,-0.265299
01324180,1524485304003,-9.46539,-0.999545,2.1505,0.584561,0.190156,-0.137967,0.728126,-0.392318,-0.487223
