ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555334053685,-9.44698,0.738154,-1.43885,-0.950215,0.0760533,-0.708794,0.660987,0.0348535,-0.36464
01324188,1555334053685,-9.45513,0.701469,-4.06354,0.133931,1.77873,-0.434128,0.690458,0.0505476,-0.148983
01324185,1555334053685,-8.05611,-1.11669,4.52163,-0.812412,0.0304385,0.0899717,0.590811,0.441265,-0.373792
01324181,1555334053685,-7.27959,-3.82837,4.60552,-0.671803,-0.0178847,0.494607,0.691712,0.458672,-0.0888245
01324180,1555334053685,-9.14579,0.910617,2.51282,-0.830953,-0.168064,0.200042,0.57828,-0.092465,-0.516372
01324189,1555334053688,-9.28431,1.71666,-2.49052,-0.798289,0.253807,-0.719336,0.660459,0.0567975,-0.365936
01324188,1555334053688,-8.75247,1.19977,-3.27455,0.164411,1.64411,-0.553914,0.693227,0.0622175,-0.134536
01324185,1555334053688,-8.08914,-0.914157,4.60346,-0.899659,0.0671556,0.0668735,0.592161,0.453444,-0.373914
01324181,1555334053688,-7.14188,-3.87043,4.6217,-0.722193,0.0229242,0.60197,0.69386,0.461564,-0.0882328
01324180,1555334053688,-9.24872,0.839717,2.48243,-0.919293,-0.211583,0.169294,0.574292,-0.0821456,-0.524794
01324189,1555334053704,-8.44328,2.85837,-3.79789,-1.03985,0.473554,-0.64079,0.664033,0.0685583,-0.361588
01324188,1555334053704,-8.61319,2.36008,-2.38128,0.0160866,1.33782,-0.753027,0.695743,0.0709133,-0.11879
01324185,1555334053704,-8.12731,-0.75021,4.58157,-1.03489,0.120285,0.0522301,0.592454,0.460735,-0.363083
01324181,1555334053704,-7.22808,-4.109,4.34071,-0.734996,0.114667,0.687321,0.699809,0.453157,-0.0832505
01324180,1555334053704,-9.3193,0.885167,2.44332,-1.01636,-0.24608,0.124508,0.571397,-0.0752269,-0.528141
01324189,1555334053721,-7.98556,2.96152,-3.25688,-1.3552,0.70325,-0.418467,0.666983,0.0766337,-0.346927
01324188,1555334053721,-8.47329,3.7878,-1.13905,-0.520882,0.850769,-0.937306,0.70006,0.0773976,-0.103058
01324185,1555334053721,-8.30601,-0.727557,4.44097,-1.26155,0.14738,0.07786,0.596985,0.459582,-0.349294
01324181,1555334053721,-7.09569,-4.02726,4.2144,-0.756575,0.181044,0.741359,0.707805,0.441493,-0.0730834
01324180,1555334053721,-9.31571,0.97689,2.44869,-1.1345,-0.273621,0.0778742,0.572522,-0.0713629,-0.519934
01324189,1555334053737,-8.43382,2.13418,-3.46141,-1.57452,0.80433,-0.191854,0.670101,0.087567,-0.337211
01324188,1555334053737,-8.69527,4.02664,0.352604,-1.1847,0.309811,-1.09476,0.699693,0.0920387,-0.0978212
01324185,1555334053737,-8.30211,-1.01416,4.38551,-1.46972,0.130239,0.102017,0.597831,0.46636,-0.335701
01324181,1555334053737,-6.84958,-3.96827,3.88153,-0.763843,0.257915,0.790243,0.713001,0.434099,-0.0623013
01324180,1555334053737,-9.20923,0.953381,2.50761,-1.2613,-0.308275,0.0328425,0.569196,-0.0616616,-0.524441
01324189,1555334053754,-8.78978,1.11286,-3.73352,-1.5931,0.84104,-0.0408715,0.67295,0.0976414,-0.3275
01324188,1555334053754,-9.14461,2.86915,1.65174,-1.52025,-0.25561,-1.18474,0.696877,0.107531,-0.0973547
01324185,1555334053754,-8.11523,-1.3189,4.17683,-1.62565,0.108999,0.114197,0.599493,0.474564,-0.321598
01324181,1555334053754,-7.43671,-3.8681,3.44593,-0.813878,0.345702,0.851627,0.718525,0.423191,-0.0523944
01324180,1555334053754,-8.94826,0.955861,2.56334,-1.3916,-0.348351,-0.00524441,0.564897,-0.0491705,-0.529693
