ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555335490999,-9.52821,-1.4739,-1.64214,-0.05476,-0.0357652,-0.00354797,0.756322,-0.23139,0.16711
01324188,1555335490999,-9.60008,1.33036,-1.68061,-0.0170842,0.0178222,0.0225805,0.605097,-0.299497,-0.0656361
01324185,1555335490999,-8.92124,-2.88573,1.53334,-0.107346,-0.146802,-0.140193,0.577312,0.381898,-0.32054
01324181,1555335490999,-8.74053,1.32813,4.19454,-0.0644592,0.00481535,0.0120422,0.69914,0.167994,-0.249171
01324180,1555335490999,-7.98196,-3.54514,2.33099,0.0126288,-0.09749,-0.241806,0.510039,0.16159,-0.496154
01324189,1555335491002,-9.58976,-1.56334,-1.583,-0.0215846,-0.0291687,0.00544918,0.75416,-0.226164,0.161404
01324188,1555335491002,-9.605,1.30186,-1.74048,0.0143063,0.0161038,0.0236624,0.603175,-0.296178,-0.0702633
01324185,1555335491002,-8.92152,-2.99166,1.54415,-0.0839825,-0.122946,-0.109754,0.572783,0.393015,-0.325636
01324181,1555335491002,-8.72807,1.34036,4.25718,-0.0716021,-0.00223279,0.013724,0.698045,0.173898,-0.255825
01324180,1555335491002,-7.95389,-3.49724,2.3992,0.0622772,-0.0247688,-0.232186,0.505128,0.169739,-0.503795
01324189,1555335491018,-9.58031,-1.48077,-1.56348,-0.026704,-0.0118376,0.0160585,0.753071,-0.226856,0.161545
01324188,1555335491018,-9.5996,1.45207,-1.84537,0.0142724,0.011854,0.021843,0.601671,-0.294975,-0.070439
01324185,1555335491018,-8.93124,-3.01568,1.53996,-0.0505264,-0.0964396,-0.0691361,0.569099,0.392034,-0.325087
01324181,1555335491018,-8.7162,1.35505,4.2618,-0.069878,0.00503559,0.0241198,0.697665,0.173147,-0.257541
01324180,1555335491018,-7.92506,-3.50232,2.45505,0.0960776,0.0396215,-0.203396,0.505379,0.170747,-0.50242
01324189,1555335491035,-9.57789,-1.40915,-1.69966,-0.030374,-0.00406333,0.00714394,0.754697,-0.229195,0.164327
01324188,1555335491035,-9.57043,1.49091,-1.89889,-0.00672588,0.0217299,0.0147315,0.603313,-0.296921,-0.066937
01324185,1555335491035,-8.95537,-2.9963,1.50682,-0.0134188,-0.0725727,-0.0251013,0.571299,0.386855,-0.321226
01324181,1555335491035,-8.74749,1.36922,4.27582,-0.0654785,0.0122839,0.0327941,0.698082,0.167815,-0.251426
01324180,1555335491035,-7.91631,-3.47197,2.56406,0.134222,0.10212,-0.167546,0.506422,0.16891,-0.490927
01324189,1555335491051,-9.57746,-1.43322,-1.68025,-0.0392374,0.00896343,-0.00357095,0.755103,-0.230356,0.165387
01324188,1555335491051,-9.60943,1.41295,-1.76311,-0.0188999,0.023456,0.0146618,0.601821,-0.297631,-0.0668278
01324185,1555335491051,-8.91675,-2.94363,1.44153,-0.00242249,-0.0388869,0.00527787,0.571429,0.387382,-0.323339
01324181,1555335491051,-8.70663,1.38425,4.29511,-0.0575402,-0.0043548,0.0412319,0.697922,0.16899,-0.250381
01324180,1555335491051,-7.97873,-3.53384,2.63804,0.141177,0.145345,-0.13731,0.508049,0.16771,-0.49016
01324189,1555335491068,-9.6002,-1.42277,-1.57278,-0.0445839,0.00902399,-0.0142446,0.756199,-0.230386,0.165106
01324188,1555335491068,-9.56129,1.35929,-1.70043,-0.0179912,0.0147523,0.0145805,0.603745,-0.300544,-0.0677096
01324185,1555335491068,-8.92887,-2.92915,1.38852,0.0178041,-0.00560545,0.00504502,0.572792,0.388791,-0.323884
01324181,1555335491068,-8.68778,1.3942,4.26848,-0.0486202,-0.00352849,0.0377566,0.69901,0.169101,-0.251195
01324180,1555335491068,-8.03686,-3.5521,2.70263,0.18019,0.186266,-0.0734695,0.509675,0.167396,-0.491141
01324189,1555335491084,-9.59083,-1.40589,-1.58748,-0.041056,0.00553547,-0.0106747,0.755692,-0.230105,0.160818
01324188,1555335491084,-9.61413,1.45817,-1.67444,-0.0170878,-0.00593576,0.011693,0.601549,-0.297531,-0.0688429
01324185,1555335491084,-8.97478,-2.96978,1.41032,0.00670407,0.0379205,0.0320037,0.570871,0.392149,-0.326411
01324181,1555335491084,-8.74123,1.4227,4.24585,-0.0487215,0.00567499,0.0568086,0.6974,0.170627,-0.254682
01324180,1555335491084,-8.10129,-3.4668,2.78465,0.172439,0.220753,-0.0468672,0.509148,0.169195,-0.497889
01324189,1555335491101,-9.60067,-1.36955,-1.58238,-0.0565659,0.00398688,-0.000949347,0.756507,-0.22926,0.160815
01324188,1555335491101,-9.58275,1.43928,-1.74912,-0.0240733,-0.0061054,0.0143049,0.602777,-0.297754,-0.0707621
01324185,1555335491101,-9.07616,-3.02689,1.45892,0.0425791,0.0650092,0.047122,0.571696,0.391052,-0.324428
01324181,1555335491101,-8.74809,1.38381,4.23207,-0.0433304,0.005521,0.0481771,0.699278,0.172031,-0.254998
01324180,1555335491101,-8.15526,-3.44179,2.87127,0.143965,0.2485,-0.0380433,0.511047,0.167696,-0.496589
01324189,1555335491117,-9.59123,-1.44258,-1.63138,-0.0722823,0.0110403,-0.00545902,0.75595,-0.230967,0.162956
01324188,1555335491117,-9.59002,1.43211,-1.75381,-0.0258197,0.00239508,0.0179256,0.600871,-0.298027,-0.0673806
01324185,1555335491117,-9.07586,-2.95462,1.50669,0.0458783,0.0829462,0.0827208,0.574434,0.38839,-0.322569
01324181,1555335491117,-8.72198,1.41323,4.2365,-0.0344909,0.0127965,0.0585449,0.698621,0.16823,-0.251841
01324180,1555335491117,-8.18935,-3.45265,2.94822,0.0910063,0.259998,-0.0101602,0.514123,0.165246,-0.486089
01324189,1555335491133,-9.60548,-1.40845,-1.597,-0.0493435,0.0168872,0.0194863,0.755687,-0.230102,0.161355
01324188,1555335491133,-9.61423,1.43139,-1.6381,-0.0213936,-0.0149609,0.01776,0.601682,-0.296729,-0.0704141
01324185,1555335491133,-9.07087,-2.92331,1.54498,0.0347486,0.102699,0.109819,0.575253,0.386387,-0.323342
01324181,1555335491133,-8.71762,1.44483,4.23109,-0.0433439,-0.00154249,0.0489628,0.698064,0.168414,-0.25037
01324180,1555335491133,-8.25185,-3.51968,3.05359,0.0635003,0.268104,0.0160944,0.515585,0.166229,-0.484189
01324189,1555335491150,-9.59044,-1.38379,-1.55092,-0.0574688,0.0178072,-0.00186794,0.753764,-0.230477,0.162717
01324188,1555335491150,-9.61439,1.38806,-1.64733,-0.0188392,-0.0193308,0.0018004,0.601552,-0.297968,-0.0688704
01324185,1555335491150,-9.12154,-2.94705,1.57409,0.0414371,0.111549,0.121673,0.574444,0.384035,-0.320156
