ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555333554786,-9.73877,0.109234,-1.32287,-0.0219682,-0.00568134,-0.00404092,0.696871,0.192218,0.253595
01324188,1555333554786,-9.66976,0.0689628,-1.67905,-0.00609533,-0.00125472,0.00685773,0.69694,0.209515,0.258457
01324185,1555333554786,-9.61946,0.55889,1.76662,0.0148839,-0.0296531,-0.00740523,0.783743,0.129719,-0.0150504
01324181,1555333554786,-9.00958,-0.367076,3.73169,-0.00632627,-0.00818831,-0.00891977,0.680125,-0.213333,-0.279033
01324180,1555333554786,-9.58586,-2.08516,0.556221,-0.00884178,0.00883705,0.000447298,0.686314,0.308529,0.163311
01324189,1555333554789,-9.75253,0.12662,-1.26177,0.0146024,0.00258954,0.0014002,0.698221,0.200226,0.249894
01324188,1555333554789,-9.67956,0.0372683,-1.62334,0.0173833,0.0202142,-0.00336772,0.697174,0.215751,0.255357
01324185,1555333554789,-9.63859,0.551876,1.86457,0.0222258,-0.00236749,-0.00078064,0.785496,0.137296,-0.0184111
01324181,1555333554789,-8.98516,-0.357126,3.78479,0.00159279,0.00626241,0.00668815,0.681728,-0.208098,-0.283055
01324180,1555333554789,-9.55122,-2.1427,0.556244,0.00519508,0.00625006,0.000495978,0.682472,0.316909,0.158931
01324189,1555333554805,-9.70901,0.0538213,-1.29911,0.0181439,-0.00436379,0.00408241,0.699862,0.199606,0.249602
01324188,1555333554805,-9.66727,0.088344,-1.69369,0.0243637,0.0156937,0.000171783,0.696229,0.215409,0.256822
01324185,1555333554805,-9.64329,0.585628,1.87898,0.032917,-0.0015568,0.00260449,0.784947,0.135972,-0.0210213
01324181,1555333554805,-8.98971,-0.38871,3.77087,0.00247644,0.00629415,0.00841417,0.682251,-0.206655,-0.282823
01324180,1555333554805,-9.56022,-2.18605,0.536582,0.0296807,0.00451717,0.00414662,0.68397,0.315284,0.158876
01324189,1555333554821,-9.72312,0.109916,-1.24522,-0.00395561,0.0286467,-0.0164848,0.697969,0.19362,0.251853
01324188,1555333554821,-9.66964,0.0983645,-1.7467,0.000827932,0.012755,0.00528887,0.69747,0.211274,0.25789
01324185,1555333554821,-9.63845,0.614459,1.84451,0.0115014,-0.0102198,-0.00412145,0.783873,0.130672,-0.0170288
01324181,1555333554821,-8.9994,-0.379123,3.77546,0.00164801,0.00964132,-0.00189581,0.679452,-0.213342,-0.279831
