ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555334155248,-9.67323,0.231424,-1.70713,0.0327687,-0.0579641,-0.032733,0.748989,0.193902,0.354841
01324188,1555334155248,-9.77722,0.315794,-0.902675,-0.00880905,0.0700196,0.00260055,0.746415,0.259154,0.191613
01324185,1555334155248,-9.70246,-1.00163,1.0002,-0.00443162,0.0017049,0.0399806,0.914349,-0.214232,0.0612299
01324181,1555334155248,-8.83151,0.0237868,4.16647,-0.00600397,-0.0266286,0.012108,0.731106,-0.267112,-0.487449
01324180,1555334155248,-9.27328,-2.42329,1.87417,-0.0122174,0.0716734,0.105922,0.802082,0.367441,0.127718
01324189,1555334155252,-9.68725,0.294865,-1.64348,0.025916,-0.047511,-0.0238882,0.747906,0.201396,0.349419
01324188,1555334155252,-9.77658,0.489923,-0.978863,0.00250901,0.0665738,0.00263581,0.743913,0.269273,0.18797
01324185,1555334155252,-9.68769,-0.941467,1.06932,0.0197415,0.0147812,0.0500708,0.91325,-0.212319,0.057673
01324181,1555334155252,-8.88393,0.0594824,4.26205,0.00553388,-0.021255,0.0138517,0.726994,-0.26082,-0.493732
01324180,1555334155252,-9.26858,-2.40862,1.86221,-0.0153097,0.050844,0.095209,0.797225,0.370745,0.124065
01324189,1555334155268,-9.64869,0.392176,-1.61462,-0.000302244,-0.0593436,-0.0346236,0.746699,0.201704,0.347158
01324188,1555334155268,-9.71147,0.441495,-0.983745,-0.0533314,0.0734727,0.00057097,0.7431,0.268971,0.1885
01324185,1555334155268,-9.6877,-0.955897,1.08645,0.0250232,0.0147274,0.0500656,0.911204,-0.212927,0.0554556
01324181,1555334155268,-8.87453,0.0668825,4.2499,-0.0122942,-0.0450969,0.0171462,0.727499,-0.259048,-0.49189
01324180,1555334155268,-9.30844,-2.50074,1.85407,-0.015631,0.0754533,0.091849,0.797514,0.368406,0.125638
01324189,1555334155284,-9.64016,0.430477,-1.67794,-0.0158914,-0.0496881,-0.0275893,0.747684,0.194051,0.348694
01324188,1555334155284,-9.74586,0.296406,-0.90515,-0.062025,0.0683415,-0.00131659,0.745319,0.260928,0.191469
01324185,1555334155284,-9.72617,-0.936363,1.12187,0.0319063,0.0181412,0.0466422,0.913124,-0.215522,0.0603282
01324181,1555334155284,-8.81636,0.0529865,4.28193,-0.0140876,-0.0353135,0.0206719,0.727385,-0.26416,-0.487338
01324180,1555334155284,-9.34011,-2.49168,1.87556,0.0249986,0.0618869,0.0761957,0.800048,0.368486,0.129122
