ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555335081449,-9.43908,0.404217,-2.65219,-0.00946664,-0.00803192,-0.000119837,0.778808,-0.408732,0.0771021
01324188,1555335081449,-9.804,-0.325871,-0.557572,0.00952961,0.00595086,0.0169078,0.77796,-0.317931,-0.0741205
01324185,1555335081449,-9.30149,-1.75157,2.43441,-0.0409486,-0.0204146,0.00441838,0.739521,0.0153183,-0.628456
01324181,1555335081449,-9.4013,0.205258,2.62056,0.000308057,0.0255111,0.0286948,0.810097,0.439446,-0.263903
01324180,1555335081449,-9.04987,-3.57222,0.793605,-0.0129917,0.00498753,0.00432166,0.788509,0.170877,-0.437057
01324189,1555335081453,-9.44335,0.406951,-2.61074,-0.00105934,0.0143054,-0.0170125,0.775285,-0.403198,0.0721029
01324188,1555335081453,-9.80883,-0.325853,-0.557535,0.00944093,0.0180419,0.0019936,0.776182,-0.314436,-0.0797903
01324185,1555335081453,-9.33535,-1.7995,2.45819,-0.0265615,-0.0152105,0.0111811,0.735684,0.0236643,-0.636003
01324181,1555335081453,-9.40054,0.195507,2.68837,-0.00145205,0.0254196,0.0235301,0.810538,0.45065,-0.268799
01324180,1555335081453,-9.08349,-3.58201,0.769054,-0.0102842,-0.00382737,0.00779876,0.783351,0.17782,-0.441982
01324189,1555335081469,-9.4291,0.406855,-2.63043,0.000703373,0.00737706,-0.0161082,0.773663,-0.403448,0.0710493
01324188,1555335081469,-9.81834,-0.282349,-0.567482,-0.00714404,0.0206642,0.00102126,0.77564,-0.31449,-0.0784436
01324185,1555335081469,-9.35944,-1.76086,2.41757,-0.0278245,-0.00999449,0.00264932,0.734051,0.0225231,-0.636511
01324181,1555335081469,-9.41514,0.180809,2.64992,0.0127734,0.0157235,0.0242674,0.808628,0.451285,-0.267195
01324180,1555335081469,-9.11772,-3.54841,0.749569,-0.0275804,-0.0106766,-0.00289233,0.782684,0.177837,-0.442783
01324189,1555335081485,-9.44791,0.368184,-2.60833,0.0147265,0.00724924,-0.00894897,0.776653,-0.408544,0.0745865
01324188,1555335081485,-9.78959,-0.350236,-0.528585,0.00770531,0.0222826,0.00380159,0.776465,-0.316753,-0.0769834
01324185,1555335081485,-9.39302,-1.70285,2.42812,-0.0372937,-0.0151406,0.0078017,0.735296,0.0159845,-0.630679
01324181,1555335081485,-9.42572,0.236508,2.62222,-0.0103234,0.0200358,0.0200645,0.808533,0.444659,-0.262399
01324180,1555335081485,-9.13151,-3.60166,0.746725,-0.0383011,-0.00752719,0.0128765,0.7855,0.173513,-0.432091
01324189,1555335081501,-9.47401,0.339193,-2.58366,-0.00249593,0.00917913,0.00165682,0.77828,-0.406863,0.0741799
01324188,1555335081501,-9.78949,-0.321434,-0.509595,0.0111884,-0.00476575,-0.0106332,0.777261,-0.314214,-0.0756259
01324185,1555335081501,-9.38835,-1.76547,2.4407,-0.0645338,-0.00607425,0.0077738,0.738831,0.0149624,-0.632255
01324181,1555335081501,-9.40123,0.224641,2.654,0.01464,0.0225287,0.00965919,0.810071,0.441591,-0.26408
01324180,1555335081501,-9.11717,-3.58944,0.749349,-0.0381996,-0.0145396,0.0128278,0.786955,0.174344,-0.429661
01324189,1555335081517,-9.47699,0.387505,-2.60054,-0.00248474,0.00831655,0.00343509,0.77826,-0.406852,0.0763206
01324188,1555335081517,-9.79925,-0.345545,-0.504487,0.00951217,0.013135,0.0125619,0.778628,-0.31648,-0.0743069
01324185,1555335081517,-9.36426,-1.7993,2.47398,-0.0536723,-0.0061137,0.0145608,0.740736,0.0165304,-0.631621
01324181,1555335081517,-9.4253,0.226782,2.6538,0.00304535,0.0217292,0.0148665,0.811836,0.440842,-0.264482
01324180,1555335081517,-9.09549,-3.58939,0.768896,-0.0434987,-0.0200717,0.0250587,0.787609,0.175784,-0.429777
01324189,1555335081534,-9.47669,0.390103,-2.57863,-0.00589259,0.00231786,0.00698887,0.776354,-0.402069,0.0734374
01324188,1555335081534,-9.80877,-0.30683,-0.519203,0.00771239,0.00693141,-0.00168147,0.779551,-0.312286,-0.0772805
01324185,1555335081534,-9.35459,-1.79454,2.47837,-0.0471964,-0.00630229,0.00179586,0.739361,0.0249713,-0.634191
01324181,1555335081534,-9.42609,0.243806,2.5931,-0.0049178,0.0251548,0.00974749,0.814242,0.443081,-0.265353
01324180,1555335081534,-9.06395,-3.59129,0.754693,-0.045442,-0.00423068,0.0216332,0.786427,0.177605,-0.439326
01324189,1555335081550,-9.46712,0.426545,-2.57139,-0.000242234,0.010849,-0.0214407,0.774994,-0.402464,0.0735836
01324188,1555335081550,-9.79421,-0.292215,-0.548328,0.00424264,0.0167851,0.00902552,0.77618,-0.314221,-0.078165
01324185,1555335081550,-9.33531,-1.79226,2.46782,-0.0434957,-0.0133377,0.00608486,0.73637,0.0239974,-0.633384
01324181,1555335081550,-9.42055,0.22442,2.64422,0.0109936,0.0343437,0.0270163,0.81018,0.44429,-0.265069
01324180,1555335081550,-9.0491,-3.60776,0.730578,-0.0593402,-0.0094624,0.0179847,0.783894,0.176493,-0.440123
01324189,1555335081566,-9.44577,0.445843,-2.59357,-0.00599216,0.00489108,0.0016462,0.776513,-0.406817,0.073933
01324188,1555335081566,-9.79427,-0.306849,-0.524129,0.0146269,0.0110706,-0.013977,0.77593,-0.31779,-0.0763698
01324185,1555335081566,-9.35941,-1.76565,2.43946,-0.0504657,-0.0167751,0.00782043,0.734877,0.0176141,-0.634236
01324181,1555335081566,-9.45971,0.243406,2.59531,0.003932,0.0324077,0.0184098,0.808171,0.44123,-0.26219
01324180,1555335081566,-9.07746,-3.65385,0.720381,-0.0488933,-0.00591721,0.0180707,0.783626,0.173995,-0.434218
01324189,1555335081582,-9.44883,0.435753,-2.64223,0.00251722,0.0142764,-0.00900415,0.778417,-0.405863,0.0735174
01324188,1555335081582,-9.78948,-0.318956,-0.519244,0.00941799,0.00739487,-0.0105118,0.775528,-0.318508,-0.0764096
01324185,1555335081582,-9.36909,-1.78965,2.45953,-0.0546308,-0.0158084,0.0129241,0.735966,0.019324,-0.6336
01324181,1555335081582,-9.4427,0.243591,2.61473,0.00386885,0.0201845,0.0269191,0.809799,0.44021,-0.26192
01324180,1555335081582,-9.09659,-3.66851,0.71528,-0.0384174,-0.00682484,0.0216478,0.784143,0.175875,-0.434593
01324189,1555335081598,-9.44367,0.414064,-2.63019,-0.00269905,0.0074234,-0.0107863,0.77786,-0.405698,0.0747291
01324188,1555335081598,-9.79911,-0.311521,-0.543301,-0.000995011,0.0100569,0.00449048,0.777274,-0.316426,-0.0749582
01324185,1555335081598,-9.3596,-1.83547,2.44504,-0.0538105,-0.0123089,0.0111987,0.737327,0.018467,-0.63399
01324181,1555335081598,-9.42573,0.253473,2.64363,0.00396784,0.0251718,0.00971872,0.813047,0.439162,-0.261932
01324180,1555335081598,-9.07705,-3.68277,0.715392,-0.0232859,-0.0179918,0.0128659,0.786547,0.176554,-0.433939
01324189,1555335081615,-9.42871,0.373032,-2.61834,0.0113813,0.00383794,-7.32236e-05,0.777832,-0.401525,0.0750301
01324188,1555335081615,-9.81365,-0.320996,-0.559948,0.0111539,0.0158608,-0.00598477,0.778083,-0.315797,-0.0762723
01324185,1555335081615,-9.33548,-1.84284,2.45621,-0.0413484,-0.0132743,0.0145877,0.738958,0.0241555,-0.632476
01324181,1555335081615,-9.40733,0.268303,2.57584,0.0083837,0.0217578,0.016563,0.813604,0.44134,-0.266773
01324180,1555335081615,-9.07745,-3.65632,0.725201,-0.0174478,-0.00412581,0.021798,0.78773,0.179889,-0.436865
01324189,1555335081631,-9.45274,0.343857,-2.61805,0.00274857,0.00911862,0.00433522,0.776474,-0.402925,0.0755696
01324188,1555335081631,-9.81358,-0.30169,-0.56253,0.0146668,0.00452678,-0.00520069,0.77782,-0.316965,-0.0760732
01324185,1555335081631,-9.34759,-1.88126,2.48624,-0.0448521,-0.013248,0.0145946,0.738138,0.0241306,-0.633785
