ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555333742599,-9.45956,0.00196671,-2.73378,0.014703,0.00843283,0.00594851,0.811005,-0.31464,0.0304393
01324188,1555333742599,-9.74725,-0.275147,-1.22785,0.00529351,0.00890031,0.00517419,0.772351,-0.309102,-0.010271
01324185,1555333742599,-9.6625,0.404326,1.80996,-0.0174262,-0.00748525,0.00356207,0.783562,-0.430162,-0.361156
01324181,1555333742599,-9.11446,-0.495136,3.60383,-0.00296352,0.013573,0.00365932,0.71891,0.483616,-0.398818
01324180,1555333742599,-9.60913,-2.13593,0.404498,0.00190719,0.00719274,-0.00124239,0.857823,-0.132443,-0.29065
01324189,1555333742603,-9.43026,-0.00264224,-2.71963,0.00907026,0.0153512,-0.022519,0.812622,-0.307235,0.0271419
01324188,1555333742603,-9.75426,-0.207407,-1.25729,0.0113827,0.0259694,0.0115957,0.772587,-0.30345,-0.0134045
01324185,1555333742603,-9.69634,0.346794,1.85568,-0.0262709,0.00842386,0.00177737,0.786669,-0.426997,-0.365253
01324181,1555333742603,-9.10442,-0.504748,3.63547,0.000584491,0.0189176,0.00541724,0.719712,0.490379,-0.4065
01324180,1555333742603,-9.63794,-2.16066,0.42825,0.00187127,0.0107091,-0.00209678,0.858461,-0.127782,-0.295164
01324189,1555333742619,-9.47014,-0.0166887,-2.63631,-0.015114,0.0139096,-0.0137039,0.813837,-0.308121,0.028456
01324188,1555333742619,-9.74231,-0.243852,-1.22336,-0.002573,0.00568775,-0.000225396,0.774188,-0.300454,-0.0129702
01324185,1555333742619,-9.70115,0.334808,1.88027,-0.0158638,-0.00580741,-0.00154359,0.790464,-0.42475,-0.36568
01324181,1555333742619,-9.08508,-0.516647,3.631,-0.0153158,0.0114495,-0.0144243,0.72355,0.488866,-0.407046
01324180,1555333742619,-9.61358,-2.18235,0.452538,-0.00143306,-0.00335466,-0.00134791,0.860313,-0.125786,-0.29461
01324189,1555333742636,-9.44451,-0.00254683,-2.69994,-0.0239462,0.0122475,-0.0226209,0.814234,-0.309558,0.0304427
01324188,1555333742636,-9.74728,-0.280236,-1.1893,0.00526042,0.00772394,-0.00545977,0.775705,-0.306034,-0.00891653
01324185,1555333742636,-9.67224,0.315377,1.89137,-0.0128613,-0.00771501,-0.0134471,0.788846,-0.427512,-0.362639
01324181,1555333742636,-9.07531,-0.521392,3.64081,-0.0100332,0.0134004,-0.00494492,0.723034,0.483612,-0.402896
01324180,1555333742636,-9.58685,-2.18425,0.433453,-0.0189919,9.2912e-05,-0.00144125,0.86117,-0.130745,-0.293099
01324189,1555333742652,-9.44946,0.0314113,-2.69249,0.0144951,-0.00539602,-0.0109086,0.812653,-0.313118,0.027629
01324188,1555333742652,-9.72791,-0.270662,-1.18954,0.000901391,0.00258828,-0.00731341,0.773696,-0.308138,-0.0127725
01324185,1555333742652,-9.653,0.315232,1.86385,-0.00354683,-0.000633356,-0.00160051,0.786677,-0.429204,-0.362615
01324181,1555333742652,-9.08053,-0.494759,3.63302,-0.0154463,0.018072,0.00890153,0.72139,0.482954,-0.400982
01324180,1555333742652,-9.57981,-2.17472,0.452909,-0.0102756,0.00364064,-0.00223967,0.861313,-0.131032,-0.294189
01324189,1555333742669,-9.43285,0.011846,-2.72443,0.0179413,0.00146383,-0.0118017,0.811287,-0.312506,0.0280499
01324188,1555333742669,-9.74707,-0.224545,-1.2235,-0.0130671,0.00768549,-0.00558676,0.771666,-0.307444,-0.0113647
01324185,1555333742669,-9.63365,0.319948,1.88724,-0.00919767,-0.00418718,-0.0100805,0.784234,-0.4295,-0.363389
01324181,1555333742669,-9.08529,-0.487548,3.64734,-0.00298045,0.0136046,0.00537586,0.718221,0.484627,-0.39937
01324180,1555333742669,-9.57013,-2.17921,0.447917,-0.00593829,0.000652883,0.0090492,0.857634,-0.131808,-0.293035
01324189,1555333742685,-9.44763,0.00678473,-2.74369,0.0196861,0.00835429,-0.0100292,0.809932,-0.309038,0.0255563
01324188,1555333742685,-9.74245,-0.282465,-1.2182,0.00966492,-0.00306978,0.00153337,0.772723,-0.30361,-0.0131483
01324185,1555333742685,-9.63354,0.35366,1.89174,-0.000488796,-0.00340629,-0.0117967,0.78504,-0.42743,-0.365766
01324181,1555333742685,-9.066,-0.506715,3.62851,-0.00473805,0.0153175,0.00280778,0.719117,0.491906,-0.403298
01324180,1555333742685,-9.56555,-2.1648,0.460125,-0.00323457,-0.00189983,0.00553436,0.856413,-0.130035,-0.294604
01324189,1555333742701,-9.4059,-0.0486539,-2.72984,-0.006358,0.0137982,-0.00835688,0.812478,-0.308228,0.0286042
01324188,1555333742701,-9.74727,-0.282147,-1.26148,-0.000853825,0.00587664,-0.00375067,0.773259,-0.303059,-0.0127189
01324185,1555333742701,-9.63358,0.356045,1.86745,-0.0108947,-0.0041496,-0.0083786,0.786394,-0.426597,-0.366433
01324181,1555333742701,-9.08084,-0.485041,3.61351,-0.00115376,0.0276578,0.000318514,0.721603,0.489406,-0.403541
01324180,1555333742701,-9.5607,-2.16472,0.457756,0.0107101,-0.00376176,0.0135207,0.857744,-0.128894,-0.295142
01324189,1555333742717,-9.42424,-0.0554584,-2.66143,-0.025333,0.00711509,-0.000407391,0.814375,-0.308562,0.0292474
01324188,1555333742717,-9.74713,-0.241357,-1.23297,0.000900018,-0.00773894,-0.00920003,0.775283,-0.303199,-0.010476
01324185,1555333742717,-9.65284,0.363398,1.87791,-0.00202848,-0.0112681,-0.00663782,0.788708,-0.426537,-0.363302
01324181,1555333742717,-9.08081,-0.487467,3.61356,0.000467918,0.00688107,0.0242671,0.724105,0.484763,-0.402528
01324180,1555333742717,-9.57532,-2.16016,0.467306,0.00908604,-0.00713379,0.00645808,0.860624,-0.128004,-0.282726
01324189,1555333742733,-9.47338,-0.0220109,-2.69469,-0.00639007,-0.00517729,-0.0136392,0.814404,-0.310008,0.0272331
01324188,1555333742733,-9.73756,-0.265804,-1.18951,-0.0043192,-0.000119636,-0.00561037,0.77555,-0.302594,-0.0111113
01324185,1555333742733,-9.6721,0.373149,1.87863,-0.00539992,-0.011204,-0.00322863,0.787081,-0.427385,-0.363419
01324181,1555333742733,-9.09077,-0.470589,3.59868,-0.00210415,0.0189885,0.009728,0.722603,0.485074,-0.402518
01324180,1555333742733,-9.61417,-2.14603,0.457337,0.000422478,-0.00158097,-0.00937017,0.860636,-0.128578,-0.283819
01324189,1555333742749,-9.4677,-0.00937132,-2.63146,0.00723226,0.00156608,-0.0331523,0.813864,-0.310855,0.0273661
01324188,1555333742749,-9.73769,-0.299828,-1.15069,0.0062176,-0.0186241,-0.000430739,0.774214,-0.304665,-0.0128307
01324185,1555333742749,-9.69137,0.378094,1.88911,-0.00862142,-0.0146321,0.00360462,0.784774,-0.42739,-0.363673
01324181,1555333742749,-9.10025,-0.477984,3.60359,-0.00646687,0.00806781,-0.00672584,0.720944,0.485434,-0.400357
01324180,1555333742749,-9.6065,-2.17236,0.445183,-0.00135089,-0.001621,-0.00763158,0.859732,-0.130874,-0.285475
01324189,1555333742766,-9.48723,-0.0289897,-2.65068,0.00932523,-0.00877861,-0.0100226,0.81075,-0.310348,0.0260706
01324188,1555333742766,-9.74239,-0.263475,-1.17505,0.00792863,-0.0013332,0.00153933,0.770567,-0.304102,-0.0142235
01324185,1555333742766,-9.66739,0.344214,1.86417,-0.0125018,-0.0199592,-0.00486602,0.781923,-0.428542,-0.36496
01324181,1555333742766,-9.09532,-0.473089,3.62285,0.00502488,0.0100768,0.00532016,0.719285,0.48776,-0.400926
01324180,1555333742766,-9.5994,-2.16517,0.457376,-0.00125865,-0.0104596,-0.00417618,0.855897,-0.13162,-0.294899
01324189,1555333742782,-9.43205,-0.0801056,-2.71005,0.0283086,-0.00383046,-0.0188635,0.811277,-0.307635,0.0260861
01324188,1555333742782,-9.73756,-0.265871,-1.17988,0.0148589,0.00262244,-0.00721932,0.773129,-0.303548,-0.0146227
01324185,1555333742782,-9.66259,0.334555,1.86649,-0.0227522,-0.00393848,0.0018454,0.784496,-0.427727,-0.366546
01324181,1555333742782,-9.09288,-0.485182,3.61102,-0.00564914,0.0065232,0.0053241,0.71958,0.486581,-0.401711
01324180,1555333742782,-9.56541,-2.17443,0.457657,-0.00834987,-0.00885873,0.00193428,0.856686,-0.13077,-0.293812
01324189,1555333742799,-9.435,-0.0415055,-2.72939,0.0161807,-0.00542796,-0.0153476,0.81236,-0.30852,0.0270012
01324188,1555333742799,-9.7473,-0.285025,-1.19407,0.00610857,-0.000496805,-0.0143943,0.772316,-0.303383,-0.0116558
01324185,1555333742799,-9.65298,0.308031,1.88819,-0.00545256,-0.00769883,-0.00495495,0.786265,-0.427541,-0.364199
01324181,1555333742799,-9.08551,-0.492379,3.61845,-0.00657902,0.00664924,0.0122226,0.720812,0.485144,-0.400484
01324180,1555333742799,-9.57501,-2.17439,0.443062,-0.00313009,-0.00888757,0.0046067,0.85759,-0.130682,-0.286927
01324189,1555333742815,-9.42479,-0.0581922,-2.70037,-0.00570372,-0.0103956,-0.0278513,0.814384,-0.309998,0.0292359
01324188,1555333742815,-9.73769,-0.304183,-1.21804,-0.000884848,0.00469637,-0.0143827,0.774742,-0.302826,-0.0120532
