ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555333689767,-9.50352,-0.616723,-2.25061,0.0192306,0.0105603,0.00671445,0.723882,-0.392739,-0.00544298
01324188,1555333689767,-9.61297,-0.356546,-1.85856,0.0193313,-0.00818734,0.00519103,0.71501,-0.519439,0.0467845
01324185,1555333689767,-9.49819,0.411185,2.13234,0.0462891,0.0150608,-0.0218095,0.750763,-0.427776,-0.313135
01324181,1555333689767,-9.23271,-0.523374,3.23214,0.00976048,0.0162995,-0.0495921,0.678353,0.410984,-0.360973
01324180,1555333689767,-9.50284,-2.20146,0.706013,0.0256099,0.0246438,0.0383882,0.825925,-0.187283,-0.169576
01324189,1555333689775,-9.57044,-0.611653,-2.1863,0.0426108,0.0206926,0.00145692,0.726583,-0.387212,-0.00690053
01324188,1555333689775,-9.64179,-0.307933,-1.89969,0.0140146,0.0164213,0.000109323,0.715544,-0.517739,0.0412536
01324185,1555333689775,-9.51731,0.500353,2.09099,0.0607001,0.00268271,-0.0132389,0.752371,-0.420547,-0.319237
01324181,1555333689775,-9.31815,-0.301088,3.13555,-0.0187344,0.0252442,-0.0425348,0.67992,0.420955,-0.367391
01324180,1555333689775,-9.50477,-2.07652,0.759853,0.0083739,0.0106396,0.0338166,0.82532,-0.179098,-0.175632
01324189,1555333689791,-9.50603,-0.452784,-2.35241,0.0399221,0.0224079,0.001428,0.726712,-0.387211,-0.0060999
01324188,1555333689791,-9.63675,-0.26122,-2.03251,2.29316e-05,0.0112664,-0.0018118,0.715809,-0.516913,0.042106
01324185,1555333689791,-9.46421,0.519275,2.08125,0.0590104,0.0282683,-0.0117121,0.754004,-0.420103,-0.318199
01324181,1555333689791,-9.40203,-0.108002,3.16513,-0.048991,-0.0155853,-0.0496893,0.680442,0.422406,-0.366889
01324180,1555333689791,-9.51477,-2.04007,0.726118,-0.0178686,0.0250072,0.0126631,0.826404,-0.179991,-0.175259
01324189,1555333689807,-9.55291,-0.442399,-2.23972,0.00853071,0.0210215,-0.00754864,0.726008,-0.388614,-0.00276091
01324188,1555333689807,-9.62237,-0.290541,-1.98422,0.0018164,-0.00273013,-0.000180719,0.715944,-0.517342,0.0450267
01324185,1555333689807,-9.5218,0.555845,2.18525,0.0379729,0.043441,-0.0100736,0.752394,-0.426495,-0.312629
01324181,1555333689807,-9.40118,-0.149267,3.19974,-0.0402227,-0.0311394,-0.0308848,0.679146,0.415246,-0.364167
01324180,1555333689807,-9.54801,-2.07138,0.682117,-0.015952,0.0190701,0.003842,0.827787,-0.185275,-0.170646
01324189,1555333689822,-9.53869,-0.437649,-2.25939,-0.00168426,0.0245966,0.00839947,0.724129,-0.388721,-0.00528023
01324188,1555333689822,-9.60792,-0.300772,-1.90723,0.0245003,-0.00080552,-0.00265819,0.71541,-0.518327,0.0445699
01324185,1555333689822,-9.57475,0.589889,2.19202,0.0327359,0.0348889,0.0112593,0.752124,-0.425345,-0.311591
01324181,1555333689822,-9.30737,-0.32045,3.2326,-0.0332164,-0.0396395,-0.0120213,0.67681,0.415882,-0.363079
01324180,1555333689822,-9.57211,-2.07146,0.662547,-0.025973,0.0100719,-0.0296864,0.826839,-0.184382,-0.171292
01324189,1555333689838,-9.55198,-0.534274,-2.21561,0.0365574,0.00693888,0.00323425,0.723846,-0.389281,-0.00381094
01324188,1555333689838,-9.61028,-0.281807,-1.85926,0.0158083,-0.00781879,-0.00191125,0.715396,-0.5162,0.0456408
01324185,1555333689838,-9.61839,0.515515,2.18494,-0.0019446,0.0315981,0.00197476,0.751036,-0.426061,-0.312104
01324181,1555333689838,-9.25251,-0.421766,3.30735,-0.0350701,-0.039422,5.27397e-05,0.676407,0.415734,-0.363475
01324180,1555333689838,-9.59591,-2.10071,0.662154,-0.0524495,0.0266663,-0.0314978,0.825773,-0.185237,-0.171022
01324189,1555333689854,-9.56645,-0.582927,-2.23254,0.0182746,0.00194619,-0.000368362,0.723855,-0.386849,-0.00619803
01324188,1555333689854,-9.64671,-0.3297,-1.88742,0.0148846,-0.000486998,-0.00892089,0.714445,-0.514871,0.0423843
01324185,1555333689854,-9.67895,0.414779,2.19828,-0.0313989,0.0372451,0.0113414,0.751161,-0.422302,-0.315023
01324181,1555333689854,-9.20347,-0.457625,3.36148,-0.0225953,-0.0536882,-0.00701336,0.674589,0.421064,-0.365856
