ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555576853816,9.53846,-2.80937,-2.45403,0.0942241,-0.0909518,-0.149605,-0.733911,-0.114449,0.35675
01324188,1555576853816,-9.50193,1.43717,-1.76962,-0.236388,-0.0215799,0.0281682,0.846994,0.235427,0.411015
01324185,1555576853816,-9.08162,1.825,3.26028,0.303046,-0.0499884,-0.0579153,0.542126,-0.186114,-0.476237
01324181,1555576853816,6.61752,0.634737,6.70139,-0.137918,0.0430277,-0.170579,-0.428374,-0.308436,-0.448474
01324180,1555576853816,9.72962,2.36063,1.29796,-0.376171,-0.0720017,0.154215,-0.69475,0.0782356,-0.193474
01324189,1555576853820,9.26006,-2.41085,-2.77018,0.104522,-0.0651329,-0.142467,-0.74276,-0.107614,0.351008
01324188,1555576853820,-9.90529,0.838008,-2.07871,-0.229589,-0.0507883,-0.00931433,0.844272,0.23818,0.409073
01324185,1555576853820,-9.199,2.04733,3.35037,0.279592,-0.0587074,-0.0697187,0.53818,-0.183506,-0.480042
01324181,1555576853820,6.68025,0.674234,6.77831,-0.118111,0.0280533,-0.216473,-0.433806,-0.300772,-0.456048
01324180,1555576853820,9.86217,2.03378,1.30713,-0.37395,-0.027752,0.131571,-0.701803,0.0875221,-0.198586
01324189,1555576853836,9.10882,-2.27592,-2.78462,0.0986701,-0.0150239,-0.176314,-0.740567,-0.108108,0.350175
01324188,1555576853836,-9.67572,0.835142,-1.78687,-0.194527,-0.109585,-0.0149999,0.845107,0.234607,0.407497
01324185,1555576853836,-9.37974,2.03891,3.44554,0.246521,-0.0530657,-0.0620247,0.539132,-0.183063,-0.479003
01324181,1555576853836,6.59818,0.83567,6.95582,-0.053831,0.0698432,-0.258546,-0.434089,-0.300182,-0.455524
