ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555575305076,9.49807,-0.409272,-1.69047,0.158974,0.00434869,-0.0835181,-0.679803,0.263232,-0.108541
01324188,1555575305076,-9.65551,1.02134,-1.44943,-0.0458393,0.0272942,-0.0460737,0.634295,-0.0941437,-0.209815
01324185,1555575305076,-9.54865,-1.1147,1.29684,-0.569541,-0.0279858,0.0581933,0.829963,0.105509,0.10914
01324181,1555575305076,9.87327,-0.218691,-0.856049,0.348806,-0.0999406,0.0383418,-0.766706,0.174632,0.248234
01324180,1555575305076,-8.91597,-2.89166,0.654131,-0.399505,-0.128549,-0.0772324,0.589849,0.522079,-0.0201904
01324189,1555575305080,9.49359,-0.209755,-1.57798,0.133438,-0.00394821,-0.0453849,-0.684881,0.27096,-0.112226
01324188,1555575305080,-9.56424,0.861612,-1.41019,-0.0722126,0.0400546,-0.0921175,0.633998,-0.088243,-0.217084
01324185,1555575305080,-9.52794,-1.33649,1.10414,-0.574872,-0.0398737,0.095696,0.829952,0.106548,0.105266
01324181,1555575305080,9.82361,-0.083437,-0.84447,0.337279,-0.0788122,0.0333867,-0.774491,0.185222,0.243381
01324180,1555575305080,-8.81317,-3.04433,0.82828,-0.450272,-0.144197,-0.053108,0.585543,0.531549,-0.0217957
01324189,1555575305096,9.60339,0.0669654,-1.56681,0.111906,-0.0140847,-0.028582,-0.685945,0.269439,-0.11157
01324188,1555575305096,-9.66212,0.524827,-1.46413,-0.0652032,0.0328534,-0.0868417,0.634789,-0.0875571,-0.216789
01324185,1555575305096,-9.48365,-1.71254,0.865934,-0.584116,-0.0412537,0.122928,0.831964,0.104369,0.107727
01324181,1555575305096,9.78949,0.00586181,-0.776372,0.305951,-0.0658484,0.0663507,-0.77397,0.18565,0.243891
01324180,1555575305096,-8.65144,-3.23908,0.93753,-0.529647,-0.134939,-0.00791413,0.584995,0.532397,-0.0191236
01324189,1555575305113,9.69526,0.239867,-1.50208,0.0818037,-0.0327452,-0.00734422,-0.681135,0.264672,-0.109563
01324188,1555575305113,-9.76404,0.409669,-1.49116,-0.045996,0.0283918,-0.0832304,0.637191,-0.0902887,-0.21409
01324185,1555575305113,-9.39604,-2.21393,0.763018,-0.515432,-0.0348822,0.121102,0.83198,0.0987511,0.112032
01324181,1555575305113,9.85413,0.0817684,-0.702557,0.257817,-0.0620874,0.0820271,-0.767874,0.182845,0.248601
01324180,1555575305113,-8.55868,-3.71749,1.09046,-0.5917,-0.107978,0.0304256,0.589544,0.531679,-0.00728875
01324189,1555575305129,9.75552,0.345828,-1.30805,0.027999,-0.0287149,-0.0022115,-0.679542,0.264213,-0.108536
01324188,1555575305129,-9.75926,0.399607,-1.43336,-0.0319746,0.0184908,-0.0761627,0.636133,-0.0909308,-0.212142
01324185,1555575305129,-9.38962,-2.47401,0.7266,-0.401092,-0.0271981,0.119229,0.831715,0.0975051,0.112303
01324181,1555575305129,10.0304,0.311839,-0.826425,0.177612,-0.0245105,0.110179,-0.766183,0.183986,0.247605
01324180,1555575305129,-8.47016,-4.22937,1.20934,-0.569473,-0.114403,0.0883984,0.590586,0.530496,-0.00269364
