ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555575653378,9.69818,0.888468,-1.24242,-0.00251675,0.00278842,0.0242996,-0.723865,-0.174509,0.449968
01324188,1555575653378,-9.66535,0.038041,-1.62742,0.00774054,0.00749721,0.0112492,0.733195,0.0104004,0.507767
01324185,1555575653378,-9.60288,-2.0866,0.302721,0.0644749,-0.0346537,0.0523249,0.72717,0.28569,-0.378467
01324181,1555575653378,9.65915,-0.292205,-1.56243,0.00332845,0.110816,0.00314984,-0.785298,-0.316543,0.0297653
01324180,1555575653378,-8.42819,-4.78388,1.48287,0.00509487,0.0653109,0.0561117,0.761845,0.100736,-0.356815
01324189,1555575653382,9.6914,0.878981,-1.21313,-0.002473,0.0097038,0.0278425,-0.73194,-0.169054,0.448783
01324188,1555575653382,-9.69441,0.0236464,-1.62225,0.0164815,0.0226056,0.0220913,0.730493,0.0162731,0.505778
01324185,1555575653382,-9.61237,-2.07203,0.363632,0.0784677,-0.0374566,0.050628,0.724993,0.291542,-0.38694
01324181,1555575653382,9.68361,-0.32588,-1.56163,0.0139475,0.10214,0.0116578,-0.793596,-0.310175,0.0236598
01324180,1555575653382,-8.46625,-4.83511,1.49188,-0.012215,0.0530121,0.0541537,0.759673,0.107229,-0.360382
01324189,1555575653398,9.69853,0.878933,-1.22298,-0.0164406,0.0132933,0.0242337,-0.731137,-0.168507,0.448778
01324188,1555575653398,-9.69431,0.0501513,-1.62009,0.0199998,0.00697423,0.0219429,0.729433,0.0152959,0.505599
01324185,1555575653398,-9.62916,-2.04303,0.371331,0.0865986,-0.025155,0.055646,0.723114,0.291278,-0.386154
01324181,1555575653398,9.69883,-0.364543,-1.5294,0.0166326,0.118932,0.0109342,-0.793577,-0.310771,0.0223546
01324180,1555575653398,-8.481,-4.81592,1.48701,-0.00663726,0.027549,0.0575352,0.758761,0.106534,-0.361181
01324189,1555575653415,9.68854,0.815517,-1.27165,-0.0095325,0.0132126,0.0207052,-0.72576,-0.172188,0.45014
01324188,1555575653415,-9.67966,0.0910699,-1.61817,0.0199676,0.00734475,0.0148673,0.732259,0.0110548,0.506362
01324185,1555575653415,-9.6484,-2.03808,0.391513,0.0711275,-0.0251298,0.0437607,0.72649,0.284643,-0.382084
01324181,1555575653415,9.70546,-0.320794,-1.53261,0.0193227,0.105557,0.00476925,-0.787013,-0.31505,0.0255367
01324180,1555575653415,-8.46675,-4.79644,1.48725,0.00350913,0.0512132,0.0595251,0.761577,0.100591,-0.355616
01324189,1555575653431,9.67737,0.811127,-1.20822,-0.0112986,0.00978473,0.017155,-0.725632,-0.173603,0.451711
01324188,1555575653431,-9.6844,0.115331,-1.6376,0.00343242,0.0051062,0.0235788,0.73226,0.0107078,0.507665
01324185,1555575653431,-9.64594,-2.02365,0.396112,0.0623267,-0.0356142,0.0438367,0.725951,0.284069,-0.382854
01324181,1555575653431,9.67836,-0.26532,-1.52902,0.0122211,0.116135,0.00316,-0.787547,-0.314629,0.0250066
01324180,1555575653431,-8.49112,-4.77727,1.47262,0.0142785,0.0481763,0.0384827,0.763301,0.0991187,-0.35354
01324189,1555575653448,9.71815,0.849981,-1.21847,-0.0165336,0.0132803,0.0171224,-0.726841,-0.172439,0.451074
01324188,1555575653448,-9.69185,0.0621978,-1.62022,0.0217492,0.000119882,0.0201095,0.732792,0.0110094,0.507147
01324185,1555575653448,-9.63865,-1.99962,0.388274,0.0443594,-0.0249534,0.0352817,0.726484,0.282911,-0.384918
01324181,1555575653448,9.65963,-0.265585,-1.47601,-0.00478078,0.107549,0.0177978,-0.790194,-0.315058,0.0231986
01324180,1555575653448,-8.48853,-4.79177,1.4774,0.00192633,0.0551415,0.0384492,0.763676,0.101116,-0.353905
01324189,1555575653464,9.71817,0.835406,-1.22338,-0.0147259,0.00636079,0.0206953,-0.730869,-0.168656,0.448906
01324188,1555575653464,-9.69434,0.0429181,-1.62002,0.0174217,0.00311914,0.0289634,0.733989,0.0116349,0.505583
01324185,1555575653464,-9.63868,-1.99964,0.371292,0.049821,-0.0284845,0.0395506,0.725134,0.282863,-0.387506
01324181,1555575653464,9.67225,-0.287298,-1.4417,-0.00470498,0.101972,0.00309657,-0.793685,-0.310413,0.0191867
01324180,1555575653464,-8.48123,-4.79158,1.46781,0.0197945,0.0361015,0.0296358,0.76088,0.104619,-0.357789
01324189,1555575653480,9.70835,0.835288,-1.23296,-0.0198606,-0.00739013,0.0242593,-0.731128,-0.168795,0.447984
01324188,1555575653480,-9.68443,0.108098,-1.63754,0.0217243,0.013928,0.0220309,0.733858,0.0113634,0.505303
01324185,1555575653480,-9.6315,-2.03577,0.398044,0.0355774,-0.0231092,0.0352786,0.72621,0.281739,-0.387758
01324181,1555575653480,9.68898,-0.272552,-1.43222,0.00146362,0.0950625,0.0116303,-0.792851,-0.311603,0.0172267
01324180,1555575653480,-8.49626,-4.74816,1.4534,0.0197855,0.0234882,0.0471444,0.763022,0.102296,-0.358132
01324189,1555575653496,9.7181,0.801334,-1.24293,-0.0146334,0.001186,0.0260361,-0.727642,-0.170157,0.449253
01324188,1555575653496,-9.7087,0.0815308,-1.61785,0.0199781,0.0140253,0.0202469,0.732403,0.00916346,0.506906
01324185,1555575653496,-9.6316,-2.0815,0.41065,0.0423313,-0.0214842,0.028458,0.725811,0.282622,-0.385432
01324181,1555575653496,9.71266,-0.277088,-1.47545,0.00327776,0.0914225,0.00641547,-0.789111,-0.312765,0.0183976
01324180,1555575653496,-8.49125,-4.75766,1.44373,0.0170547,0.0358916,0.0401774,0.762768,0.101732,-0.358805
01324189,1555575653512,9.71083,0.825608,-1.23302,-0.0112013,0.0132361,0.0251379,-0.726961,-0.171453,0.448972
01324188,1555575653512,-9.69408,0.115233,-1.61827,0.0270409,0.00112552,0.0343152,0.731858,0.0109575,0.508612
01324185,1555575653512,-9.64118,-2.06218,0.415714,0.0703934,-0.0182493,0.0267071,0.724469,0.280239,-0.385793
01324181,1555575653512,9.70805,-0.267466,-1.44185,0.0025187,0.0998547,-0.0159183,-0.789602,-0.314923,0.0167349
01324180,1555575653512,-8.47133,-4.79096,1.41958,0.00393473,0.0340787,0.0409482,0.762782,0.100735,-0.359357
01324189,1555575653528,9.70157,0.774751,-1.2257,-0.0270222,0.013385,0.0117604,-0.727385,-0.169592,0.450047
01324188,1555575653528,-9.69418,0.0886113,-1.60359,0.011259,0.000426655,0.0138445,0.732932,0.00985121,0.507339
01324185,1555575653528,-9.58806,-2.03843,0.413196,0.0637178,-0.0277803,0.0352678,0.725004,0.278529,-0.387464
01324181,1555575653528,9.67954,-0.258139,-1.39392,-0.0082419,0.0912303,-0.00388528,-0.789459,-0.314809,0.0155454
01324180,1555575653528,-8.44292,-4.75222,1.4394,0.0198935,0.0255051,0.033959,0.76279,0.0994386,-0.357786
01324189,1555575653545,9.67525,0.740783,-1.21809,-0.0270167,0.00993861,0.010884,-0.729261,-0.16813,0.448892
01324188,1555575653545,-9.66987,0.12479,-1.61855,0.0217928,0.00892652,0.0343683,0.733454,0.0118624,0.507059
01324185,1555575653545,-9.60734,-2.0359,0.418848,0.0757712,-0.0182703,0.0292446,0.726071,0.281006,-0.389565
01324181,1555575653545,9.69897,-0.277314,-1.39826,-0.0162677,0.0877418,-0.000444874,-0.79214,-0.312539,0.0138137
01324180,1555575653545,-8.44788,-4.74259,1.43699,0.0309492,0.0447394,0.0385629,0.762911,0.099713,-0.356185
01324189,1555575653562,9.70413,0.752958,-1.22579,-0.0320539,0.0134542,0.0241815,-0.731402,-0.169068,0.448776
01324188,1555575653562,-9.68913,0.148837,-1.59937,0.0113431,-0.00567239,0.0305925,0.733983,0.0126173,0.50604
01324185,1555575653562,-9.62903,-2.02614,0.414823,0.0701566,-0.0253409,0.0216467,0.726071,0.279456,-0.390198
01324181,1555575653562,9.69884,-0.277303,-1.41275,-0.00476853,0.0915169,0.0116178,-0.792679,-0.311695,0.0131431
01324180,1555575653562,-8.49124,-4.75268,1.42926,0.0311002,0.0432394,0.0262526,0.762763,0.100276,-0.354308
01324189,1555575653578,9.70857,0.777068,-1.24284,-0.0305231,0.0220487,0.0117309,-0.727774,-0.168881,0.448209
01324188,1555575653578,-9.68927,0.110293,-1.60383,0.0182107,0.00753244,0.011315,0.733598,0.0101751,0.506292
01324185,1555575653578,-9.64093,-1.98031,0.429418,0.0650154,-0.0164511,0.0249989,0.726212,0.277109,-0.38862
01324181,1555575653578,9.70404,-0.2797,-1.37403,-0.00383664,0.0727402,0.000246627,-0.790513,-0.313723,0.0126358
01324180,1555575653578,-8.50099,-4.75792,1.45813,0.0423536,0.0340127,0.050876,0.764772,0.0963591,-0.350554
01324189,1555575653595,9.7012,0.772115,-1.25248,-0.0374814,0.0238477,0.0117056,-0.728855,-0.169416,0.449273
01324188,1555575653595,-9.69889,0.120123,-1.6255,0.0199814,0.0105479,0.0202091,0.732789,0.0116057,0.506654
01324185,1555575653595,-9.62401,-1.9804,0.445679,0.0614243,-0.00762543,0.0232416,0.725404,0.274848,-0.389892
01324181,1555575653595,9.69982,-0.304033,-1.34461,-0.00563044,0.0772113,0.00288124,-0.790622,-0.313915,0.0102697
01324180,1555575653595,-8.50585,-4.75803,1.46292,0.0389236,0.0449393,0.0298325,0.76318,0.0966687,-0.349859
01324189,1555575653612,9.70476,0.71441,-1.19912,-0.0347631,0.0203812,0.0170526,-0.727241,-0.169035,0.44873
01324188,1555575653612,-9.6891,0.153992,-1.64754,0.0199908,0.00185634,0.0201145,0.733319,0.0121627,0.506815
01324185,1555575653612,-9.58779,-1.9806,0.470818,0.0768812,-0.00785748,0.0147133,0.725803,0.276218,-0.391332
01324181,1555575653612,9.71929,-0.315941,-1.3346,-0.00740721,0.0860667,0.0038223,-0.789847,-0.313315,0.0122252
01324180,1555575653612,-8.49172,-4.73634,1.48251,0.0479322,0.0274363,0.029769,0.764507,0.0966535,-0.35121
01324189,1555575653628,9.7045,0.733713,-1.20881,-0.0269706,0.00820991,0.0135473,-0.730194,-0.167826,0.447981
01324188,1555575653628,-9.66017,0.134399,-1.61871,0.0164343,-0.00234732,0.000577792,0.731468,0.00966883,0.505625
01324185,1555575653628,-9.59248,-1.95647,0.502312,0.0644145,0.00103276,0.0112687,0.724727,0.278188,-0.390699
01324181,1555575653628,9.69997,-0.316162,-1.34438,0.0023905,0.0771735,0.000270981,-0.792482,-0.313634,0.00896582
01324180,1555575653628,-8.50628,-4.72917,1.47274,0.0427433,0.0275463,0.023588,0.763716,0.0975391,-0.353577
01324189,1555575653645,9.71892,0.733715,-1.21633,-0.011227,-0.00230819,0.0189475,-0.729667,-0.167835,0.44903
01324188,1555575653645,-9.69417,0.0909557,-1.59399,0.0217082,0.000683252,0.00949337,0.733061,0.0107863,0.505674
01324185,1555575653645,-9.63105,-1.9466,0.496583,0.0714862,0.00625383,0.0120863,0.727412,0.276755,-0.392509
01324181,1555575653645,9.69268,-0.277467,-1.3017,0.00686359,0.0894881,-0.00394832,-0.792478,-0.313367,0.00816987
01324180,1555575653645,-8.53121,-4.66153,1.43903,0.0532592,0.0348416,0.0122991,0.764523,0.0965275,-0.354141
