ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555577043372,9.69982,0.730926,-1.22576,-0.0200345,-4.66312e-05,-0.00346277,-0.718614,-0.00250116,-0.192858
01324188,1555577043372,-9.75675,-0.0809129,-1.13322,0.0128441,0.00562411,0.00521909,0.620559,-0.101853,-0.189697
01324185,1555577043372,-9.48777,-2.23874,1.17962,0.029034,0.0213182,-0.042752,0.827527,0.1702,0.105843
01324181,1555577043372,9.4496,-0.801997,2.4372,-0.0275839,-0.0166466,0.0222111,-0.751727,0.283527,-0.141718
01324180,1555577043372,8.89306,3.54286,2.33921,-0.0443071,0.030048,-0.0243117,-0.657502,-0.469193,0.0083152
01324189,1555577043376,9.72533,0.658806,-1.1679,-0.00959669,0.0102049,-0.00345009,-0.723538,0.00596165,-0.195947
01324188,1555577043376,-9.75163,0.0030621,-1.07627,0.011134,-0.00141978,0.00689741,0.619722,-0.0967038,-0.197137
01324185,1555577043376,-9.48769,-2.24592,1.23307,0.0150766,0.0126626,-0.0401299,0.826977,0.17454,0.104234
01324181,1555577043376,9.48159,-0.838035,2.46707,-0.0202452,-0.0102682,-0.0156846,-0.759629,0.292308,-0.145013
01324180,1555577043376,8.95158,3.48988,2.39266,-0.0427939,0.0394564,-0.0137127,-0.665041,-0.464559,0.00609063
01324189,1555577043392,9.72196,0.615835,-1.08519,-0.0200213,0.0206831,-0.0035022,-0.723528,0.0043781,-0.19596
01324188,1555577043392,-9.74666,0.0414907,-1.05741,0.0128409,0.00417177,-0.000110561,0.61877,-0.0957007,-0.196527
01324185,1555577043392,-9.53103,-2.25763,1.28842,0.00347876,0.0199678,-0.0239958,0.827244,0.173654,0.102151
01324181,1555577043392,9.47934,-0.842922,2.47681,-0.0167907,-0.018803,0.000608036,-0.758525,0.2914,-0.14647
01324180,1555577043392,8.90623,3.49072,2.26171,-0.00926868,0.0302974,-0.0293789,-0.663958,-0.464857,0.00431539
01324189,1555577043408,9.71674,0.708001,-1.07029,-0.00586278,0.00157244,0.012573,-0.718358,0.000226857,-0.192839
01324188,1555577043408,-9.76595,0.0537169,-1.0718,0.00835452,0.0310763,-0.0157796,0.620672,-0.0981081,-0.192279
01324185,1555577043408,-9.52146,-2.31544,1.33471,-3.31173e-05,0.0109827,-0.0443465,0.826037,0.170777,0.106496
01324181,1555577043408,9.49835,-0.832985,2.46708,-0.0239,-0.0188324,-0.000237526,-0.752295,0.286105,-0.142165
01324180,1555577043408,8.86931,3.56347,2.18924,-0.0373736,0.0282662,-0.0189949,-0.658052,-0.467586,0.0074113
01324189,1555577043424,9.7199,0.741126,-1.17249,-0.00345613,-0.00193757,0.000146887,-0.718488,0.000800793,-0.193904
01324188,1555577043424,-9.78577,-0.0789469,-1.0536,-0.00114781,0.00799823,-0.0072466,0.618114,-0.0991849,-0.193118
01324185,1555577043424,-9.49733,-2.3252,1.35319,0.0138302,0.0127638,-0.0290703,0.826582,0.171791,0.107923
01324181,1555577043424,9.51967,-0.823012,2.44771,-0.0274928,-0.0169458,0.00667883,-0.753112,0.286412,-0.141763
01324180,1555577043424,8.90053,3.39471,2.20312,-0.0302318,0.011444,-0.0103248,-0.658321,-0.467876,0.00835357
01324189,1555577043440,9.72459,0.765375,-1.1725,-0.0199513,-0.00176507,0.00186698,-0.717822,0.00308681,-0.193759
01324188,1555577043440,-9.76152,-0.0618391,-1.09967,0.00237315,0.0125565,0.00522176,0.621211,-0.0979724,-0.192277
01324185,1555577043440,-9.49488,-2.28432,1.31141,0.0317016,0.0126673,-0.0222869,0.829155,0.172761,0.10712
01324181,1555577043440,9.49302,-0.799073,2.45674,-0.023824,0.000434079,-0.0104166,-0.753928,0.286997,-0.141767
01324180,1555577043440,8.90431,3.45701,2.25184,-0.0282492,0.00555064,-0.022647,-0.658049,-0.46817,0.00820883
01324189,1555577043457,9.70512,0.753083,-1.18441,-0.0130039,0.0119787,0.00364525,-0.723525,0.00437673,-0.196227
01324188,1555577043457,-9.76405,-0.0931762,-1.09937,0.000607622,0.00602096,-0.00282675,0.619323,-0.0978979,-0.196268
01324185,1555577043457,-9.50685,-2.23612,1.28717,0.0497959,0.0214235,-0.0104548,0.827384,0.178093,0.105767
01324181,1555577043457,9.50772,-0.842547,2.42869,-0.0131943,-0.0135816,-0.00367556,-0.757465,0.290175,-0.142862
01324180,1555577043457,8.88,3.47634,2.22271,-0.0167733,0.002204,-0.0278625,-0.661907,-0.468219,0.00367852
01324189,1555577043473,9.7151,0.711953,-1.18222,-0.00956524,0.0222963,0.00185926,-0.722979,0.00235239,-0.195179
01324188,1555577043473,-9.7661,0.00817056,-1.10989,0.0180246,0.0147997,-0.00349968,0.619454,-0.0974343,-0.193829
01324185,1555577043473,-9.50444,-2.22892,1.27728,0.0219471,0.0111919,-0.00355548,0.825349,0.17893,0.105243
01324181,1555577043473,9.49836,-0.837833,2.46235,-0.00435942,-0.00629743,0.00670463,-0.757445,0.289017,-0.14337
01324180,1555577043473,8.86863,3.41817,2.23194,0.00697216,0.00070485,-0.0365261,-0.66044,-0.468104,0.00433371
01324189,1555577043489,9.70096,0.751009,-1.1381,0.000837485,0.0118348,-0.0016373,-0.718895,-0.000337319,-0.193373
01324188,1555577043489,-9.74199,-0.0064844,-1.09551,-0.00115549,0.0130119,-0.0036466,0.61865,-0.0986404,-0.192555
01324185,1555577043489,-9.49243,-2.22421,1.24518,0.0232575,0.0128453,-0.0137755,0.825763,0.173734,0.106338
01324181,1555577043489,9.49356,-0.852431,2.44328,-0.0167773,0.000680396,0.00249789,-0.753548,0.288439,-0.141136
01324180,1555577043489,8.88074,3.40841,2.25618,-0.0045642,0.00033757,-0.0207822,-0.657644,-0.467291,0.00538805
01324189,1555577043505,9.71516,0.736299,-1.16756,-0.00611215,-0.00191318,-0.00341482,-0.719164,-0.000761991,-0.193373
01324188,1555577043505,-9.76637,-0.0643495,-1.08276,0.0110485,0.0131844,-0.00621835,0.619452,-0.0971638,-0.193411
01324185,1555577043505,-9.48524,-2.22427,1.22303,-0.0119953,0.00964862,-0.0154185,0.826303,0.175989,0.106314
01324181,1555577043505,9.4599,-0.84798,2.44781,-0.0238505,0.000533644,-0.00523009,-0.753266,0.287432,-0.141118
01324180,1555577043505,8.89534,3.4038,2.25146,0.0312882,-0.0067943,-0.00830181,-0.658191,-0.467002,0.00702039
01324189,1555577043521,9.73689,0.797136,-1.14584,-0.00082015,0.00408139,0.00369471,-0.719162,-0.000332865,-0.193905
01324188,1555577043521,-9.77602,-0.059442,-1.08995,0.0128207,0.00349347,-0.00365901,0.619869,-0.0990194,-0.194201
01324185,1555577043521,-9.47801,-2.24356,1.24719,-0.0103024,0.0219433,-0.0172014,0.827121,0.175171,0.107757
01324181,1555577043521,9.46469,-0.843075,2.45257,-0.0114361,-0.00819879,-0.000175664,-0.75274,0.288152,-0.140606
01324180,1555577043521,8.89523,3.40354,2.27563,0.0556353,0.00737692,-0.0115652,-0.65739,-0.467606,0.00888484
