ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555575387425,9.60487,1.35947,-1.49148,0.0179625,0.00448553,-0.0141157,-0.979866,-0.0633783,-0.0749931
01324188,1555575387425,-9.64556,-0.0130481,-1.91165,-0.00091706,-0.00157463,0.0142169,1.06122,0.0136076,-0.0012949
01324185,1555575387425,-9.66525,-1.41701,1.41139,0.00425653,0.00832468,-0.0129976,0.917859,0.0577603,0.0610693
01324181,1555575387425,9.77655,0.195627,0.59207,3.69383e-05,-0.00348136,-0.00256347,-0.861702,0.172729,0.0258172
01324180,1555575387425,-8.54075,-4.85582,-0.422573,0.0282435,0.00352992,-0.0349198,0.708907,0.532591,0.236667
01324189,1555575387429,9.61235,1.42526,-1.44763,0.0057003,0.0201483,-0.0177414,-0.988959,-0.0558181,-0.0781135
01324188,1555575387429,-9.65055,-0.0564282,-1.91121,0.000809735,0.000353321,0.0107104,1.06331,0.0183088,-0.00498465
01324185,1555575387429,-9.67463,-1.35912,1.46457,0.0173825,0.0238347,-0.0343721,0.919712,0.0696592,0.057597
01324181,1555575387429,9.75322,0.156518,0.614403,-0.00447775,0.00204869,0.00957655,-0.872133,0.18236,0.0202197
01324180,1555575387429,-8.51599,-4.90893,-0.393625,0.0575188,0.0269996,-0.0205226,0.706162,0.543327,0.234533
01324189,1555575387445,9.57966,1.55086,-1.47604,0.0123149,0.0235067,-0.0381556,-0.988673,-0.0563977,-0.0796962
01324188,1555575387445,-9.66535,-0.142937,-1.944,-0.00265601,0.00509197,0.0195901,1.06252,0.0183218,-0.00497409
01324185,1555575387445,-9.64059,-1.30631,1.52565,0.0179557,0.0010631,-0.0206284,0.920246,0.0703545,0.0575886
01324181,1555575387445,9.758,0.15173,0.604866,0.00176839,-0.012192,0.00426088,-0.870301,0.182674,0.0228166
01324180,1555575387445,-8.50216,-4.85808,-0.393211,0.0922209,0.0328362,0.000846642,0.706685,0.543891,0.233742
01324189,1555575387462,9.60187,1.6071,-1.4227,0.0035341,0.0115043,-0.0461629,-0.980947,-0.0595441,-0.0760011
01324188,1555575387462,-9.67027,-0.167163,-1.92449,-0.00427425,-0.0133157,0.0388474,1.06148,0.0133005,-0.000921796
01324185,1555575387462,-9.67176,-1.26275,1.5605,-0.00456359,-0.00236892,-0.032482,0.919322,0.0632995,0.0597221
01324181,1555575387462,9.77218,0.161612,0.592694,0.00353479,-0.0174678,0.00592843,-0.863608,0.176702,0.0253617
01324180,1555575387462,-8.51158,-4.8253,-0.538111,0.100654,0.0539858,-0.000699784,0.707795,0.538456,0.234944
01324189,1555575387478,9.63144,1.57104,-1.40376,0.0033486,0.00975551,-0.0603803,-0.981336,-0.0617912,-0.0757517
01324188,1555575387478,-9.67736,-0.119084,-1.90081,-0.00243027,-0.0144266,0.0600857,1.06201,0.013637,-0.00222494
01324185,1555575387478,-9.71754,-1.28168,1.60875,0.00159909,-0.0200577,-0.0323653,0.920126,0.062611,0.0601128
01324181,1555575387478,9.77906,0.171415,0.570817,0.00977523,-0.0166105,0.00418891,-0.862808,0.176412,0.0254905
01324180,1555575387478,-8.52917,-4.92596,-0.625828,0.128517,0.0646947,-0.0039859,0.708081,0.537469,0.232535
01324189,1555575387495,9.66337,1.47661,-1.41421,0.00678165,0.0217915,-0.0630617,-0.980934,-0.0637728,-0.0747216
01324188,1555575387495,-9.68445,-0.0688107,-1.84587,0.00803636,-0.00744572,0.0602305,1.06255,0.0130106,-0.00121603
01324185,1555575387495,-9.74608,-1.18274,1.66961,-0.0138574,-0.0515317,-0.0227875,0.91932,0.0627236,0.058696
