ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555575738447,0.341428,9.86345,1.24962,-0.238991,0.0358592,-0.000506358,0.380858,-0.731876,-0.201281
01324188,1555575738447,3.04344,-9.31461,-1.89898,0.191904,0.0726471,0.0430039,-0.580685,0.579801,0.0435927
01324185,1555575738447,2.1498,3.29903,8.73052,-0.0657145,-0.281304,0.24725,-0.331605,-0.57845,-0.605909
01324181,1555575738447,4.07602,0.113101,8.30067,-0.130872,-0.0167569,0.0646559,-0.0238685,0.0577197,-0.868975
01324180,1555575738447,-9.35287,-3.08263,-1.00913,-0.15001,-0.0401332,0.0560178,0.810286,0.0102032,0.396714
01324189,1555575738451,0.349677,9.88591,1.32743,-0.256246,0.0403751,0.00831113,0.378197,-0.725302,-0.208337
01324188,1555575738451,3.09711,-9.17095,-1.78279,0.21462,0.0691671,0.0440079,-0.590109,0.592697,0.0352234
01324185,1555575738451,2.07221,2.89059,9.12138,-0.0852248,-0.284992,0.220104,-0.340503,-0.576179,-0.611741
01324181,1555575738451,4.06466,-0.321496,8.55524,-0.0916728,-0.00452862,0.0526284,-0.0285403,0.0641181,-0.878294
01324180,1555575738451,-9.19674,-3.3165,-0.629485,-0.118558,-0.0422461,0.0719333,0.808406,0.0136885,0.39401
01324189,1555575738467,0.320693,9.75831,1.44439,-0.266432,0.0482928,0.0224862,0.378487,-0.724612,-0.210979
01324188,1555575738467,3.02684,-9.22328,-1.84915,0.233833,0.0712741,0.0547749,-0.589435,0.591962,0.0322533
01324185,1555575738467,1.93665,2.56421,9.34405,-0.114739,-0.316819,0.186357,-0.345616,-0.574337,-0.610703
01324181,1555575738467,4.24794,-0.253954,8.70967,-0.0561846,-0.0237938,0.0609153,-0.0302907,0.0641715,-0.876958
01324180,1555575738467,-9.25759,-3.40713,-0.802155,-0.0859789,0.00444533,0.0689414,0.807896,0.0113973,0.395572
01324189,1555575738484,0.327064,9.70569,1.52691,-0.277793,0.0501382,0.0162262,0.379438,-0.725208,-0.211655
01324188,1555575738484,2.97112,-9.2569,-1.83878,0.230279,0.078889,0.0424362,-0.581633,0.583182,0.032942
01324185,1555575738484,1.9458,2.43409,9.28191,-0.073143,-0.331859,0.131129,-0.345466,-0.570832,-0.60308
01324181,1555575738484,4.36325,-0.238046,8.72459,-0.0189483,-0.0322398,0.0805167,-0.0265834,0.0618545,-0.870088
01324180,1555575738484,-9.19155,-3.31068,-0.718817,-0.0500743,0.054185,0.0853504,0.808876,0.006798,0.3956
01324189,1555575738500,0.419145,9.70611,1.53039,-0.269969,0.0224086,0.0118442,0.378641,-0.724625,-0.212964
01324188,1555575738500,2.86251,-9.19056,-1.61234,0.253948,0.0714775,0.0531154,-0.580966,0.583388,0.0313556
01324185,1555575738500,2.11502,2.7049,9.08264,-0.0469004,-0.339105,0.130255,-0.350577,-0.568549,-0.600879
01324181,1555575738500,4.45596,0.0299156,8.71764,0.00417475,0.0298342,0.0886829,-0.0257631,0.0602832,-0.869932
01324180,1555575738500,-9.19502,-3.02015,-0.806669,-0.0155275,0.0570865,0.124344,0.807297,0.00494856,0.398253
01324189,1555575738517,0.459223,9.67297,1.60759,-0.290868,0.039887,0.00995851,0.379082,-0.724231,-0.217196
01324188,1555575738517,2.90828,-9.23422,-1.59786,0.258322,0.0679943,0.0531152,-0.580166,0.584156,0.0268856
01324185,1555575738517,2.49696,3.01791,9.07277,-0.015176,-0.330492,0.134326,-0.354075,-0.567418,-0.600359
01324181,1555575738517,4.42172,-0.0338618,9.07845,-0.00111501,0.0720987,0.0770206,-0.0249742,0.0611303,-0.869694
01324180,1555575738517,-9.4479,-3.20422,-1.03006,-0.0433734,0.0557057,0.104829,0.807325,0.00294844,0.397413
01324189,1555575738533,0.383445,9.65901,1.72066,-0.271691,0.0276377,0.010062,0.377103,-0.72023,-0.223619
01324188,1555575738533,2.97088,-9.30213,-1.57367,0.261765,0.0830764,0.0471202,-0.586084,0.591407,0.0213071
01324185,1555575738533,2.83778,3.38641,8.91853,0.010969,-0.312866,0.151962,-0.361758,-0.564969,-0.604249
01324181,1555575738533,4.40089,-0.191904,9.20692,0.0513528,0.0739496,0.0768951,-0.0276126,0.0635715,-0.876709
01324180,1555575738533,-9.35045,-2.89907,-1.01777,-0.0376535,0.0466923,0.0749642,0.807575,0.00481394,0.39598
01324189,1555575738549,0.337432,9.72689,1.75072,-0.260488,0.020621,0.00301341,0.377398,-0.719684,-0.226659
01324188,1555575738549,2.98075,-9.23998,-1.50212,0.261872,0.0786229,0.0656562,-0.585557,0.592953,0.0187444
01324185,1555575738549,2.7729,3.64179,8.66878,-0.00550969,-0.259553,0.178864,-0.365659,-0.564103,-0.602947
01324181,1555575738549,4.37225,0.10623,9.1165,0.0681145,0.067314,0.0991641,-0.0265506,0.0638493,-0.87633
01324180,1555575738549,-9.37454,-2.82454,-1.24717,-0.0786599,-0.00626891,0.0462253,0.809153,0.00433884,0.399014
01324189,1555575738565,0.401808,9.70716,1.67182,-0.268319,0.0301732,0.00473301,0.378643,-0.72271,-0.228415
01324188,1555575738565,2.82588,-9.28315,-1.4524,0.277576,0.0915562,0.0694231,-0.581267,0.590745,0.0152412
01324185,1555575738565,2.70291,3.60854,8.69152,-0.0489815,-0.25139,0.250314,-0.369952,-0.566115,-0.598371
01324181,1555575738565,4.28098,0.343052,8.93027,0.0464808,0.0824456,0.153657,-0.0239731,0.0597252,-0.87482
01324180,1555575738565,-9.32405,-2.28896,-1.16399,-0.123306,-0.0624946,0.0447906,0.809059,0.00119155,0.39882
01324189,1555575738581,0.427443,9.67158,1.75409,-0.278718,0.0397836,0.00645383,0.377848,-0.720144,-0.231294
01324188,1555575738581,2.8306,-9.31223,-1.43292,0.27584,0.082179,0.0657695,-0.580455,0.589416,0.0126306
01324185,1555575738581,2.81787,3.29007,8.74083,-0.0766205,-0.229498,0.299511,-0.373316,-0.5616,-0.596586
01324181,1555575738581,4.10027,0.21231,8.96301,0.037534,0.0897169,0.163291,-0.0223895,0.0594736,-0.872325
01324180,1555575738581,-9.25119,-2.744,-0.962779,-0.124638,-0.0906663,0.0453352,0.808827,-0.000797755,0.396917
01324189,1555575738597,0.409797,9.5498,1.98772,-0.24381,0.0584571,0.0136518,0.378134,-0.719026,-0.233668
01324188,1555575738597,2.87186,-9.25994,-1.34709,0.291637,0.0753756,0.0799667,-0.578854,0.590116,0.0093397
01324185,1555575738597,2.6034,3.2386,8.9131,-0.0796632,-0.236468,0.309812,-0.378698,-0.558769,-0.595038
