ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555574399997,-9.68347,-1.62531,0.120501,-0.00243385,0.000743623,-0.0105604,0.776317,0.091947,0.303527
01324188,1555574399997,-1.44832,-0.588164,9.68272,0.00303117,0.0188131,-0.00346304,-0.194464,-0.0470529,-0.755281
01324185,1555574399997,-0.0243363,0.0353161,9.77663,0.000618664,-0.0125598,-0.00109017,0.261373,-0.00945113,-0.739812
01324181,1555574399997,-0.212512,-0.129228,-9.86933,0.0124879,-0.000127752,0.000430994,-0.280684,-0.0207864,0.636566
01324180,1555574399997,-9.82236,0.0653884,0.0864919,0.00131485,0.0124493,0.00644635,0.749738,0.0892466,0.235739
01324189,1555574400001,-9.67281,-1.62473,0.188474,0.00634064,0.0153427,-0.00345176,0.777077,0.102054,0.300367
01324188,1555574400001,-1.44105,-0.581141,9.70907,0.00480726,0.0100334,-0.00177672,-0.199984,-0.0413194,-0.761747
01324185,1555574400001,-0.00492528,0.0424649,9.82909,0.00795233,0.00857231,0.00556528,0.260557,-0.00254028,-0.749601
01324181,1555574400001,-0.210002,-0.126785,-9.85488,9.2975e-05,0.0120794,-0.00804347,-0.287644,-0.0141962,0.636504
01324180,1555574400001,-9.82029,0.0845145,0.105946,-0.00216136,0.0124671,0.00467043,0.747631,0.0936328,0.23377
01324189,1555574400017,-9.67305,-1.62,0.173889,-0.00411533,0.0137205,-0.0052609,0.778931,0.100614,0.299561
01324188,1555574400017,-1.44585,-0.571497,9.71142,0.00483199,0.00125313,-0.000103923,-0.200506,-0.0412345,-0.763423
01324185,1555574400017,-0.00978806,0.028053,9.82944,-0.00465307,0.00157817,-0.00117827,0.261864,-0.00310968,-0.750863
01324181,1555574400017,-0.217104,-0.124455,-9.84048,0.0089104,0.0123336,0.00486102,-0.289329,-0.0153897,0.637826
01324180,1555574400017,-9.82512,0.0844837,0.103483,0.00481623,0.00884628,0.0117234,0.748666,0.093901,0.23272
01324189,1555574400033,-9.68251,-1.6102,0.193521,0.00120701,0.0119539,0.0018698,0.776948,0.0962382,0.303682
01324188,1555574400033,-1.45551,-0.571329,9.69225,0.0118224,0.0078486,0.00709538,-0.195378,-0.0467507,-0.758496
01324185,1555574400033,-0.0145833,0.0425187,9.82222,0.0109117,0.00136992,-0.00714647,0.262279,-0.00761268,-0.743622
01324181,1555574400033,-0.202504,-0.131567,-9.8306,7.78791e-05,0.0103436,-0.00633562,-0.283315,-0.0190594,0.638095
01324180,1555574400033,-9.82231,0.0580485,0.0961166,-0.0171117,0.0158865,0.00635206,0.751036,0.0883804,0.236485
01324189,1555574400049,-9.68753,-1.61518,0.178986,-0.00737917,0.0094629,0.00895408,0.775917,0.0957003,0.301881
01324188,1555574400049,-1.46034,-0.569084,9.71873,0.0117275,0.0209497,-0.0104633,-0.193024,-0.0470871,-0.758155
01324185,1555574400049,-0.0145897,0.0353042,9.82958,0.00626855,-0.00548888,0.00736039,0.260843,-0.009084,-0.742087
01324181,1555574400049,-0.207492,-0.131611,-9.84994,0.00179966,-0.00187749,0.00217306,-0.282791,-0.0186738,0.637057
01324180,1555574400049,-9.81525,0.07012,0.1035,-0.0110707,0.0220406,0.00643476,0.750525,0.088538,0.234933
01324189,1555574400064,-9.68725,-1.61502,0.198448,-0.00412952,0.00509222,-0.00790718,0.775385,0.0954397,0.30266
01324188,1555574400064,-1.43623,-0.585997,9.71148,0.00827452,0.0137015,-0.00525203,-0.194873,-0.0439994,-0.757298
01324185,1555574400064,-0.0097558,0.0328758,9.8391,0.00413954,-0.000269149,-0.00117629,0.262153,-0.00853438,-0.741844
01324181,1555574400064,-0.212076,-0.13653,-9.83298,-0.00529839,0.0104658,0.000580887,-0.282119,-0.020214,0.636569
01324180,1555574400064,-9.82,0.0603111,0.113064,-0.00739162,0.0070804,0.00986844,0.748986,0.0877261,0.234679
01324189,1555574400080,-9.67301,-1.61998,0.176322,0.00464122,0.0188163,8.96707e-05,0.775661,0.0981966,0.299578
01324188,1555574400080,-1.45072,-0.581223,9.72599,0.0100641,0.0081241,0.00177671,-0.197492,-0.0426109,-0.762114
01324185,1555574400080,-0.0241717,0.0474129,9.84441,-0.00678921,0.00151085,-0.00967728,0.260959,-0.00507747,-0.746673
01324181,1555574400080,-0.228934,-0.13188,-9.83076,-0.00889036,0.00702256,0.00573769,-0.285161,-0.0153411,0.636246
01324180,1555574400080,-9.82245,0.0651848,0.105819,-0.00897003,0.000207191,0.00277891,0.747122,0.0929425,0.233634
01324189,1555574400096,-9.67306,-1.62973,0.168999,-0.00942655,0.0120387,-0.0123831,0.77735,0.0998255,0.300605
01324188,1555574400096,-1.4604,-0.585976,9.72129,0.00832758,0.0114121,0.00533983,-0.197757,-0.0420276,-0.762465
01324185,1555574400096,-0.0146241,0.0280766,9.82237,0.00201181,0.00847583,-0.00973324,0.262529,-0.00509683,-0.747688
01324181,1555574400096,-0.221833,-0.126941,-9.83564,0.00714553,0.0122845,0.00228203,-0.285162,-0.0160103,0.637284
01324180,1555574400096,-9.82492,0.0700075,0.103405,-0.00641524,0.00908752,-0.00241583,0.747638,0.0930744,0.233499
01324189,1555574400111,-9.68289,-1.60555,0.169205,-0.00247146,0.00851622,-0.0123516,0.77733,0.0996974,0.3028
01324188,1555574400111,-1.45552,-0.571496,9.71631,0.0240464,0.00440039,0.00714078,-0.196685,-0.0466885,-0.759385
01324185,1555574400111,-0.0217862,0.044982,9.83463,-0.00271183,0.0121698,0.0030063,0.26267,-0.00694273,-0.744261
01324181,1555574400111,-0.231412,-0.136748,-9.84517,-0.00798826,0.00699057,0.00401171,-0.283442,-0.018123,0.636541
01324180,1555574400111,-9.82014,0.0699365,0.115532,-0.0107995,0.00724439,0.001059,0.750333,0.0934318,0.236332
01324189,1555574400127,-9.68262,-1.61512,0.183778,-0.000575065,0.00851355,-0.00168361,0.777593,0.0996907,0.302797
01324188,1555574400127,-1.46034,-0.569068,9.71633,0.00835862,0.00422805,0.0096859,-0.196691,-0.0458699,-0.758816
01324185,1555574400127,-0.024229,0.0353668,9.83241,0.00245445,-0.00199852,0.000540738,0.262404,-0.00642294,-0.745654
01324181,1555574400127,-0.209741,-0.136496,-9.84021,-0.0034775,-0.000306084,-0.00813817,-0.283818,-0.020299,0.637997
01324180,1555574400127,-9.81542,0.079669,0.113215,-0.0022581,0.0140756,0.0117119,0.75048,0.0923157,0.235267
01324189,1555574400143,-9.68257,-1.61266,0.18865,-0.00748518,0.0120435,0.00184048,0.775241,0.0990512,0.301785
01324188,1555574400143,-1.44823,-0.561812,9.70654,0.0135323,0.0117,6.96582e-05,-0.195121,-0.0460474,-0.758587
01324185,1555574400143,-0.0242663,0.0353492,9.81301,0.0112112,-0.00208871,-0.000318694,0.262144,-0.00667916,-0.744767
01324181,1555574400143,-0.219398,-0.136606,-9.84509,-0.00170338,0.00503598,-0.00637132,-0.282129,-0.0200566,0.637463
01324180,1555574400143,-9.82258,0.0748356,0.10587,-0.0125001,-0.00166311,0.00802076,0.749448,0.0923348,0.235021
01324189,1555574400159,-9.67297,-1.63211,0.173859,-0.0014983,-0.000119396,-0.00700308,0.775643,0.0998684,0.300495
01324188,1555574400159,-1.46035,-0.571445,9.71154,0.00742188,0.0151662,6.43299e-05,-0.196447,-0.0427395,-0.759669
01324185,1555574400159,-0.0290667,0.0281782,9.83512,0.00678178,0.0102726,-0.00124236,0.260572,-0.00558294,-0.744519
01324181,1555574400159,-0.202471,-0.141262,-9.84007,-1.00466e-06,0.00882927,0.00744318,-0.283954,-0.0186715,0.636429
01324180,1555574400159,-9.82018,0.0748128,0.110726,-0.0036854,-0.00331628,0.0045478,0.74711,0.0937786,0.234301
01324189,1555574400176,-9.67798,-1.60549,0.173998,0.00100433,0.00934276,-0.0123424,0.775756,0.100429,0.302048
01324188,1555574400176,-1.44101,-0.571515,9.71139,0.00832003,0.00976137,0.00355419,-0.198018,-0.0424217,-0.75989
01324185,1555574400176,-0.0121923,0.0304751,9.82952,-0.00267189,0.00160973,0.00392254,0.261092,-0.00561126,-0.746037
01324181,1555574400176,-0.207215,-0.146169,-9.84,0.000935305,0.00513357,-0.00120924,-0.284357,-0.0179614,0.637059
01324180,1555574400176,-9.81524,0.0701455,0.101084,-0.00381934,0.00453828,0.00635801,0.747651,0.0919546,0.233477
01324189,1555574400193,-9.67781,-1.61025,0.183717,-0.000630275,0.0154143,-0.00436299,0.777478,0.0970534,0.302649
