ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555576539762,9.70872,-0.122475,-1.51693,0.0201808,0.00348057,-0.0182262,-0.772763,0.386468,0.261189
01324188,1555576539762,-9.79317,0.249059,-0.846733,-0.00793401,-0.0124486,-0.0240612,0.781078,-0.303072,0.385294
01324185,1555576539762,-4.29109,-8.64367,1.46881,-0.172768,0.161403,0.452719,0.0532204,0.782816,-0.291924
01324181,1555576539762,9.54468,-0.497039,-1.57917,-0.0487391,0.0198755,0.0028687,-0.733817,-0.0807517,0.459237
01324180,1555576539762,2.3091,5.91371,7.77028,0.243218,-0.384355,0.130204,0.115039,-0.324804,-0.767064
01324189,1555576539765,9.67002,-0.0520976,-1.4821,0.0287317,0.0102994,-0.0261992,-0.781386,0.395336,0.258407
01324188,1555576539765,-9.75928,0.261093,-0.861546,-0.00530462,0.000934515,-0.014156,0.779131,-0.294752,0.382342
01324185,1555576539765,-4.41077,-8.49582,1.72961,-0.235014,0.14988,0.478398,0.0593109,0.795736,-0.295737
01324181,1555576539765,9.66935,-0.47615,-1.58602,-0.0451373,0.0259375,-0.00315746,-0.739275,-0.0735972,0.45393
01324180,1555576539765,2.36459,5.77029,7.69753,0.327535,-0.378016,0.092052,0.105661,-0.322578,-0.772282
01324189,1555576539781,9.69406,0.0646147,-1.44324,0.0201638,0.019035,-0.0146999,-0.781642,0.395046,0.256798
01324188,1555576539781,-9.76426,0.220069,-0.853915,-0.0314778,0.0145935,-0.0106445,0.77859,-0.295046,0.3826
01324185,1555576539781,-4.3921,-8.66454,1.65291,-0.316161,0.171738,0.471543,0.0652958,0.795229,-0.292609
01324181,1555576539781,9.75173,-0.460692,-1.49643,-0.0362183,0.0293705,-0.00921084,-0.739555,-0.0718967,0.45256
01324180,1555576539781,2.26652,6.04171,7.7174,0.42273,-0.399813,0.0609411,0.100497,-0.32844,-0.770299
01324189,1555576539798,9.70733,0.119897,-1.5066,0.0200793,0.0103848,-0.0200189,-0.773293,0.388343,0.258393
01324188,1555576539798,-9.8083,0.0776444,-0.806555,-0.0279359,0.00399744,-0.00719925,0.77673,-0.300843,0.382799
01324185,1555576539798,-4.41161,-8.66212,1.53725,-0.310461,0.2031,0.440724,0.0733425,0.786656,-0.282861
01324181,1555576539798,9.71738,-0.45619,-1.56436,-0.0628873,0.0470553,-0.00724139,-0.732588,-0.0795338,0.456524
01324180,1555576539798,2.39772,6.3495,7.74937,0.443796,-0.385259,0.038365,0.098157,-0.338454,-0.760745
01324189,1555576539814,9.69347,0.108053,-1.46504,0.0365098,0.0188472,-0.0253069,-0.772875,0.387753,0.257847
01324188,1555576539814,-9.78382,0.161951,-0.807511,-0.0191956,-0.00303254,-0.00544556,0.778079,-0.299995,0.382835
01324185,1555576539814,-4.63815,-8.57646,1.5121,-0.249883,0.228696,0.41843,0.0809583,0.787293,-0.278963
01324181,1555576539814,9.6884,-0.553463,-1.70758,-0.0557497,0.038208,-0.00732393,-0.732974,-0.0809727,0.456291
01324180,1555576539814,2.68901,6.44431,7.78174,0.436764,-0.334966,-0.0246676,0.0950108,-0.344781,-0.759476
01324189,1555576539831,9.68987,0.0284838,-1.41406,0.0376718,0.0102358,-0.00840403,-0.775774,0.390722,0.259513
01324188,1555576539831,-9.76897,0.253911,-0.863812,-0.0139996,0.0107851,-0.00348815,0.77917,-0.301224,0.38382
01324185,1555576539831,-4.90337,-8.57957,1.56958,-0.202012,0.196567,0.427146,0.0874869,0.789066,-0.274811
01324181,1555576539831,9.76531,-0.518624,-1.66187,-0.0486693,0.0347518,-0.00308973,-0.734046,-0.0818205,0.45632
01324180,1555576539831,2.80982,6.74789,7.9731,0.433717,-0.305468,-0.100039,0.0923928,-0.350246,-0.758737
01324189,1555576539847,9.69813,0.0825571,-1.32156,0.0186628,0.0139074,-0.000479485,-0.778491,0.393088,0.256746
