ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555575160831,5.5802,-7.86388,1.6718,-0.00324339,0.00179247,-0.000789877,-0.332944,0.847917,-0.742146
01324188,1555575160831,-9.6419,-0.371243,-1.82286,0.00902514,0.0204781,-0.00924294,0.409397,-0.0520535,-0.359666
01324185,1555575160831,-9.59111,-2.16479,-0.133598,0.0206441,-0.0105736,-0.000878275,0.489083,-0.00195007,0.23629
01324181,1555575160831,9.47498,-0.409637,2.5295,-0.00939398,-0.00573792,0.00190722,-0.836741,0.577265,-0.0466687
01324180,1555575160831,-2.63916,-9.09172,-2.47134,0.0120758,0.00664944,-0.00315422,0.123228,0.682911,0.447826
01324189,1555575160835,5.59801,-7.87791,1.72503,-0.000700947,0.0147113,-0.00436173,-0.338531,0.8616,-0.747049
01324188,1555575160835,-9.6419,-0.371343,-1.80843,0.0178065,0.00965059,-0.00133664,0.409358,-0.0450163,-0.364984
01324185,1555575160835,-9.59106,-2.17679,-0.0946614,0.00987469,0.00356607,-0.00605966,0.485892,0.0047738,0.234448
01324181,1555575160835,9.47493,-0.366017,2.58178,0.00307583,0.0101567,-0.000585011,-0.848268,0.586991,-0.0509038
01324180,1555575160835,-2.64426,-9.07247,-2.47129,-0.00466608,0.00276953,0.0125432,0.119738,0.692851,0.44597
01324189,1555575160851,5.60745,-7.89502,1.70051,0.000224035,0.0121117,-0.000801935,-0.336686,0.859883,-0.745263
01324188,1555575160851,-9.64197,-0.39063,-1.80825,0.0178402,0.00246505,0.00301049,0.406988,-0.0447313,-0.364155
01324185,1555575160851,-9.60547,-2.18388,-0.0527313,0.0194782,0.00521031,-0.00777859,0.48602,0.00515624,0.232783
01324181,1555575160851,9.48946,-0.394933,2.55587,-0.00575469,0.0135012,-0.0100094,-0.846687,0.58506,-0.0485437
01324180,1555575160851,-2.65858,-9.08715,-2.46909,-0.00459969,0.0046983,0.00376528,0.12001,0.691717,0.446206
01324189,1555575160867,5.60743,-7.88045,1.70542,-0.00155983,0.00867327,-0.0043554,-0.335367,0.851068,-0.739494
01324188,1555575160867,-9.63706,-0.37126,-1.8229,0.0108435,0.00601759,0.0012319,0.408191,-0.0485174,-0.359176
01324185,1555575160867,-9.5862,-2.18161,-0.0657092,0.0157489,0.00980726,0.00749998,0.487222,-0.000470974,0.234238
01324181,1555575160867,9.48001,-0.395059,2.57271,-0.00404074,-0.000484266,-0.0015144,-0.838725,0.578266,-0.0469285
01324180,1555575160867,-2.64152,-9.08703,-2.47837,-0.00647598,0.0118846,0.00218286,0.125191,0.684434,0.446782
01324189,1555575160882,5.57856,-7.86346,1.72536,-0.00332531,-0.00166155,-0.00789023,-0.334959,0.848263,-0.739001
01324188,1555575160882,-9.63709,-0.378576,-1.8108,0.00384711,0.00966493,-0.00231599,0.407397,-0.0476338,-0.359635
01324185,1555575160882,-9.5717,-2.17206,-0.0615763,0.0258887,0.00521426,-0.00184018,0.486426,-0.000477843,0.233857
01324181,1555575160882,9.49909,-0.404512,2.54404,-0.00400031,0.00471995,-0.00664493,-0.83845,0.578917,-0.0490218
01324180,1555575160882,-2.64888,-9.08239,-2.46875,0.00242461,0.00499039,-0.00220208,0.124656,0.68557,0.446943
01324189,1555575160898,5.588,-7.87084,1.70573,-0.00157826,0.0155833,-0.00436474,-0.334952,0.85049,-0.741064
01324188,1555575160898,-9.63222,-0.366589,-1.80373,-0.00485077,0.00598285,0.00112449,0.408459,-0.0490089,-0.360906
01324185,1555575160898,-9.59824,-2.17672,-0.065244,0.00796746,2.24296e-05,-0.00943523,0.488418,-0.00155533,0.235266
01324181,1555575160898,9.4893,-0.394921,2.53897,0.00304518,0.00406994,0.005395,-0.840045,0.579656,-0.0482416
01324180,1555575160898,-2.65375,-9.08253,-2.46155,0.00226647,0.00828231,0.00837075,0.123641,0.683047,0.447433
01324189,1555575160914,5.56886,-7.86108,1.72551,0.000172161,3.32648e-05,-0.00610293,-0.337586,0.85585,-0.745544
01324188,1555575160914,-9.65157,-0.371274,-1.81316,0.00384853,0.0164346,0.00129609,0.40765,-0.0454656,-0.363816
01324185,1555575160914,-9.62959,-2.1645,-0.0834351,0.00620661,0.00708442,-0.00947174,0.486689,0.00395099,0.234709
01324181,1555575160914,9.48483,-0.399849,2.56801,-0.00592028,0.00870795,0.0175328,-0.843667,0.585304,-0.0483199
01324180,1555575160914,-2.65373,-9.0775,-2.48085,0.0015962,-0.00571872,0.00739054,0.12123,0.689298,0.446539
01324189,1555575160929,5.60014,-7.87564,1.70554,0.00883567,0.0120172,-0.00610236,-0.337062,0.857094,-0.7458
01324188,1555575160929,-9.64673,-0.371225,-1.82283,0.0160375,0.0183836,-0.00213843,0.409107,-0.0472067,-0.363417
01324185,1555575160929,-9.62965,-2.17174,-0.105191,-0.00741648,0.00555834,0.00075877,0.486159,0.00506144,0.235083
01324181,1555575160929,9.4845,-0.380439,2.55797,0.00488723,0.00119835,-0.00670288,-0.845497,0.583941,-0.0477541
01324180,1555575160929,-2.6584,-9.08713,-2.4882,0.000472781,0.0154195,0.00225534,0.120841,0.689021,0.446802
01324189,1555575160945,5.58322,-7.88055,1.70578,0.00543635,0.0120641,-0.000779831,-0.335495,0.853021,-0.741168
01324188,1555575160945,-9.64184,-0.356778,-1.823,0.00647528,0.00948607,0.00123892,0.4078,-0.0488332,-0.36141
01324185,1555575160945,-9.62487,-2.19583,-0.088167,0.00449593,0.012394,-0.00865383,0.487887,0.00288341,0.236631
01324181,1555575160945,9.4846,-0.390139,2.55575,0.00131534,0.00124118,-0.00410425,-0.84164,0.580395,-0.0474615
01324180,1555575160945,-2.63421,-9.0918,-2.4759,-0.0046935,0.00834813,0.00392482,0.123079,0.686867,0.446859
01324189,1555575160960,5.60743,-7.88045,1.70542,-0.00338826,0.0147267,-0.00970352,-0.334691,0.8516,-0.741448
01324188,1555575160960,-9.6419,-0.371393,-1.80121,0.00301674,0.00919857,0.00652245,0.408062,-0.0485612,-0.361266
01324185,1555575160960,-9.5671,-2.2347,-0.0853881,0.00124917,0.014252,-0.00272101,0.486429,0.00135294,0.235884
01324181,1555575160960,9.48477,-0.394998,2.56791,0.0048473,0.013741,0.00202698,-0.841501,0.579696,-0.0473188
01324180,1555575160960,-2.6344,-9.07732,-2.47583,0.00231734,0.00118624,0.012714,0.1253,0.68598,0.447335
01324189,1555575160976,5.58825,-7.86584,1.72521,0.00192926,0.00346543,-0.00433022,-0.335879,0.85163,-0.741695
01324188,1555575160976,-9.6419,-0.371243,-1.82286,0.00904235,0.0134802,-0.0084346,0.406738,-0.0472873,-0.360781
01324185,1555575160976,-9.5477,-2.21073,-0.0670575,0.00610568,-0.00350261,-0.0119725,0.48709,0.00245092,0.235616
01324181,1555575160976,9.48444,-0.390127,2.53884,-0.0129522,0.00844017,0.00376077,-0.838991,0.579093,-0.0477216
01324180,1555575160976,-2.64417,-9.07764,-2.45659,-0.0151395,0.00480121,0.00383962,0.125059,0.684864,0.446005
01324189,1555575160993,5.57836,-7.86114,1.7132,-0.000752846,0.0121204,-0.00790748,-0.337341,0.854599,-0.742696
01324188,1555575160993,-9.63223,-0.371411,-1.80369,0.00646677,0.0130518,-0.000490436,0.407266,-0.0475484,-0.361456
01324185,1555575160993,-9.57172,-2.16246,-0.0859334,0.0151466,0.00880217,-0.00610363,0.48682,0.00338265,0.233819
01324181,1555575160993,9.4725,-0.385428,2.55316,-0.00580806,0.0101261,-0.00141629,-0.842038,0.581903,-0.0491759
01324180,1555575160993,-2.65386,-9.06785,-2.4808,-0.0169139,0.00476917,0.00559108,0.124658,0.685573,0.446549
01324189,1555575161009,5.59796,-7.88038,1.72016,-0.0051294,0.0173385,-0.0097122,-0.336552,0.857509,-0.743982
01324188,1555575161009,-9.6419,-0.371343,-1.80843,0.00731715,0.0115991,-0.00581215,0.407272,-0.048306,-0.363461
01324185,1555575161009,-9.59815,-2.13821,-0.0729218,0.00151392,0.00198457,0.00416584,0.486026,0.00256048,0.234085
01324181,1555575161009,9.47017,-0.395155,2.54851,-0.00407862,0.00319648,0.00627703,-0.843762,0.582775,-0.0487866
01324180,1555575161009,-2.6537,-9.07745,-2.48568,-0.00102383,-0.00751446,0.00911969,0.122691,0.686163,0.447901
01324189,1555575161026,5.60032,-7.87068,1.72015,0.000116501,0.0138334,-0.00791175,-0.3339,0.855207,-0.743379
01324188,1555575161026,-9.64192,-0.376198,-1.80357,-0.00313851,0.0148653,-0.00230759,0.408989,-0.0495166,-0.36238
01324185,1555575161026,-9.59098,-2.15752,-0.0803076,-0.00397914,0.00551086,-0.00095458,0.487226,0.0013646,0.23652
01324181,1555575161026,9.46524,-0.378241,2.55781,-0.00584625,0.0137936,0.00551198,-0.842715,0.581277,-0.0461703
01324180,1555575161026,-2.66331,-9.07741,-2.50027,-0.00559237,0.00832129,0.00568735,0.123838,0.688114,0.448447
01324189,1555575161042,5.59786,-7.87557,1.71531,0.0105507,0.0119987,-0.0078729,-0.333115,0.854354,-0.741964
01324188,1555575161042,-9.62259,-0.378612,-1.81332,0.00733619,0.00116515,-0.00592335,0.408072,-0.0502669,-0.361109
01324185,1555575161042,-9.591,-2.17676,-0.0607018,0.00504528,0.00723292,0.00412742,0.487356,0.00273616,0.236123
01324181,1555575161042,9.48479,-0.385307,2.58222,-0.000550769,0.0156964,0.0124032,-0.842553,0.579707,-0.0474382
01324180,1555575161042,-2.65355,-9.08705,-2.49056,-0.00476972,0.015419,0.00134198,0.123471,0.686719,0.446851
01324189,1555575161059,5.59771,-7.88538,1.70068,-0.00147002,0.0138629,0.00274467,-0.334579,0.853281,-0.740266
01324188,1555575161059,-9.63707,-0.371377,-1.80606,0.00385815,0.00445202,-0.00237343,0.40714,-0.0484527,-0.360204
01324185,1555575161059,-9.59582,-2.17673,-0.0604957,0.00951528,-0.00424413,0.00589798,0.485366,0.00216627,0.235113
