ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555576449353,9.72097,-1.64967,-1.00472,0.012724,0.00715772,0.033296,-0.647074,0.157767,0.387368
01324188,1555576449353,-9.90668,-0.284908,-0.311532,0.0209394,-0.031993,-0.0125617,0.622852,0.0428254,0.330878
01324185,1555576449353,-9.53206,-1.64808,1.3083,-0.00502259,0.013816,-0.00564743,0.646471,0.150913,-0.489218
01324181,1555576449353,9.77511,-1.70483,0.814961,-0.0245896,0.139314,0.0833619,-0.778683,-0.224341,-0.0645388
01324180,1555576449353,8.91581,3.48825,1.80282,0.0232165,0.0349423,0.0219902,-0.694797,-0.0310021,-0.40945
01324189,1555576449356,9.6991,-1.53929,-1.12826,0.000317159,0.0314298,0.0243257,-0.653075,0.163244,0.383724
01324188,1555576449356,-10.0226,-0.250663,-0.320565,0.0507186,-0.0555065,0.00683625,0.625266,0.0472768,0.328168
01324185,1555576449356,-9.47637,-1.60263,1.35398,-0.0309429,-0.0104828,0.0055793,0.64753,0.158951,-0.497157
01324181,1555576449356,9.74947,-1.45779,0.97429,-0.0282851,0.144963,0.10064,-0.78789,-0.219477,-0.0717673
01324180,1555576449356,8.84062,3.52419,1.74428,0.0685572,0.0420361,0.0276273,-0.70622,-0.0243874,-0.4163
01324189,1555576449372,9.66364,-1.46492,-1.20301,0.0332576,0.0207205,0.0191302,-0.656658,0.165944,0.385665
01324188,1555576449372,-9.78469,0.0147527,-0.474035,0.0173077,-0.00549994,-0.0211349,0.627701,0.0477661,0.329243
01324185,1555576449372,-9.40679,-1.77636,1.4183,-0.00442872,-0.00720489,0.00721759,0.649428,0.159636,-0.498217
01324181,1555576449372,9.7661,-1.27318,0.944293,-0.0477663,0.125126,0.0815413,-0.790439,-0.219359,-0.074552
01324180,1555576449372,8.78137,3.47402,1.62742,0.0793188,0.0354723,0.00918847,-0.70835,-0.024629,-0.418028
01324189,1555576449388,9.55928,-1.34767,-1.3326,0.0479296,0.0067571,0.0138915,-0.653374,0.160102,0.388263
01324188,1555576449388,-9.82702,-0.32321,-0.393629,-0.034908,-0.0227283,-0.0101724,0.629476,0.0454151,0.332167
01324185,1555576449388,-9.45779,-1.85075,1.35088,0.00749071,0.00707699,0.0377423,0.651485,0.1541,-0.492278
