ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555575601031,9.70836,0.581162,-1.06944,0.0238504,0.00224591,-0.00808211,-0.670929,-0.0502072,0.428721
01324188,1555575601031,-9.70426,-0.276704,-1.28749,-0.00823842,0.0175938,-0.0224581,0.63793,-0.0657851,0.44085
01324185,1555575601031,-9.64036,-1.86012,0.443016,-0.0632928,-0.00867484,0.0044477,0.696745,0.334491,-0.32751
01324181,1555575601031,9.62579,-0.452352,-1.44894,0.0522465,-0.00869046,0.00180319,-0.752683,-0.309434,0.108667
01324180,1555575601031,-8.41169,-4.7905,1.03282,-0.0646718,-0.0412693,0.0105354,0.684292,0.18012,-0.39216
01324189,1555575601035,9.743,0.552542,-1.03109,0.0308374,0.00562554,-0.00629385,-0.678835,-0.0449169,0.424764
01324188,1555575601035,-9.75003,-0.228651,-1.23944,-0.0177616,0.0185836,-0.00836092,0.638697,-0.0601746,0.436954
01324185,1555575601035,-9.62089,-1.82649,0.485508,-0.0461585,0.0121959,-0.00591552,0.694043,0.338868,-0.332463
01324181,1555575601035,9.66702,-0.510058,-1.4862,0.0584671,-0.0166226,0.00343446,-0.759494,-0.305188,0.103911
01324180,1555575601035,-8.41074,-4.87537,1.07103,-0.066629,-0.029095,0.0141037,0.682254,0.186317,-0.395201
01324189,1555575601051,9.71325,0.629829,-1.04506,0.0324505,0.016827,-0.0116355,-0.675887,-0.0451336,0.425125
01324188,1555575601051,-9.73339,-0.310304,-1.29417,-0.0273846,0.0272401,-0.00832582,0.636305,-0.0610742,0.435605
01324185,1555575601051,-9.65918,-1.70109,0.456743,-0.0398195,0.0174747,-0.000847427,0.691092,0.33861,-0.331415
01324181,1555575601051,9.66722,-0.519765,-1.47877,0.0415284,-0.02007,0.00949326,-0.757636,-0.304642,0.104143
01324180,1555575601051,-8.4876,-4.92233,1.08936,-0.0369476,-0.0183347,0.00733931,0.680141,0.186787,-0.395959
01324189,1555575601067,9.73684,0.678206,-1.06721,0.051589,0.00194596,-0.011549,-0.668648,-0.048147,0.427261
01324188,1555575601067,-9.71426,-0.368372,-1.27455,-0.0265641,0.0381272,-0.0170466,0.633669,-0.0660277,0.438375
01324185,1555575601067,-9.66394,-1.67218,0.446945,-0.0491294,0.0299821,0.00758779,0.689903,0.335386,-0.324647
01324181,1555575601067,9.73355,-0.477701,-1.52503,0.0282839,-0.0310357,-0.00782014,-0.749771,-0.308045,0.109135
01324180,1555575601067,-8.50284,-4.85452,1.05091,-0.0194871,-0.018325,0.0109866,0.680928,0.181695,-0.382769
01324189,1555575601083,9.74225,0.717434,-1.01122,0.0254251,0.00307811,-0.0178587,-0.666491,-0.0490563,0.426702
01324188,1555575601083,-9.75048,-0.358446,-1.29601,-0.0231055,0.0180399,-0.0314094,0.633666,-0.0654563,0.43841
01324185,1555575601083,-9.68345,-1.78757,0.502343,-0.0559511,0.0298715,-0.0085563,0.690708,0.334533,-0.325418
01324181,1555575601083,9.7668,-0.484545,-1.5754,0.0318575,-0.0186441,-0.00687038,-0.75005,-0.307463,0.109652
01324180,1555575601083,-8.50388,-4.78228,1.0658,-0.0403434,-0.0163283,-0.0049379,0.680416,0.180999,-0.384372
01324189,1555575601099,9.72889,0.726414,-1.09375,0.0175966,0.00228935,-0.0169937,-0.669867,-0.0478266,0.428332
01324188,1555575601099,-9.73852,-0.392311,-1.28617,-0.0125253,0.0150591,-0.00747116,0.634993,-0.064621,0.438445
01324185,1555575601099,-9.68828,-1.81158,0.536763,-0.0291511,0.0244156,0.000805404,0.692853,0.337326,-0.325452
01324181,1555575601099,9.69122,-0.509785,-1.46915,0.0265032,-0.0168586,-0.00681441,-0.752185,-0.307983,0.110475
01324180,1555575601099,-8.50859,-4.80692,1.10912,-0.0726346,-0.0181046,-0.0104345,0.681452,0.182985,-0.385012
01324189,1555575601115,9.73166,0.726618,-1.06945,0.00973809,0.00927622,-0.0188102,-0.677497,-0.0473531,0.426576
01324188,1555575601115,-9.70933,-0.344062,-1.30609,-0.00558414,0.0205127,-0.0117858,0.637245,-0.0626949,0.439329
01324185,1555575601115,-9.65431,-1.74918,0.55165,-0.0394297,0.0210646,0.00763304,0.694453,0.341738,-0.328478
01324181,1555575601115,9.68707,-0.577745,-1.48961,0.0193841,-0.029253,-0.00689025,-0.758341,-0.303443,0.106627
01324180,1555575601115,-8.43764,-4.87388,1.12877,-0.0733237,-0.0231717,-0.0210565,0.681472,0.185328,-0.39481
01324189,1555575601131,9.72203,0.712023,-1.07177,0.0151714,0.00406309,-0.00456508,-0.676958,-0.0479336,0.426697
01324188,1555575601131,-9.71895,-0.329528,-1.31096,-0.00384093,0.0120179,-0.0154091,0.638301,-0.0609982,0.439421
01324185,1555575601131,-9.62542,-1.73977,0.511498,-0.0396945,0.0245408,0.00165153,0.694995,0.340084,-0.327299
01324181,1555575601131,9.69071,-0.558214,-1.58655,0.0229303,-0.0203025,-0.000795122,-0.758089,-0.303687,0.108604
01324180,1555575601131,-8.42072,-4.86624,1.10965,-0.0542173,4.02293e-05,-0.0383579,0.682241,0.187316,-0.394915
01324189,1555575601147,9.71751,0.721907,-1.04491,0.0116163,-0.00453675,-0.0116674,-0.671466,-0.0497692,0.428467
01324188,1555575601147,-9.72384,-0.34411,-1.29154,-0.000340081,0.0128027,-0.0136071,0.636723,-0.064437,0.440022
01324185,1555575601147,-9.64969,-1.75893,0.456932,-0.0384129,0.0208982,-0.00937642,0.694731,0.339976,-0.325613
01324181,1555575601147,9.68099,-0.517123,-1.54393,0.0264415,-0.0166251,0.00611898,-0.75301,-0.306675,0.111378
01324180,1555575601147,-8.47931,-4.83087,1.12377,-0.0350935,0.00435198,-0.0311517,0.682219,0.18584,-0.386829
01324189,1555575601163,9.73162,0.755767,-1.05964,0.00291029,0.00763457,-0.00994574,-0.670652,-0.0492296,0.427143
01324188,1555575601163,-9.73839,-0.353968,-1.25283,-0.0177414,0.0285331,0.000604691,0.634323,-0.0640631,0.439017
01324185,1555575601163,-9.69798,-1.74904,0.415226,-0.0391606,0.00488106,-0.0262713,0.692585,0.340844,-0.324061
01324181,1555575601163,9.69087,-0.49522,-1.48634,0.0264765,-0.00967267,-0.000720493,-0.750489,-0.30544,0.111063
01324180,1555575601163,-8.49723,-4.76865,1.15535,-0.0330498,-0.014015,-0.0330064,0.680104,0.185293,-0.384814
01324189,1555575601179,9.7514,0.712318,-1.05031,-0.00937018,0.0181065,-0.0171171,-0.668775,-0.0489949,0.427124
01324188,1555575601179,-9.74329,-0.373089,-1.27428,-0.00901699,0.0284586,0.00243379,0.632855,-0.0637289,0.438526
01324185,1555575601179,-9.68847,-1.80686,0.42997,-0.026306,0.0242501,-0.0145043,0.691782,0.338615,-0.323778
01324181,1555575601179,9.72437,-0.499658,-1.50777,0.0317569,-0.0289876,0.00684426,-0.751299,-0.304856,0.111322
01324180,1555575601179,-8.50941,-4.76153,1.15286,-0.0376494,-0.00365252,-0.0259252,0.678775,0.186321,-0.385573
01324189,1555575601196,9.76116,0.712397,-1.04559,0.0167713,0.000573069,-0.0152217,-0.670648,-0.0489487,0.426618
01324188,1555575601196,-9.748,-0.343789,-1.32504,-0.0020605,0.0234481,-0.00111466,0.633261,-0.0647476,0.438723
01324185,1555575601196,-9.68849,-1.84534,0.474038,0.00207152,0.0169738,-0.00938579,0.692855,0.340854,-0.323544
01324181,1555575601196,9.70944,-0.475556,-1.53006,0.0158284,-0.0168494,-0.00506591,-0.753983,-0.303403,0.111188
01324180,1555575601196,-8.50909,-4.77822,1.13343,-0.0349345,-0.0142607,-0.0207117,0.679559,0.18905,-0.390319
01324189,1555575601212,9.75365,0.717096,-1.06007,0.0167001,0.00747372,-0.0187875,-0.673873,-0.0497103,0.427703
01324188,1555575601212,-9.73368,-0.396701,-1.35114,-0.000303587,0.0181367,0.00061333,0.636193,-0.0650363,0.440785
01324185,1555575601212,-9.68851,-1.86218,0.48877,0.0104384,0.0169922,0.000810543,0.695536,0.341098,-0.325368
01324181,1555575601212,9.73862,-0.509168,-1.53889,0.0193432,-0.00250866,0.00538681,-0.755823,-0.305093,0.110584
01324180,1555575601212,-8.51352,-4.80967,1.13564,-0.0335074,-0.00226989,-0.00655914,0.681133,0.19017,-0.391118
01324189,1555575601229,9.72211,0.726656,-1.05957,-0.00586367,0.00253919,-0.0170711,-0.67362,-0.0498504,0.429413
01324188,1555575601229,-9.73851,-0.392078,-1.31986,-0.00722403,0.0209467,0.012986,0.63819,-0.06482,0.441568
01324185,1555575601229,-9.72214,-1.81142,0.484835,0.0113043,0.0310747,0.000725847,0.697418,0.341399,-0.324212
01324181,1555575601229,9.73857,-0.509164,-1.54372,0.0122729,-0.0026623,-0.00234925,-0.754872,-0.306799,0.111005
01324180,1555575601229,-8.50588,-4.84103,1.14279,-0.00907291,0.00668095,-0.0116262,0.683375,0.189258,-0.388508
01324189,1555575601246,9.73424,0.673234,-1.08178,-0.000665073,0.00247703,-0.0188324,-0.672397,-0.0484765,0.426905
01324188,1555575601246,-9.71412,-0.327401,-1.27251,-0.00198861,0.0176658,0.00944656,0.634722,-0.0643345,0.44164
01324185,1555575601246,-9.73168,-1.80169,0.526388,0.00411441,0.00644145,-0.00250852,0.694734,0.341272,-0.323554
01324181,1555575601246,9.72391,-0.50447,-1.56322,0.0194177,-0.000963442,-0.00666406,-0.753419,-0.306785,0.112569
01324180,1555575601246,-8.50914,-4.77334,1.12863,-0.0205136,0.0137322,-0.0151483,0.681534,0.18843,-0.387966
01324189,1555575601262,9.72507,0.663756,-1.05003,0.0115223,0.00926474,-0.017025,-0.670119,-0.0479694,0.426752
01324188,1555575601262,-9.6947,-0.31011,-1.3426,0.00146862,0.00761147,0.00228296,0.632857,-0.0642429,0.440346
01324185,1555575601262,-9.71729,-1.82105,0.51384,0.0130628,0.00463041,0.000892277,0.692321,0.339752,-0.322754
01324181,1555575601262,9.71418,-0.477918,-1.53964,0.0140343,0.0098074,0.00206525,-0.751165,-0.304858,0.111321
01324180,1555575601262,-8.51693,-4.73487,1.1336,-0.0160823,0.00484431,-0.00813817,0.678878,0.189182,-0.386449
01324189,1555575601279,9.73691,0.639347,-1.07947,0.0176071,0.0143749,-0.016128,-0.66799,-0.0440583,0.426099
01324188,1555575601279,-9.75271,-0.305395,-1.29648,-0.00901027,0.0163929,0.000528088,0.629925,-0.0637626,0.437238
01324185,1555575601279,-9.68357,-1.82128,0.492989,0.0214817,-0.00785911,-0.00754888,0.69098,0.338081,-0.322475
01324181,1555575601279,9.70961,-0.485262,-1.52504,-0.00550213,0.0149947,-0.00299668,-0.751177,-0.305382,0.113306
01324180,1555575601279,-8.50473,-4.73447,1.10955,-0.00233656,0.0224281,-0.00793067,0.676498,0.190667,-0.389046
01324189,1555575601295,9.72254,0.615061,-1.07931,0.0150015,-0.000271613,-0.0187717,-0.669342,-0.044018,0.427169
01324188,1555575601295,-9.73796,-0.237905,-1.30201,-0.0176908,-0.00114614,0.00293145,0.633531,-0.0653356,0.438948
01324185,1555575601295,-9.66655,-1.75881,0.472209,0.0215342,-0.00607317,-0.00586434,0.693394,0.337911,-0.324035
01324181,1555575601295,9.68046,-0.490427,-1.56377,-0.000124643,-0.00284602,-0.0117803,-0.753278,-0.306529,0.111377
01324180,1555575601295,-8.48021,-4.76079,1.11448,0.0083907,0.00668446,-0.00798512,0.678307,0.193921,-0.388875
01324189,1555575601312,9.72232,0.605215,-1.0988,0.029114,0.0142766,-0.00187116,-0.67296,-0.0466111,0.428508
01324188,1555575601312,-9.69432,-0.199619,-1.28345,-0.0335375,0.0277795,-0.0189802,0.638063,-0.0655773,0.439407
01324185,1555575601312,-9.66403,-1.70588,0.447295,0.0319955,-0.000900056,-0.00761138,0.695807,0.339292,-0.324834
01324181,1555575601312,9.67014,-0.558549,-1.4756,-0.000185789,0.00885293,-0.00132374,-0.754768,-0.306457,0.113761
01324180,1555575601312,-8.48024,-4.76335,1.12896,0.0186611,0.0152687,0.00268905,0.681798,0.192337,-0.397204
01324189,1555575601328,9.70799,0.56151,-1.10356,0.0254355,0.0125701,-0.0169807,-0.673243,-0.045748,0.429573
01324188,1555575601328,-9.71391,-0.276169,-1.35961,-0.0438945,0.021143,0.00742775,0.635795,-0.0652788,0.439982
01324185,1555575601328,-9.63982,-1.7108,0.502112,0.0215559,0.00274478,-0.00507739,0.697019,0.338187,-0.32418
01324181,1555575601328,9.72019,-0.543381,-1.49971,-0.00195604,-0.00979732,-0.00494215,-0.755945,-0.307598,0.112743
01324180,1555575601328,-8.47822,-4.73934,1.14362,0.0291654,0.00629154,0.0150061,0.683108,0.192882,-0.396547
01324189,1555575601345,9.71355,0.537615,-1.06476,0.0482659,0.00631529,-0.00267757,-0.671354,-0.0460859,0.428494
01324188,1555575601345,-9.70207,-0.341694,-1.30376,-0.0352655,0.0267151,-0.0154599,0.634466,-0.0658039,0.439437
01324185,1555575601345,-9.66391,-1.71063,0.520124,0.0410171,0.00786187,-0.00257506,0.69554,0.337332,-0.325073
01324181,1555575601345,9.70515,-0.541081,-1.56264,-9.51271e-05,0.00416026,-0.0151674,-0.753691,-0.307459,0.114034
01324180,1555575601345,-8.52422,-4.73005,1.1263,0.0222881,-0.000680876,0.0122889,0.67996,0.190209,-0.394293
01324189,1555575601362,9.72336,0.61795,-1.02091,0.0378403,0.010745,-0.000946133,-0.66947,-0.0458552,0.427684
01324188,1555575601362,-9.70935,-0.348984,-1.29161,-0.0300258,0.0292424,-0.0136273,0.632626,-0.0697121,0.437897
01324185,1555575601362,-9.65659,-1.6914,0.53417,0.0292906,-0.00950541,0.0111543,0.691647,0.337907,-0.324288
01324181,1555575601362,9.68204,-0.572938,-1.50664,0.00695117,0.00260161,-0.00485007,-0.751164,-0.305136,0.11159
01324180,1555575601362,-8.50006,-4.72486,1.11932,-0.00751515,-0.000873421,0.0164907,0.678609,0.19063,-0.388944
01324189,1555575601378,9.72268,0.63702,-1.05979,0.0360115,0.00557111,-0.00716242,-0.67027,-0.0449888,0.426645
01324188,1555575601378,-9.70942,-0.368239,-1.29624,-0.0230593,0.0225853,-0.0189623,0.631287,-0.0685474,0.437985
01324185,1555575601378,-9.6685,-1.64798,0.543939,0.0302933,-0.00263931,-0.00589808,0.691516,0.337089,-0.323244
