ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1555578523047,-1.24669,-0.419875,9.68348,-0.00319809,0.00884074,-0.0067712,-0.1961,0.115176,-1.27341
01324188,1555578523047,-0.388332,-0.237708,9.80083,-0.00193721,0.00878759,-0.00675116,-0.325084,-0.167652,-0.980634
01324185,1555578523047,-0.284494,1.37858,9.68026,0.00502374,0.00279719,0.00183242,0.108381,0.479204,-1.03311
01324181,1555578523047,-0.308157,-1.30551,9.64446,-0.00202729,0.00317331,-0.00428878,-0.164335,0.44497,0.292688
01324180,1555578523047,-0.360852,0.233528,9.79729,-0.00710875,-0.000885851,0.010125,-0.272948,0.0237181,-1.46879
01324189,1555578523051,-1.24103,-0.426696,9.73692,-0.00656878,0.0183876,0.0011955,-0.200866,0.120087,-1.28538
01324188,1555578523051,-0.400445,-0.242687,9.82985,0.0076572,0.0250425,-0.001199,-0.330465,-0.1622,-0.987668
01324185,1555578523051,-0.289199,1.39068,9.72401,-0.00062642,0.0106879,-0.00671584,0.10607,0.484873,-1.04325
01324181,1555578523051,-0.302592,-1.32005,9.70514,-0.0110339,-5.13465e-05,0.0129515,-0.168035,0.455437,0.289883
01324180,1555578523051,-0.363372,0.230781,9.82625,-0.0177605,0.0113725,0.00838513,-0.278799,0.0310445,-1.48002
01324189,1555578523067,-1.24117,-0.414621,9.73209,-0.00326131,0.0183362,-0.0103433,-0.200874,0.121086,-1.2851
01324188,1555578523067,-0.381108,-0.24279,9.83451,0.0085587,-0.00161796,-0.00679284,-0.333001,-0.163268,-0.988499
01324185,1555578523067,-0.279582,1.37378,9.73348,0.010527,0.0115963,0.00687143,0.106206,0.48559,-1.04222
01324181,1555578523067,-0.302769,-1.31519,9.69297,0.00150472,0.00501469,-0.000835952,-0.170158,0.454901,0.289916
01324180,1555578523067,-0.380344,0.235461,9.82128,0.00335934,0.00987362,-0.000278269,-0.281154,0.0293757,-1.48135
01324189,1555578523083,-1.2413,-0.417121,9.72235,-0.00140105,0.00883111,-0.00321187,-0.197405,0.11661,-1.27869
01324188,1555578523083,-0.381083,-0.237801,9.8104,0.00157218,0.00348627,-0.00501433,-0.327358,-0.167678,-0.982334
01324185,1555578523083,-0.284367,1.39066,9.72866,-0.000987823,-0.00416329,0.00528495,0.107705,0.477197,-1.03593
01324181,1555578523083,-0.307545,-1.31041,9.70251,0.00153174,0.0040363,-0.00601526,-0.166623,0.447532,0.291871
01324180,1555578523083,-0.373153,0.240372,9.82137,-0.00364755,0.00893695,0.00142874,-0.274666,0.0253477,-1.47299
01324189,1555578523099,-1.2411,-0.426734,9.73206,0.000175661,0.014843,-0.013879,-0.195518,0.11656,-1.27871
01324188,1555578523099,-0.390793,-0.247544,9.82981,-0.00541216,0.0180594,-0.00136342,-0.325889,-0.166912,-0.983898
01324185,1555578523099,-0.269936,1.37372,9.73307,0.00457886,-0.00259034,-0.0083414,0.107703,0.476622,-1.03683
01324181,1555578523099,-0.326955,-1.30335,9.69259,-0.00913994,0.0173233,-0.00413827,-0.16621,0.447221,0.290822
