ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461148093130,-9.70103,-0.279353,-1.50232,0.0358955,0.0177821,-0.0154973,0.744015,0.0932377,-0.281501
01324188,1461148093130,-9.60192,-1.55756,-1.3473,0.0184404,0.0217818,0.0231705,0.630696,0.309413,-0.228909
01324185,1461148093130,-9.52767,-1.47701,1.88199,-0.10767,0.0002361,0.0145047,0.627569,0.224671,-0.468533
01324181,1461148093130,-9.76415,0.299758,-0.60431,-0.0401345,0.0268417,0.00337305,0.720569,0.347917,0.142121
01324180,1461148093130,-8.82032,-3.11326,2.75116,-0.140587,-0.0071336,0.0497163,0.553011,0.141802,-0.568326
01324189,1461148093133,-9.64444,-0.097614,-1.52951,0.0517886,0.0305787,0.00761825,0.745091,0.102083,-0.285981
01324188,1461148093133,-9.60141,-1.41313,-1.31252,0.00276402,0.0121979,0.022953,0.630114,0.316536,-0.232209
01324185,1461148093133,-9.52035,-1.45297,1.89114,-0.0666647,0.0158235,0.0271143,0.628084,0.234405,-0.475558
01324181,1461148093133,-9.75419,0.270763,-0.606105,-0.0142814,0.0337885,-0.00526744,0.720764,0.355608,0.139693
01324180,1461148093133,-8.90413,-2.82234,2.76885,-0.0637681,0.0215569,0.0329107,0.550963,0.148381,-0.575164
01324189,1461148093149,-9.70274,0.0309059,-1.48451,0.0359929,0.0307497,-0.00130927,0.746445,0.10162,-0.285333
01324188,1461148093149,-9.60623,-1.41052,-1.33898,0.00274756,0.014852,0.0220966,0.632824,0.314669,-0.230484
01324185,1461148093149,-9.46265,-1.4967,1.86,-0.0482468,0.0158428,0.0457921,0.629439,0.233405,-0.476206
01324181,1461148093149,-9.74511,0.299999,-0.623513,-0.00277591,0.0401997,0.00595031,0.721564,0.355339,0.141023
01324180,1461148093149,-8.93371,-2.79163,2.80015,-0.0406989,0.0240196,0.00143891,0.553222,0.149499,-0.575444
01324189,1461148093166,-9.7114,-0.0755446,-1.4603,0.00495983,0.0328266,0.0145783,0.748066,0.0968615,-0.281519
01324188,1461148093166,-9.59668,-1.44194,-1.33395,-0.000762532,0.00917771,0.0140474,0.634462,0.311481,-0.228024
01324185,1461148093166,-9.46992,-1.50148,1.84823,-0.0131409,0.0242961,0.044,0.630811,0.230125,-0.470819
01324181,1461148093166,-9.80821,0.318694,-0.662916,0.0203564,0.0251537,0.00317329,0.724427,0.350918,0.144017
01324180,1461148093166,-8.85533,-2.86806,2.81017,0.0273114,0.0417721,0.00195693,0.554833,0.146548,-0.570008
01324189,1461148093182,-9.68663,-0.152936,-1.45599,-0.00383584,0.0320373,0.00566205,0.747002,0.0950184,-0.282722
01324188,1461148093182,-9.60179,-1.51914,-1.32359,-0.004314,0.0125222,-9.92163e-05,0.632844,0.311062,-0.227762
01324185,1461148093182,-9.53262,-1.49147,1.83868,0.0144073,0.0362194,0.0302997,0.630544,0.227739,-0.470273
01324181,1461148093182,-9.84023,0.37897,-0.664275,0.0141715,0.0320999,-0.00364128,0.723875,0.351789,0.144137
01324180,1461148093182,-8.9461,-2.79244,2.86286,0.065986,0.0367869,-0.00482758,0.556196,0.144212,-0.570074
01324189,1461148093199,-9.67684,-0.213623,-1.47575,0.00667505,0.0293402,0.0101431,0.74659,0.0946027,-0.28192
01324188,1461148093199,-9.60165,-1.4783,-1.3023,-0.00256915,0.0227688,0.00356374,0.631778,0.309106,-0.228942
01324185,1461148093199,-9.5905,-1.46706,1.80451,0.0794667,0.0371489,0.00982358,0.62973,0.226883,-0.470784
01324181,1461148093199,-9.81378,0.381705,-0.659329,0.0185623,0.012772,0.00306555,0.720795,0.35094,0.142722
01324180,1461148093199,-9.04518,-2.64469,2.93521,0.0272211,0.0487048,0.00561909,0.554594,0.143948,-0.569518
01324189,1461148093215,-9.67674,-0.196546,-1.46111,0.0173269,0.048247,0.028801,0.74388,0.0958156,-0.283214
