ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461146084328,-9.55842,0.443824,-2.0431,0.0572815,0.00976049,0.041406,0.851452,-0.383602,-0.0360333
01324188,1461146084328,-9.46071,-2.22444,-1.41198,-0.0296849,0.0193663,0.00881224,0.889762,-0.128652,-0.258589
01324185,1461146084328,-9.80613,-1.22092,0.0994048,0.116578,-0.0256013,-0.0296833,0.824329,-0.153697,-0.330782
01324181,1461146084328,-9.08121,0.789016,3.58864,0.0516245,-0.00476302,-0.0221231,0.636192,0.0795192,-0.637481
01324180,1461146084328,-9.31938,-1.87718,2.32563,0.206236,0.019872,0.0248562,0.876738,-0.201877,-0.10073
01324189,1461146084331,-9.55198,0.35234,-1.97283,0.0852334,0.0215754,0.050363,0.85365,-0.380812,-0.0404399
01324188,1461146084331,-9.41497,-2.28001,-1.41905,-0.0541062,0.023546,0.0104699,0.894466,-0.123641,-0.265041
01324185,1461146084331,-9.81322,-1.20638,0.152941,0.0953232,-0.000775926,-0.0332197,0.829206,-0.148155,-0.336755
01324181,1461146084331,-9.12191,0.82972,3.66005,0.0604786,-0.00465606,-0.0178345,0.639132,0.0870805,-0.64434
01324180,1461146084331,-9.32373,-1.92088,2.34468,0.200274,0.0328789,0.0741318,0.880802,-0.19501,-0.103607
01324189,1461146084347,-9.6571,0.231127,-1.92528,0.117616,0.0195627,0.0629359,0.855273,-0.381995,-0.0389999
01324188,1461146084347,-9.42744,-2.37072,-1.19673,-0.0470537,0.0506276,0.0249737,0.896478,-0.121421,-0.263586
01324185,1461146084347,-9.80106,-1.22084,0.225362,0.106847,-0.0077215,-0.0110789,0.829748,-0.147175,-0.337292
01324181,1461146084347,-9.19026,0.981685,3.75089,0.0764759,-0.0241639,-0.0232261,0.639968,0.0860345,-0.64566
01324180,1461146084347,-9.32143,-1.91615,2.35682,0.179023,0.030519,0.100356,0.882407,-0.195764,-0.10284
01324189,1461146084363,-9.74297,0.219333,-1.83882,0.12872,0.0142785,0.0470088,0.853236,-0.38609,-0.0364737
01324188,1461146084363,-9.54355,-2.38063,-1.09707,-0.010343,0.0679699,0.0448673,0.895278,-0.12427,-0.261201
01324185,1461146084363,-9.82048,-1.31695,0.304828,0.098238,0.00294718,-0.00773021,0.828948,-0.150188,-0.332143
01324181,1461146084363,-9.14201,1.16179,3.75499,0.102268,-0.0277037,-0.0250966,0.639178,0.0804226,-0.640199
