ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461147058925,-9.77702,-0.6161,-0.540539,1.12338e-05,0.0105679,0.00575114,0.759347,0.081552,-0.329674
01324188,1461147058925,-9.75786,-0.189715,-1.18509,-0.00158521,0.00893805,0.0122984,0.843531,0.0678027,-0.345107
01324185,1461147058925,-9.57962,-2.11331,0.866905,0.206057,0.0613078,-0.0976696,0.706213,0.155494,-0.419059
01324181,1461147058925,-9.80105,0.406255,0.271591,-0.00986723,0.0391239,0.00992732,0.755939,0.332253,-0.0199963
01324180,1461147058925,-9.40123,-3.12977,0.157159,0.28428,0.0709324,0.0516508,0.735751,0.132981,-0.345807
01324189,1461147058929,-9.80479,-0.620366,-0.452506,-0.00346258,0.00716762,0.00397557,0.759884,0.0894088,-0.333888
01324188,1461147058929,-9.75538,-0.170667,-1.15159,0.000158784,0.00565431,0.00873344,0.843783,0.0716349,-0.352648
01324185,1461147058929,-9.65182,-2.10076,0.932952,0.247898,0.0590403,-0.10619,0.70673,0.163683,-0.425674
01324181,1461147058929,-9.77646,0.377416,0.291621,-0.00806976,0.0443821,0.00737899,0.75637,0.343481,-0.023828
01324180,1461147058929,-9.43274,-3.09548,0.0748701,0.347259,0.0603519,0.0678152,0.737593,0.137747,-0.352587
01324189,1461147058945,-9.82391,-0.615445,-0.432733,0.00159988,0.0140137,-0.00578928,0.760141,0.0891228,-0.332292
01324188,1461147058945,-9.74329,-0.168433,-1.13245,0.00797452,0.0061349,-5.67095e-05,0.844322,0.0716891,-0.350908
01324185,1461147058945,-9.73864,-2.1459,1.00265,0.264515,0.0500238,-0.108683,0.706733,0.162848,-0.425143
01324181,1461147058945,-9.77415,0.370181,0.272454,-5.11161e-05,0.0496806,0.00653745,0.756659,0.341764,-0.0235291
01324180,1461147058945,-9.48551,-3.10006,-0.00783927,0.419619,0.0871599,0.0570426,0.739365,0.133815,-0.351214
01324189,1461147058961,-9.78189,-0.601544,-0.535563,0.00168263,0.00536597,0.000436568,0.760568,0.0833799,-0.330741
01324188,1461147058961,-9.75774,-0.158302,-1.195,-0.00425461,0.0103626,0.00167455,0.843674,0.0667179,-0.346785
01324185,1461147058961,-9.74358,-2.16996,0.981267,0.298558,0.0337835,-0.114568,0.707159,0.156465,-0.419855
01324181,1461147058961,-9.76184,0.350913,0.277732,-0.00624401,0.0531123,0.00141478,0.75684,0.335259,-0.0195363
01324180,1461147058961,-9.48587,-3.08845,0.0357222,0.466893,0.0891188,0.0547208,0.739868,0.125157,-0.351394
01324189,1461147058977,-9.7672,-0.659749,-0.550527,0.00863747,0.0208275,0.00220563,0.759194,0.0844257,-0.32965
01324188,1461147058977,-9.74813,-0.175215,-1.19492,-0.00166058,0.00639309,-0.00542957,0.843399,0.0676033,-0.346994
01324185,1461147058977,-9.7242,-2.09791,0.916611,0.347743,0.0368392,-0.115497,0.706075,0.155051,-0.420099
01324181,1461147058977,-9.79054,0.357833,0.301566,-0.000951404,0.0426095,0.006485,0.755226,0.333324,-0.0173501
01324180,1461147058977,-9.55204,-3.27475,0.232226,0.533692,0.0879529,0.0340043,0.739673,0.119398,-0.352178
01324189,1461147058993,-9.79298,-0.673968,-0.496623,-0.00166773,0.0175056,0.00929078,0.759475,0.0832691,-0.329929
01324188,1461147058993,-9.74343,-0.20929,-1.15133,-0.00334139,-0.00779482,-0.00028545,0.84286,0.0675615,-0.349002
01324185,1461147058993,-9.74308,-1.93891,0.896373,0.389902,0.0311557,-0.115506,0.706071,0.156295,-0.421418
01324181,1461147058993,-9.75717,0.372792,0.291833,0.00882088,0.0497553,0.00995314,0.755341,0.334761,-0.0171152
01324180,1461147058993,-9.60397,-3.01728,0.252467,0.570986,0.0782875,-0.00091815,0.739961,0.11825,-0.353816
01324189,1461147059009,-9.79041,-0.664151,-0.482035,0.0293281,0.0240627,-0.0101639,0.759075,0.0871382,-0.333097
01324188,1461147059009,-9.74824,-0.202139,-1.13692,0.00447372,0.00626727,-0.00273391,0.843109,0.0710553,-0.349323
01324185,1461147059009,-9.74255,-1.77996,0.940816,0.362041,0.0244552,-0.107782,0.705109,0.157045,-0.426389
01324181,1461147059009,-9.76678,0.372678,0.291773,0.00440302,0.0496553,0.0047973,0.755442,0.338731,-0.018929
01324180,1461147059009,-9.52814,-2.88565,0.215262,0.546543,0.0927494,-0.0264511,0.737804,0.118842,-0.350013
01324189,1461147059025,-9.78131,-0.615809,-0.501529,0.0382476,0.0170825,0.00586851,0.760022,0.0868289,-0.332576
01324188,1461147059025,-9.72886,-0.190136,-1.13959,0.00889922,0.00634592,0.0123454,0.84419,0.0710937,-0.350541
01324185,1461147059025,-9.73515,-1.74386,0.971671,0.299809,-0.00308158,-0.102437,0.707279,0.155358,-0.426118
01324181,1461147059025,-9.78116,0.372504,0.296515,0.0221463,0.0551479,0.0134111,0.757557,0.340326,-0.0167225
01324180,1461147059025,-9.52749,-2.92396,0.186057,0.499699,0.0753973,-0.0435822,0.740486,0.117791,-0.351013
01324189,1461147059041,-9.78545,-0.615441,-0.452786,0.020816,0.0207187,0.00225099,0.761104,0.0848,-0.33087
01324188,1461147059041,-9.74335,-0.187456,-1.17078,0.00882796,0.0147301,0.0018147,0.844465,0.0701019,-0.348059
01324185,1461147059041,-9.73283,-1.81846,1.033,0.261868,-0.0203772,-0.105685,0.707558,0.151156,-0.424772
01324181,1461147059041,-9.80624,0.406228,0.230503,0.016821,0.0471472,0.0116363,0.758679,0.336037,-0.0155801
01324180,1461147059041,-9.55828,-2.96761,0.171016,0.461362,0.0774072,-0.0631556,0.740256,0.113306,-0.347608
01324189,1461147059057,-9.81017,-0.591507,-0.476696,0.0223602,0.0172338,-0.01106,0.760704,0.0835192,-0.330875
