ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461148210622,-9.68039,-0.0814669,-1.69999,-0.0229004,0.0139285,-0.0106098,0.696405,0.0295974,0.478207
01324188,1461148210622,-9.60631,-1.5671,-1.29429,0.00121129,0.00268764,-0.0143677,0.71199,-0.0264075,0.498635
01324185,1461148210622,-9.6075,-0.489811,1.50174,-0.0150513,-0.014893,0.00673275,0.815211,0.0798745,0.234421
01324181,1461148210622,-9.81875,0.134255,-0.75122,-0.0151679,-0.0104737,-0.0073417,0.75156,-0.36935,0.0921873
01324180,1461148210622,-9.04425,-2.83094,2.26498,0.0278084,0.00109977,-0.00692116,0.71475,0.434332,0.116134
01324189,1461148210626,-9.66012,-0.129513,-1.65904,-0.0244625,0.00187423,-0.00171077,0.69694,0.0357356,0.475182
01324188,1461148210626,-9.60145,-1.55756,-1.28239,-0.00223536,0.00646367,-0.0037292,0.712748,-0.017921,0.49661
01324185,1461148210626,-9.6417,-0.605219,1.44616,-0.022194,0.000112961,0.00325278,0.816552,0.0854447,0.230965
01324181,1461148210626,-9.81154,0.13434,-0.751175,-0.00457821,0.00754742,0.0100173,0.752783,-0.365207,0.0856919
01324180,1461148210626,-9.03795,-2.75345,2.24855,-0.00741384,0.0140795,-0.00439783,0.712783,0.443925,0.11272
01324189,1461148210642,-9.66967,-0.129475,-1.64916,-0.0191517,0.00528533,0.00541023,0.698301,0.0368419,0.474108
01324188,1461148210642,-9.6015,-1.57191,-1.2991,-0.00227277,0.00770472,-0.0107954,0.712341,-0.0176627,0.497434
01324185,1461148210642,-9.68536,-0.636321,1.36585,-0.00107711,-0.0027293,0.00325835,0.819262,0.0857304,0.231215
01324181,1461148210642,-9.75357,0.144695,-0.707532,-0.00993657,-0.0101535,0.00986571,0.754407,-0.365239,0.0852758
01324180,1461148210642,-9.08481,-2.86,2.22817,-0.0566271,0.00633469,0.0233535,0.713438,0.445072,0.112464
01324189,1461148210658,-9.6646,-0.15851,-1.64687,-0.0174545,0.0156222,0.00361917,0.698301,0.0321232,0.477005
01324188,1461148210658,-9.59182,-1.56732,-1.27034,-0.000539462,0.00963108,-0.0143017,0.713993,-0.023287,0.49934
01324185,1461148210658,-9.70926,-0.585574,1.40517,0.00961109,0.00776491,0.00658524,0.817098,0.0823548,0.231516
01324181,1461148210658,-9.72988,0.193474,-0.679335,-0.00278184,-0.00319659,0.00299648,0.752902,-0.36754,0.0905364
01324180,1461148210658,-9.15884,-2.93831,2.24635,-0.047528,-0.0145843,0.0188661,0.7154,0.435619,0.116555
01324189,1461148210674,-9.70822,-0.153844,-1.6462,-0.0149126,0.0104199,-0.00168498,0.697219,0.0318636,0.476749
01324188,1461148210674,-9.61118,-1.57445,-1.27494,-0.000559245,0.0132528,-0.0169198,0.711697,-0.0226084,0.498072
01324185,1461148210674,-9.72341,-0.50358,1.45346,0.00921391,0.0112024,-0.00193958,0.81683,0.0815195,0.232048
01324181,1461148210674,-9.75401,0.207738,-0.670103,-0.00452806,0.00378615,-0.00210443,0.752873,-0.36636,0.0919777
01324180,1461148210674,-9.14784,-3.04957,2.27969,-0.0441887,-0.000498697,0.0154394,0.713532,0.435361,0.116846
01324189,1461148210690,-9.66979,-0.148994,-1.66624,-0.00876755,0.0146674,0.00365066,0.69681,0.0327336,0.476494
01324188,1461148210690,-9.62573,-1.58639,-1.28434,0.00125264,-0.00115538,-0.00733182,0.711157,-0.0226057,0.498213
01324185,1461148210690,-9.67994,-0.527871,1.51494,0.00203527,-0.00109692,-0.00526413,0.816015,0.0820784,0.231784
01324181,1461148210690,-9.77276,0.195358,-0.636175,-0.013398,0.0160992,-0.00541037,0.752348,-0.367641,0.0921433
01324180,1461148210690,-9.07505,-3.04324,2.21759,-0.0354235,0.00140478,0.0102186,0.713543,0.434202,0.117361
01324189,1461148210707,-9.68018,-0.156919,-1.69983,-0.00461819,0.00691038,0.000248921,0.69617,0.0341786,0.474517
01324188,1461148210707,-9.6064,-1.59125,-1.28926,0.0100235,0.00506087,0.00696007,0.709247,-0.0190437,0.497119
01324185,1461148210707,-9.69195,-0.53258,1.54947,0.000864383,0.019979,-0.0121989,0.815198,0.0850275,0.231235
01324181,1461148210707,-9.7824,0.183129,-0.655322,-0.0063243,0.00916027,0.00140582,0.750204,-0.365556,0.0877249
01324180,1461148210707,-9.08517,-3.00954,2.21526,-0.00378978,0.00716622,-0.00887158,0.712176,0.438586,0.113161
01324189,1461148210723,-9.67012,-0.149377,-1.67076,-0.00896151,0.00782014,0.000231056,0.696426,0.0341797,0.476115
01324188,1461148210723,-9.60639,-1.58643,-1.2893,-0.00397913,0.00559101,-0.00375043,0.711686,-0.0207869,0.496311
01324185,1461148210723,-9.72824,-0.551641,1.5221,0.00116664,0.00242598,-0.00527464,0.816016,0.0835024,0.232554
01324181,1461148210723,-9.79677,0.168414,-0.669623,-0.000955366,-0.00334209,-0.00560988,0.752112,-0.365625,0.0858409
01324180,1461148210723,-9.12903,-2.98591,2.21497,0.0189295,0.00718146,-0.00519554,0.712985,0.437994,0.113137
01324189,1461148210739,-9.63601,-0.15885,-1.66156,-0.000946538,0.00343191,0.0126981,0.699979,0.0287827,0.476966
01324188,1461148210739,-9.61602,-1.57666,-1.30135,0.00301496,0.00706714,0.00162223,0.71386,-0.023373,0.498131
01324185,1461148210739,-9.75257,-0.602085,1.48484,0.00829324,-0.00114941,-0.00355215,0.819272,0.0826807,0.233857
01324181,1461148210739,-9.79707,0.202365,-0.655785,-0.00985239,0.0108315,-0.00373855,0.753739,-0.369007,0.0896256
01324180,1461148210739,-9.12635,-2.84651,2.27618,0.0085665,0.0010523,-0.00790774,0.716192,0.437206,0.11469
01324189,1461148210755,-9.67519,-0.130073,-1.67794,-0.012492,0.017349,-0.00157482,0.69807,0.0309823,0.476472
01324188,1461148210755,-9.60143,-1.55269,-1.28965,0.00468105,0.0131213,-0.0142293,0.713854,-0.0225185,0.498452
01324185,1461148210755,-9.75733,-0.575576,1.47992,0.0199029,-0.00121761,0.000688305,0.817233,0.0841964,0.23202
01324181,1461148210755,-9.792,0.178167,-0.660119,-0.0080657,0.00549339,-0.00551281,0.753722,-0.368828,0.091221
01324180,1461148210755,-9.17034,-2.82817,2.31935,-0.0174421,-0.0121065,-0.0125458,0.714728,0.436946,0.114168
