ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461147801130,-9.67644,0.0633447,-1.67922,-0.00393196,0.0104141,-0.0144898,0.815786,-0.354334,0.111901
01324188,1461147801130,-9.67948,-0.919088,-1.40195,0.00975917,-0.000224217,-0.00111051,0.890096,-0.182835,-0.164432
01324185,1461147801130,-9.71746,-0.91111,1.20434,0.014832,0.00336361,-0.00508937,0.860936,-0.279521,-0.10477
01324181,1461147801130,-9.78341,0.390436,-0.94739,-0.00964782,0.0145522,-0.00700479,0.86223,-0.0107991,-0.276792
01324180,1461147801130,-9.11227,-2.85566,2.34406,-0.0197692,0.00285528,0.00682451,0.898273,-0.0535835,-0.0544976
01324189,1461147801135,-9.67059,0.0493344,-1.61606,-0.00392111,0.00783065,-0.0153735,0.815644,-0.347544,0.108529
01324188,1461147801135,-9.66494,-0.909429,-1.41178,0.0106369,0.011564,0.00610718,0.890879,-0.179373,-0.168203
01324185,1461147801135,-9.69818,-0.925662,1.21822,0.00802362,0.00171857,2.73475e-05,0.861593,-0.275686,-0.108165
01324181,1461147801135,-9.75442,0.385919,-0.937459,-0.0132117,0.0198821,-0.00522995,0.864495,-0.00546008,-0.284029
01324180,1461147801135,-9.09782,-2.85561,2.35628,-0.0154375,-0.00172824,0.0173663,0.899546,-0.0490333,-0.0562843
01324189,1461147801151,-9.65422,0.063668,-1.65035,-0.00220383,0.0121199,-0.0153795,0.818997,-0.348762,0.109141
01324188,1461147801151,-9.65989,-0.846943,-1.38592,0.00710468,0.00873667,-0.00634009,0.894882,-0.179128,-0.168767
01324185,1461147801151,-9.70303,-0.935261,1.21852,0.00832259,-0.0105487,0.00691048,0.863601,-0.276249,-0.108424
01324181,1461147801151,-9.7642,0.395511,-0.942535,-0.00970804,0.0147413,0.00333468,0.866125,-0.00734198,-0.284796
01324180,1461147801151,-9.08293,-2.87945,2.34422,-0.00131398,0.00666821,-0.00535253,0.901928,-0.0490606,-0.0587081
01324189,1461147801167,-9.64723,0.0732718,-1.66504,-0.00208807,0.00349353,-0.00825713,0.820718,-0.350633,0.112533
01324188,1461147801167,-9.65997,-0.87097,-1.39773,0.00360711,-0.00818375,-0.0153992,0.89556,-0.181387,-0.163615
01324185,1461147801167,-9.69817,-0.930463,1.23282,0.01843,0.00158229,-0.00338506,0.865483,-0.279413,-0.106335
