ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1461148292927,-9.67002,-0.00631292,-1.91835,-0.0317982,0.0141286,0.00203634,0.681831,-0.0858888,0.490016
01324188,1461148292927,-9.60167,-1.49869,-1.49223,-0.00100336,0.0242582,-0.0247269,0.670692,-0.0843688,0.314495
01324185,1461148292927,-9.70066,-1.16778,1.79879,0.200577,-0.0174167,-0.0528189,0.890066,0.0485708,0.262988
01324181,1461148292927,-9.79457,0.366966,-0.711611,0.00429372,-0.00676927,-0.0098115,0.808549,-0.376833,-0.00649149
01324180,1461148292927,-9.02301,-3.51243,2.31048,0.266091,0.0852543,0.011256,0.749957,0.458371,0.172329
01324189,1461148292962,-9.66038,0.0617804,-1.89156,0.00491063,0.00858975,0.0163826,0.679646,-0.0778142,0.486369
01324188,1461148292962,-9.58487,-1.53257,-1.48243,0.0095493,0.0216024,-0.00697971,0.669309,-0.0786778,0.311116
01324185,1461148292962,-9.69592,-1.22075,1.8331,0.312269,-0.0257483,-0.0732998,0.889776,0.0576598,0.258978
01324181,1461148292962,-9.81269,0.330303,-0.643403,0.00340846,-0.019223,-0.0142164,0.807549,-0.369727,-0.0103635
01324180,1461148292962,-8.97918,-3.57592,2.42898,0.386814,0.0962905,0.00503797,0.746282,0.466278,0.166748
01324189,1461148292978,-9.64332,0.0230073,-1.90164,-0.00394744,0.0181559,0.00567071,0.678554,-0.0777828,0.486915
01324188,1461148292978,-9.5581,-1.48659,-1.52156,0.000811944,0.0233129,-0.00701755,0.667017,-0.0788663,0.309794
01324185,1461148292978,-9.74406,-1.16269,1.8006,0.395897,-0.023208,-0.0912582,0.889498,0.0614414,0.257635
01324181,1461148292978,-9.77367,0.311327,-0.608979,0.000678291,-0.0172694,-0.00385477,0.80646,-0.368856,-0.010637
01324180,1461148292978,-9.10736,-3.56247,2.3843,0.525727,0.123381,-0.00792786,0.743467,0.468373,0.163328
01324189,1461148292993,-9.61574,-0.0541607,-1.8706,-0.00390463,0.0112484,0.00567984,0.680072,-0.0822696,0.487129
01324188,1461148292993,-9.5728,-1.54414,-1.55942,-0.00357784,0.0175954,-0.0141904,0.669591,-0.0805679,0.311129
01324185,1461148292993,-9.73966,-1.2591,1.72376,0.491476,-0.024393,-0.118569,0.887603,0.058917,0.25832
01324181,1461148292993,-9.73981,0.331097,-0.56084,-0.00464295,-0.00671143,-0.00634218,0.807131,-0.370807,-0.00753628
01324180,1461148292993,-9.12157,-3.48733,2.10906,0.671209,0.151648,0.0125534,0.746211,0.462395,0.163303
01324189,1461148293008,-9.6498,-0.0349376,-1.87248,0.0132761,0.00846833,-0.0084663,0.679798,-0.0836914,0.488322
01324188,1461148293008,-9.5873,-1.53728,-1.4968,-0.0017535,0.0109176,-0.00274913,0.66824,-0.0804009,0.311156
01324185,1461148293008,-9.73977,-1.22068,1.6069,0.571464,-0.0267124,-0.0990824,0.888279,0.0628794,0.259064
01324181,1461148293008,-9.76235,0.406039,-0.557591,-0.0117442,-0.0121013,-0.0106791,0.808357,-0.37196,-0.00699158
01324180,1461148293008,-8.90519,-3.3435,1.98628,0.747832,0.178259,0.0123323,0.745401,0.464601,0.159587
01324189,1461148293023,-9.69015,0.0466762,-1.94713,0.0635624,0.0131167,-0.0136315,0.680314,-0.081689,0.4898
01324188,1461148293023,-9.58745,-1.57603,-1.47239,-0.00255383,0.0118591,0.0123022,0.669858,-0.0803583,0.312746
01324185,1461148293023,-9.62822,-0.946984,1.51439,0.621509,-0.00405032,-0.0789015,0.888812,0.0669226,0.256669
01324181,1461148293023,-9.82236,0.395629,-0.562605,-0.0152988,0.00385546,-0.00878937,0.808777,-0.373395,-0.00669924
01324180,1461148293023,-9.03945,-3.40208,1.89765,0.793165,0.223193,-0.0327659,0.745773,0.46896,0.155088
01324189,1461148293037,-9.64014,0.16932,-1.78451,0.0287079,0.0203858,-0.0191013,0.681136,-0.078567,0.487146
01324188,1461148293037,-9.58243,-1.52772,-1.4873,0.00963997,0.0137168,0.0106353,0.669862,-0.0809616,0.313244
01324185,1461148293037,-9.57962,-0.701859,1.34237,0.629425,0.00494251,-0.0568707,0.891649,0.0709649,0.254267
01324181,1461148293037,-9.84102,0.346888,-0.566621,-0.0277652,-0.0156167,-0.00890796,0.807952,-0.369448,-0.0105069
01324180,1461148293037,-9.05264,-3.07991,2.23764,0.780849,0.175788,-0.0357313,0.74334,0.473665,0.14929
01324189,1461148293052,-9.66886,0.132916,-1.77686,-0.00427808,0.00692608,-0.0191807,0.679507,-0.0782384,0.486901
01324188,1461148293052,-9.59683,-1.4985,-1.52115,-0.000846996,0.00277677,0.00336064,0.669597,-0.0816049,0.3116
01324185,1461148293052,-9.60856,-0.598291,1.18725,0.564386,0.0144151,-0.0551535,0.890157,0.0743643,0.255024
01324181,1461148293052,-9.85021,0.30312,-0.580331,-0.0260222,-0.00484219,-0.000193581,0.808764,-0.368347,-0.0121386
